RN	DOCULECT	REFLEX	CONCEPT	NEPALI	GFN	ETYMON
122	Kulung	wai	phalanx (of finger).		n.	
123	Kulung	waima	termite	 dhamiro.	n.	
124	Kulung	waima	sink, sink into mud, bog	 bhāsinu, ḍubnu.	vi-1 [1: wai-]	
125	Kulung	waima	be born	 janminu.	vi-4 [1: wat- 2: wai- 3: wan-]	586
126	Kulung	waima	bear (children)	 janmāunu.	vt-5 [1: wat- 2: watt- 3: wai- 4: wan- 5: wa:-]	586
127	Kulung	waima	wear (cloths and jewellery)	 lagāunu.	vt-5 [1: wat- 2: watt- 3: wai- 4: wan- 5: wa:-]	589
128	Kulung	waima	fit into a space	 aṭāunu.	vi-4 [1: wan- 2: wai- 3: wan-]	8
129	Kulung	walamma	feather	 pvāṃkh.	n.	735
130	Kulung	walili	lie	 jhūṭ.	n.	420
131	Kulung	wamma	thirst	 tirkhā.	n.	595
132	Kulung	wamma	go crazy	 baulāunu.	vi-1 [1: wam-]	835
133	Kulung	wa:	chicken	 kukhurā.	n.	597
134	Kulung	wa:cha	chick	 callo.	n.	597
135	Kulung	wa:di	egg (of a chicken)	 phul.	n.	387
136	Kulung	wa:khil	chicken shit.		n.	
137	Kulung	wa:l	rectum.		n.	836
138	Kulung	wa:lpuchɔ	tapeworm	 jukā.	n.	
139	Kulung	wa:ma	hen	 kukhurī.	n.	597
140	Kulung	wa:pa	rooster, male chicken	 bhāle.	n.	597
141	Kulung	sɔma	remove weeds, weed	 goḍnu.	vt-8 [1: sɔi- 2: sɔ- 3: sǝi- 4: sǝ- 5: sui- 6: su- 7: sa- 8: sɔk-]	775
142	Kulung	sɔmbeluN	hearth-stone towards front end of the house.		n.	
143	Kulung	sɔmɔri	disease	 bethā.	n.	829
144	Kulung	sɔNger	star	 tārā.	n.	284
145	Kulung	sɔNgerwa	dew.		n.	
146	Kulung	sɔNli	bamboo drinking vessel.		n.	
147	Kulung	sɔ:	wild animal (tiger, jackal, bear, etc.).		n.	230
148	Kulung	sɔ:bǝm	vessel for holding water or milk	 ḍhuŋro.	n.	
149	Kulung	sɔ:gɔ	forest	 ban.	n.	
150	Kulung	sɔ:lɔ	young man	 javān.	n.	
151	Kulung	sɔ:lɔme	young woman	 tarunī.	n.	
152	Kulung	sɔ:m	breath, steam, eternal soul	 sās, bāph, ātmā.	n.	235
153	Kulung	sɔ:ma	select, choose	 chānnu.	vt-3 [1: sɔk- 2: sɔ:- 3: sɔk-]	286
154	Kulung	sɔ:ma	very	 dherai.	adv.	
155	Kulung	sɔ:mcha	human being	 mānis.	n.	
156	Kulung	sɔ:mlam	spot on the middle of the forehead.		n.	
157	Kulung	sɔ:N	weeds, tufts of grass	 jhār.	n.	291
158	Kulung	sɔsɔma	courage, braveness	 sāhas.	n.	
159	Kulung	sɔsɔmame	fem. courageous, brave	 sāhasī.	adj.	
160	Kulung	sɔsɔmapɔ	masc. courageous, brave	 sāhasī.	adj.	
161	Kulung	riNcham	conversation, chat, talk	 kurākanī.	n.	
162	Kulung	ri:ma	shine, sparkle, glitter	 jhamkanu.	vi-3 [1: riks- 2: ri:-]	
163	Kulung	rɔ	slave.		n.	474
164	Kulung	rɔktɔkhɔ:m	rainbow	 indrenī	n.	
165	Kulung	rɔN	rupiya (archaic)		n.	827
166	Kulung	rɔNkapɔwa	the tree Albizia lebbeck	 s!irīs5.	n.	
167	Kulung	rɔ:du	Rāī.		adj.	
168	Kulung	rɔ:duriN	Rāī language.		n.	
169	Kulung	rɔ:ma	plunder	 luṭnu.	vt-2 [1: rɔks- 2: rɔ:-]	
170	Kulung	rɔ:ma	drive out (disease, evil spirit)	 orupakār garnu.	vt-2 [1: rɔks- 2: rɔ:-]	
171	Kulung	rum	salt	 nūn..	n.	469
172	Kulung	rumma	cut wood, chop off (e.g. limb)	 dāurā kāṭnu.	vt-4 [1: rup- 2: rupp- 3: rum-]	457
173	Kulung	ru:ma	have a fever	 jaro āunu.	vi-3 [1: ruN- 2: ru:-]	473
174	Kulung	ru:ma	shake, shake out	 jhaḍkārnu, taktakyāunu.	vt-2 [1: ruks- 2: ru:-]	473
175	Kulung	rusmɔN	fever	 jaro.	n.	
176	Kulung	rusɔ:N	name of a weed	 kālī jhār.	n.	
177	Kulung	ruwɔ	pleiad	 saptarṣi.	n.	
178	Kulung	sa	meat, flesh	 māsu.	n.	249
179	Kulung	sagɔ	mind.		n.	262
180	Kulung	sahu	blacksmith	 kāmī.	n.	
181	Kulung	hukwa	storm	 hurī.	n.	798
182	Kulung	humma	fall from a height, fall down	 khasnu.	vi-3 [1: hups- 2: hum-]	
183	Kulung	humma	cause to fall from a height, cause to fall down	 khasālnu.	vt-2 [1: hups- 2: hum-]	462
184	Kulung	hu:ma	bark (of a dog)	 bhuknu.	vi-3 [1: huk- 2: hu:-]	23
185	Kulung	hu:ma	wait, await	 parkhanu.	vt-4 [1: huN- 2: huNN- 3: hu:-]	47
186	Kulung	huriwa	weak, without strength	 kamjor.	adj.	
187	Kulung	hurma	wash hair of the head	 kapāl dhunu.	vt-2 [1: hurs- 2: hur-]	
188	Kulung	hurumɔksi	with soaring voice		adv.	
189	Kulung	huwa	sweat	 pasinā.	n.	850
190	Kulung	huwa mima	sweat.		vi-3 [1: mi:- 2: mi-]	
191	Kulung	ikhi	here	 yahāṃ.	adv.	
192	Kulung	ikka	herefrom.		adv.	
193	Kulung	ima	teach, tell	 sikāunu, batāunu.	vt-4 [1: i:- 2: i:y- 3: i-]	
194	Kulung	ima	be bad		vi-3 [1: is- 2: i-]	800
195	Kulung	imma	sleep	 sutnu.	vi-3 [1: ims- 2: im-]	16
196	Kulung	imma	put to bed, put to sleep	 sutāunu.	vt-4 [1: ip- 2: ipp- 3: im-]	16
197	Kulung	imskɔ	bed, place to sleep	 khāṭ.	n.	
198	Kulung	incima	learn	 siknu	vr [1: i- 2: it-]	
199	Kulung	ini	this year	 yo sāl.	adv.	
200	Kulung	inimba	nowadays	 ājkal.	adv.	
201	Kulung	cimma	press, squeeze	 thicnu.	vt-4 [1: cip- 2: cipp- 3: cim-]	339
202	Kulung	ci:cha	little	 alikati.	adv.	786
203	Kulung	ci:ma	small	 sānu.	adj.	786
204	Kulung	ci:ma	last long (e.g. clothes)	 khapnu.	vi-3 [1: ciN- 2: ci:-]	301
205	Kulung	cir	spine, backbone	 ḍaṃdālnu.	n.	
206	Kulung	cir	a particular kind of bird.		n.	
207	Kulung	cirepa	short.		adj.	
208	Kulung	cirma	drain, pour out	 khanyāunu.	vt-2 [1: cirs- 2: cir-]	343
209	Kulung	ciskhil	intestines, entrails	 āndro.	n.	149
210	Kulung	cittǝ	I don't know	 kunni.	interj.	
211	Kulung	cɔ	fruit of a plant or tree.		n.	
212	Kulung	cɔcɔppa	decorated	 sajisajāu.	adj.	
213	Kulung	cɔkhɔma	stomach	 peṭ.	n.	
214	Kulung	cɔl	peak		n.	
215	Kulung	cɔNgil	soybean, Glycine hispida	 bhaṭmās.	n.	
216	Kulung	cɔ:ma	knead	 muchnu.	vt-3 [1: cǝk- 2: cɔ:- 3: cɔk-]	
217	Kulung	cɔ:ma	peep, spy, observe, scrutinize	 ciyāunu.	vt-4 [1: cǝN- 2: cǝNN- 3: cɔ:-]	
218	Kulung	cɔ:ma	decorate	 sajāunu, siŋārnu.	vt-2 [1: cɔks- 2: cɔ:-]	
219	Kulung	cɔwa	heart	 muṭu.	n.	788
220	Kulung	cu	female breast	 dudh.	n.	946
221	Kulung	chemma	persuade	 phakāunu.	vt-4 [1: chem- 2: chemm- 3: chem-]	
222	Kulung	chemɔwa	smart, clever, shrewd	 chalākh, bātḥ.	adj.fem.	320
223	Kulung	cheNcheNyɔ	light (not dark)	 ujyālo.	adj.	
224	Kulung	che:ma	pinch	 cimoṭnu.	vt-2 [1: chek- 2: che:-]	338
225	Kulung	chepɔwa	smart, clever, shrewd	 calākh, bāṭho.	adj.masc.	320
226	Kulung	chepuri	vertebra		n.	
227	Kulung	chǝi	vagina	 putī.	n.	
228	Kulung	chǝimui	woman's pubic hair.		n.	
229	Kulung	chǝwa	sugar cane	 ukhu.	n.	662
230	Kulung	chi	marrow	 māsī.	n.	267
231	Kulung	chidɔwa	bamboo wicker basket suspended over the fireplace; Eastern Nep. maulā.		n.	
232	Kulung	chikchilikpa	cold, cool	 ciso.	adj.	321
233	Kulung	chima	close	 thunnu, lagāunu.	vt-4 [1: chi:- 2: chi:y- 3: chi-]	
234	Kulung	chima	sweep (with a broom or piece of wood), wipe off, blow one's nose	 baḍārnu, kuco lāunu.	vt-4 [1: chis- 2: chiss- 3: chi-]	333
235	Kulung	chimma	overthrow	 ghopṭyāunu.	vt-4 [1: chip- 2: chipp- 3: chim-]	
236	Kulung	chimma	bump into, meet	 bheṭnu.	vt-4 [1: chip- 2: chipp- 3: chim-]	
237	Kulung	chimɔ	year after next	 paraghauṃ.	adv.	
238	Kulung	chindi	day after tomorrow	 parsi.	adv.	
239	Kulung	chi:ma	be cold (of temperature), e.g. in the house.		vi-3 [1: chik- 2: chi:-]	321
240	Kulung	chi:pa	bedbug, Cimex lectularius	 uḍus.	n.	319
241	Kulung	chameichɔwa	kind of bird.		n.	
242	Kulung	chamma	split, cut lenghtwise	 cirnu.	vt-1 [1: cham-]	789
243	Kulung	chamma	write	 lekhnu.	vt-4 [1: chap- 2: chapp- 3: cham-]	790
244	Kulung	chaN	bangle, bracelet made of glass	 curā.	n.	
245	Kulung	chaNwa:skɔ	forearm, wrist	 nāḍī.	n.	
246	Kulung	chap	sword (of the shaman).		n.	
247	Kulung	chara	goat	 bākhro.	n.	
248	Kulung	charama	female goat	 bākhrī.	n.	
249	Kulung	charui	younger (in age)	 kānchā.	adj.	
250	Kulung	chawa	frost	 tusāro.	n.	
251	Kulung	che	nice-smelling medicinal alpine herb	 moruci.	n.	
252	Kulung	checherpa	variegated	 chirbir, aneki raŋgī.	adj.	
253	Kulung	cheima	know (a fact, person, way), recognize	 cinnu.	vt-5 [1: chet- 2: chett- 3: chei- 4: cen- 5: ce:-]	320
254	Kulung	chel	parental home of a married woman	 māita.	n.	791
255	Kulung	chelamdelam	thoroughfare, way	 bāṭo ghāṭo.	n.	
256	Kulung	chelma	bamboo mat	 citro.	n.	
257	Kulung	-chem	time (preceded by a numeral)	 paṭak.	n.	331
258	Kulung	chem	rib	 karaŋ.	n.	
259	Kulung	chema	piss	 pisāb phernu.	vi-3 [1: ches- 2: che-]	792
260	Kulung	chemluwa	piss	 pisāb.	n.	
261	Kulung	gal	centipede	 khajuro.	n.	796
262	Kulung	galma	rub, fuck (vulg.)	 dalnu.	vt-4 [1: gal- 2: gall- 3: gal-]	
263	Kulung	gam	body	 śarīr.	n.	453
264	Kulung	gam-pi-ka tama	menstruate	 nachune hunu	vi-7 [1: tɔi- 2: tɔ- 3: tai- 4: ta-]	
265	Kulung	ga:nam	stinging nettle, Girardinia heterophylla	 sisnu.	n.	94
266	Kulung	ga:ndiri	throat.		n.	102
267	Kulung	garigari	fast, quickly.		adv.	
268	Kulung	gawa	crab	 gaṃgaṭo.	n.	95
269	Kulung	gelɔbɔm	coals from the fireplace	 koilā.	n.	111
270	Kulung	gem	grave	 cihān.	n.	
271	Kulung	gem	branch of a tree	 hāṃgā.	n.	92
272	Kulung	gema	laugh	 hāṃsnu.	vi-3 [1: ges- 2: ge-]	462
273	Kulung	ge:bɔ	almost	 jhaṇḍai.	adv.	
274	Kulung	ge:pa	sharp	 tīkho.	adj.	455
275	Kulung	geri	hip	 puṭṭhā.	n.	
276	Kulung	geskuma	female orphan	 ṭuhurī	n.	464
277	Kulung	geskupa	male orphan	 ṭuhuro.	n.	464
278	Kulung	gewa	mongoose	 nyāurī muso.	n.	
279	Kulung	gǝlma	remove grains of maize from the cob.		vt-4 [1: gǝl- 2: gǝll- 3: gǝl-]	465
280	Kulung	gǝma	be damaged, destroyed	 bigranu.	vi-3 [1: gǝs- 2: gǝ-]	
281	Kulung	lem	tongue	 jibhro.	n.	436
282	Kulung	lema	potent auxiliary, to know how to	 jānnu.	vi-3 [1: les- 2: le-]	864
283	Kulung	lemlempa	sweet	 guliyo.	adj.	432
284	Kulung	lemlem-yɔ	very sweet	 dherai guliyo.	adj.	432
285	Kulung	lemma	be sweet	 guliyo hunu.	vi-1 [1: lem-]	432
286	Kulung	lemma	persuade	 phakāunu.	vt-4 [1: lem- 2: lemm- 3: lem-]	432
287	Kulung	lemui	man's pubic hair	 jāṭhā.	n.	
288	Kulung	le:pa	afternoon	 diuṃso.	n.	
289	Kulung	le:pa le:pa	day by day	 din kā din.	adv.	
290	Kulung	lǝba lǝba	soft	 kamalo.	adj.	
291	Kulung	lǝima	descend, go out, fall down, emerge, appear	 jharnu, niskanu, orlanu	vi-6 [1: lǝt- 2: lǝi- 3: lǝtt- 4: lǝn- 5: lǝ:-]	433
292	Kulung	lǝkhelǝkhe	soft; mild	 naram.	adj.	
293	Kulung	lǝma	feel itself, play	 lāgnu, khelnu	vi-7 [1: lɔi- 2: lɔ- 3: lǝi- 4: lǝ-]	399
294	Kulung	lǝmma	be soft	 kamalo hunu.	vi-3 [1: lǝp- 2: lǝm-]	
295	Kulung	li	water leech	 pāiī jukā.	n.	416
296	Kulung	lil	May/June	 jyeṣṭha.	n.	
297	Kulung	lim	shoot of a plant	 ṭuso.	n.	428
298	Kulung	lima	be heavy (both physically and mentally).		vi-3 [1: lis- 2: li-]	412
299	Kulung	lima	rinse, rinse the mouth	 pakhālnu, khokalnu.	vt-4 [1: li:- 2: li:y- 3: li-]	
300	Kulung	limma	grow (crops, hair), begin to sprout	 umranu, palāunu.	vi-1 [1: lim-]	428
301	Kulung	chuli	anger	 rīs.	n.	318
302	Kulung	chuma	be late	 ḍhilo hunu.	vi-3 [1: chus- 2: chu-]	328
303	Kulung	chuma	be, has to	 hunu.	vi-3 [1: chu:- 2: chu-]	
304	Kulung	chumbɔ	mortar	 okhlī.	n.	358
305	Kulung	chumma	gather, collect	 baṭulnu.	vt-2 [1: chups- 2: chum-]	6
306	Kulung	chumri	waist	 kammar.	n.	943
307	Kulung	chunchuina	on one's haunches	 ṭukrukka.	adv.	
308	Kulung	chu:ma	cough	 khoknu.	vi-3 [1: chuks- 2: chu:-]	
309	Kulung	chupa	cooking-pot	 bhāṃḍā.	n.	
310	Kulung	churme	parent-in-law (female or male speaking)	 śvaśura, sāsū.	n.	
311	Kulung	churmelam	going to the house of the parents-in-law after a marriage.		n.	
312	Kulung	chuwi	mouse, rat	 muso.	n.	216
313	Kulung	ci	poison	 viṣ.	n.	
314	Kulung	cibaipa	short	 choṭo. Cf. baipa elongi.	adj.	
315	Kulung	cici:cha	very little	 thorai.	adv.	
316	Kulung	cidisɔN	Indian sorrel, Oxalis corniculata L. The Indian sorrel has a medical use in treating eye-diseases	 cari amilo.	n.	
317	Kulung	cikippa	human flea, Pulex irritans	 upiyāṃ.	n.	350
318	Kulung	ciksi	kidney	 mirgaulā.	n.	353
319	Kulung	cima	be wet	 bhijnu.	vi-3 [1: ci:- 2: ci-]	
320	Kulung	cima	make wet	 bhijāunu.	vt-4 [1: ci:- 2: ci:y- 3: ci-]	
321	Kulung	sima	die	 marnu.	vi-3 [1: si:- 2: si-]	244
322	Kulung	sima	feel		vi-3 [1: si:- 2: si-]	262
323	Kulung	simma	cut (moving the object towards the knife), cut (one's hand), saw	 kāṭnu.	vt-4 [1: sip- 2: sipp- 3: sim-]	
324	Kulung	simma	close the eyes (muks)	 āṃkhā cimlanu.	vt-4 [1: sip- 2: sipp- 3: sim-]	
325	Kulung	simma	evaporate (water)	 bāph bannu.	vt-4 [1: sip- 2: sipp- 3: sim-]	247
326	Kulung	siN	firewood	 dāurā.	n.	290
327	Kulung	siNkhim	store house for firewood.		n.	
328	Kulung	siNkippa	brown insect that lives in the bark of trees.		n.	
329	Kulung	siNri	leaves of the mustard plant	 rāyo-ko sāg.	n.	
330	Kulung	si:bɔ	leaf	 pāt.	n.	739
331	Kulung	si:chɔ	tree	 rūkh.	n.	290
332	Kulung	si:dɔkpa	woodpecker	 lāhāṃce.	n.	
333	Kulung	si:ma	trample on, tread on	 kulcanu.	vt-2 [1: sik- 2: si:-]	
334	Kulung	si:sɔwa	famine	 anikāl.	n.	255
335	Kulung	sip	chaff, husk (outer part of corn), bark of a tree, peelings (of potato), eggshell	 bokrā.	n.	828
336	Kulung	sipɔ	corpse	 murdā.	n.	
337	Kulung	sisi	testicles, seeds	 gulā.	n.	279
338	Kulung	sisir	queer, unusual	 anauṭho.	adv.	
339	Kulung	sɔ	also	 pani.	adv.	
340	Kulung	sɔkɔwar	skin	 chālā.	n.	281
341	Kulung	sɔttɔ	indigenous Kulung name for the village Sotāŋ.		n.	
342	Kulung	sɔuri	vein	 nasā, nāḍī.	n.	272
343	Kulung	sɔwa	vital force that resides in the vein		n.	272
344	Kulung	sɔwal	November/December	 mārga.	n.	
345	Kulung	suima	make smooth, polish	 cillyāunu.	vt-5 [1: sut- 2: sutt- 3: sui- 4: sun- 5: su:-]	
346	Kulung	suktum	back of the neck	 gardan.	n.	939
347	Kulung	sulma	hide, conceal	 lukāunu.	vt-4 [1: sul- 2: sull- 3: sul-]	275
348	Kulung	sumburma	kind of insect.		n.	238
349	Kulung	sumriN	ancient language.		n.	
350	Kulung	suntɔlɔwa	cockroach	 sāŋlo.	n.	
351	Kulung	su:pel	small black fly	 bhusunu.	n.	268
352	Kulung	supci	three..		num.	288
353	Kulung	supe	old, worn out	 purāno.	adj.	
354	Kulung	supi	whispering	 kānekhus!Xī.	n.	295
355	Kulung	supi supi ne:ma	whisper; kānekhus!ī garnu.		vi-3 [1: nen- 2: ne:-]	
356	Kulung	suplɔ	the shrub Curcuma angustifolia Roxb., used by shamans in diagnosing diseases	 kacur.	n.	
357	Kulung	suri	wedding	 vivāh.	n.	
358	Kulung	susu	earwax	 kān-ko guji.	n.	
359	Kulung	suwa	a particular kind of creeper, the roots of which are eaten	 bhyākur.	n.	
360	Kulung	suwer	bee	 maurī.	n.	232
361	Kulung	casi	grandchild	 nāti, nātinī.	n.	351
362	Kulung	caskuwa	the king crow	 cibhe.	n.	113
363	Kulung	cel	parental home of a married woman	 māita.	n.	
