RN	DOCULECT	REFLEX	CONCEPT	NEPALI	GFN	ETYMON
212	Yamphu	puŋma	1) <i>v.intr.</i> to explode, (of a gun) to go off; 2) <i>v.tr.</i> to cause to explode, to shoot (with a gun).	 paḍkinu, paḍkāunu	v.intr. &amp; v.tr.	
213	Yamphu	pu:ma	to grow	 baḍhnu	v.intr.	656
214	Yamphu	pupma	a) to squeeze out, to wring, e.g. fermented millet mixed with water for making iz, or the water out of vegetables, the juice out of fruit, to wring clothes b) (of the stomach) to convulse	 ukusmukus hunu, baṭārnu, nicornu	v.intr. &amp; v.tr.	826
215	Yamphu	pusa	(used only with pronominal prefixes) child, offspring		bound morph.	
216	Yamphu	pusä:ʔ	snake.	 sarpā	n.	753
217	Yamphu	radaŋ	area at the bottom of something, foot	 phed, phedī	n. &amp; suffix.	
218	Yamphu	rakma	to laugh out loud, to roar with laughter	 baḍhī hāsnu	v.intr. &amp; v.tr.	
219	Yamphu	raktik	kick	 lāttī	n.	
220	Yamphu	ram	road, path.	 bāṭo	n.	422
221	Yamphu	ka:kma	to cross over, to step over something or somebody.	 nāghnu	v.tr.	853
222	Yamphu	kaŋlik	falling or rolling down, tumbling; adverbial participle of <i>kaŋma</i> 'to tumble.		adv.	
223	Yamphu	kaŋliŋ	shin-bone pipe used by Lama's in rituals to prevent the destruction of crops by bad weather.		n.	
224	Yamphu	kaŋma	1) <i>v.intr.</i> to fall, to roll down, to tumble 2) <i>v.tr.</i> to cause to fall over, to cause to tumble down, to cause to fall down.	 laḍnu, laḍāunu	v.intr. &amp; v.tr.	
225	Yamphu	ka:ma	1a) to call, to shout, to cry out; b) to say; c) to bicker, to quarrel; d) to complain loudly, to wail; 2a) to sound; b) (of the clock) to strike; 3) (with an infinitive complement) to be on the point of, to look like	 bhannu, karāunu, bajnu	v.intr.	917
226	Yamphu	ka:ŋa	a kind of cricket which makes an unbroken sound.	 birālī kirā	n.	
227	Yamphu	kapma	to have, to possess, to own.		v.intr. &amp; v.tr.	852
228	Yamphu	käʔma I	1) <i>v.intr.</i> to come up; 2) <i>v.intr.aux.</i> a) expresses that the situation denoted by the main verb involves an upward approaching motion b) expresses that the situation referred to by the main verb took place for a protracted period of time in the past.	 māthi āunu	v.intr. &amp; v.intr.aux.	854
229	Yamphu	käʔma II	1) expresses that the situation denoted by the transitive main verb involves an upward approaching motion or transportation 2) expresses that the situation referred to by the main verb took place for a protracted period of time in the past		v.tr.aux.	
230	Yamphu	käʔma III	to be enough, to suffice.	 pugnu	v.semi.tr.	
231	Yamphu	käkkräŋma	bean.	 simī	n.	76
232	Yamphu	käkma	to touch, to be touching	 chunu	v.intr. &amp; v.tr.	
233	Yamphu	kämma	to squirm, to writhe		v.intr.	
234	Yamphu	kä:ʔma	to summon, to call.	 ḍāknu	v.tr.	
235	Yamphu	keʔma	to roam around, to wander around	 ghumi hĩḍnu	v.tr.	
236	Yamphu	keʔmoäräŋ	down on this side		adv.	
237	Yamphu	keʔmoŋ	down on this side, more to this side and down.		demons.adv.	
238	Yamphu	keʔyoäräŋ	on this side and relatively on the same level		demons.adv.	
239	Yamphu	keʔyoŋ	on this side, more to this side.		demons.adv.	
240	Yamphu	kemma	male fern, <i>Driopteris</i> <i>filix.</i>	 unyū	n.	
241	Yamphu	täʔlaŋ	sticking out and waving like a long bamboo rod.		adj.redupl.	
242	Yamphu	täʔleʔ	bit by bit.		adv.redupl.	
243	Yamphu	täʔlik	again and again		adv.redupl.	
244	Yamphu	täʔliktoʔ	suddenly, for a second		adv.	
245	Yamphu	täʔlup	half full.		adj.	
246	Yamphu	tädäŋ	with a thump.		adv.	
247	Yamphu	täkkhoŋ	(when hitting, pounding, hammering on or chopping something) tap tap		adv.onom.	
248	Yamphu	täkkoŋ	cushion, pillow.	 sihrānī	n.	71
249	Yamphu	täkma	to have sexual intercourse.		v.tr.	
250	Yamphu	täkma I	to cover, to close, to put the lid on something.	 chopnu	v.intr. &amp; v.tr.	895
251	Yamphu	täkma II	expresses that the situation denoted by the main verb was carried out exhaustively	 siddhyāunu	v.tr.aux.	
252	Yamphu	täkpra	penis.		n.	
253	Yamphu	täktoʔ	in one go, all at once.		adv.	
254	Yamphu	tämbräŋdoʔ	falling backwards all of a sudden.	 purlukka	n.	
255	Yamphu	tändo	straight.		adv.	517
256	Yamphu	tändoʔ	describing the gait of an ox.		adv.	
257	Yamphu	tä:ʔma I	to fetch water from the spring	 pānī bharnu	v.intr. &amp; v.tr.	526
258	Yamphu	tä:ʔma II	(only in combination with <i>nam</i> 'sun') to rise		v.intr.	
259	Yamphu	tä:kma	1) <i>v.intr.</i> to come down; 2) to bring down, to chop down.	 ḍhālnu	v.intr. &amp; v.tr.	
260	Yamphu	tä:ktoʔ	in two		adv.	
261	Yamphu	khineʔwa	the loops around the warp with which the threads are lifted alternately.		n.	
262	Yamphu	khineppraʔa	a stick through the <i>khineʔwa</i> with which to lift the threads of the warp by turns.		n.	
263	Yamphu	khiŋ	stretched out		adj.	194
264	Yamphu	khiŋgak	viscous, thick and treacly, sticky.		adj.redupl.	
265	Yamphu	khi:kma	to comb one's hair.	 kornu	v.intr. &amp; v.tr.	809
266	Yamphu	khiŋma I	to bite off, to bite small bits off, to nibble, as when eating soy beans from the husk.	 ṭoknu	v.intr. &amp; v.tr.	
267	Yamphu	khi:ma I	to carry on the back	 boknu	v.intr. &amp; v.tr.	179
268	Yamphu	khiŋma II	to stretch oneself.		v.intr.	194
269	Yamphu	khi:ma II	to quarrel, to wrangle, to bicker.	 jhagaḍā garnu	v.intr.	808
270	Yamphu	khipma	1) to bind, to fetter, to tie, to fasten; 2) to demand lent money back, keep harping on about the restitution of lent money.	 ((r)ḍ) bādhnu	v.intr. &amp; v.tr.	
271	Yamphu	khirik	kidneys.	 mirgaulā	n.	149
272	Yamphu	khiri:ʔwa	a species of owl.		n.	
273	Yamphu	khiriri	a in a row, in rows		adv.	
274	Yamphu	khisak	thread.	 dhāgo	n.	
275	Yamphu	khoʔi	a kind of knife, a bit larger than a <i>khoʔiriŋma.</i>	 khurpā	n.	
276	Yamphu	khoʔiriŋma	a small kind of sickle, used for harvesting millet.	 khurmī	n.	
277	Yamphu	khoʔwasi	a species of tree, <i>Ficus</i> <i>lacor.</i>	 kābhrā	n.	
278	Yamphu	khodoʔlumba	pit.	 khāḍal	n.	419
279	Yamphu	khodoʔwa	large boil.	 pilo	n.	
280	Yamphu	khoiʔa	so very, so much.	 usto	adv.	
281	Yamphu	khokma	worn out and feeble female person.		n.	
282	Yamphu	khokma	to be feeble from cold or hunger	 kakrinu, kaṭhāŋgrinu	v.tr.	
283	Yamphu	khokpa	worn out and feeble male person or animal.		n.	
284	Yamphu	khom-	his, her; a) may be joined to most kinship terms and the words <i>taŋba</i> 'self' and <i>laŋgam</i> 'friend'; b) used adnominally before other possessions when joined to the genitive suffix &lt;-mi ; -min-> (GEN): <i>khommi</i> 'his', 'her'		pron.prefix.	196
285	Yamphu	khombaniŋ	a) three years ago; b) the third year before.		n. &amp; adv.	
286	Yamphu	khombreʔŋa	a) three days ago; b) the third day before.		n. &amp; adv.	
287	Yamphu	khomja	solids, the solid part of a soup, vegetable dish or fermented grains mixed with water.	 chokro	n.	
288	Yamphu	khomma	a) in three years from now; b) the third year after.		n. &amp; adv.	
289	Yamphu	khonoʔwa	snoring	 ghurnu	n.	153
290	Yamphu	khoŋ	copper bowl.	 bāṭṭhī	n.	841
291	Yamphu	kho:	third person singular, she, he		pron.	196
292	Yamphu	kho:ʔwa	diarrhoea		n.	
293	Yamphu	khoŋbeŋa	see <u>khoŋghäŋa.</u>			
294	Yamphu	khoŋghäŋa	rinsing water which is given to the pigs		n.	
295	Yamphu	kho:kma I	a) to scrape off the outer layer, e.g. the skin off vegetables or the fur off a slaughtered animal; b) to shave with a razor.	 khurkanu	v.intr. &amp; v.tr.	136
296	Yamphu	kho:kma II	to overturn earth.	 palṭāunu	v.tr.	
297	Yamphu	kho:kma III	to suffer from diarrhoea	 chernu	v.semi.tr.	
298	Yamphu	khoŋma	a) to fragment or chop up; pertains to smaller objects than <i>aŋma,</i> e.g. <i>ciurā;</i> b) to pulverise	 ṭukryāunu	v.intr. &amp; v.tr.	136
299	Yamphu	kho:ma	to cut away, to cut off; a) to cut hair; b) to cut away mould or bad parts from foodstuffs.	 (kes) kāṭnu	v.intr. &amp; v.tr.	
300	Yamphu	kho:reʔ	on its own, by itself, with nothing added			
301	Yamphu	hari	blood.	 ragat	n.	24
302	Yamphu	harmokmo	the reddish colour of ripe paddy in the fields.		adj.	
303	Yamphu	harra	red.	 rāto	adj.	425
304	Yamphu	häʔ	1) half dead 2) crooked, slanted	 ādhā kalce, kolṭe	adv.redupl.	
305	Yamphu	häʔma	see <u>khäʔma</u> II &amp; III.			
306	Yamphu	häkma	1 to cut with a knife or a sickle; 2 to eat biting out of a large thing	 kāṭnu	v.intr. &amp; v.tr.	26
307	Yamphu	hämma	a) to price something; b) to estimate the price, to state the price	 molnu, andāj garnu	v.tr.	
308	Yamphu	häniŋ	second person plural, you		pron.	
309	Yamphu	hänjiŋ	second person dual, you		pron.	
310	Yamphu	häŋ	second person singular, you		pron.	19
