RN	DOCULECT	REFLEX	CONCEPT	NEPALI	GFN	ETYMON
22	Dumi	khil	shit, faeces	 guhu, disā, ṭaṭī.	n.	
23	Dumi	khilɨ	wilderness; impenetrable jungle, inaccessible peaks, uninhabited areas.		n.	
24	Dumi	khi:bɨ, khi:bu	dog, hound	 kukur	n.	
25	Dumi	khi:bɨ-Nilo	canine teeth		n.	
26	Dumi	khi:ka:ndu	bamboo species Arundinaria intermedia	 nin%gālo bāʔs	n.	
27	Dumi	khi:m	spittle, saliva, spit	 thuk	n.	
28	Dumi	khi:nɨ	steal		vi-2 khe:-khi:y/khi:	
29	Dumi	khi:nɨ	steal	 cornu	vt-6b khi:y/khi:-khe:	
30	Dumi	khi:tnɨ	1) comb (e.g. do:sǝm 'hair'); 2) card (wool)	 koḍnu.	vt-2a khi:t-khi:ts/khi:s	
31	Dumi	khi:tnɨ	count	 gannu.	vt-2a khi:t-khi:ts/khi:s	
32	Dumi	khi:tnɨ	heed someone's word, heed someone's command or instructions, obey	 ternu	vt-2a khi:t-khi:ts/khi:s	
33	Dumi	khipkhotnnɨ	cook for someone	 pakāi dinu.	vt-2a khipkhotnd/khipkhotn-khipkhotnts/khip-khos	
34	Dumi	khipnɨ	cook	 pakāunu.	vt-2a khipt/khip-khiph/khip	
35	Dumi	khɨ	bamboo foot bridge	 sāʔgo.	n.	
36	Dumi	khɨlboknɨ	pout, sit there angrily not saying anything	 ṭhuski rahanu.	vi-1 khɨlbokh/khɨlbok	
37	Dumi	khɨlɨ	open		verbal complement	
38	Dumi	khɨ́ni	pus (from a wound)	 pīp.	n.	
39	Dumi	khɨ́nipɨm	furuncle, abcess.		n.	
40	Dumi	khɨr	hand, lower arm (from elbow to fingertips); front paw		n.	
41	Dumi	dzákha	slowly, gradually	 bistārai.	adv.	
42	Dumi	dzam	rice straw	 parāl	n.	
43	Dumi	dza:	1) rice; 2) cooked grain, esp. cooked rice	 bhāt	n.	
44	Dumi	dza:kokti	the rice plant Oryza sativa	 dhānko boṭ	n.	
45	Dumi	dza:koktiboʔo	rice straw	 parāl.	n.	
46	Dumi	dza:kö	rice and cooked vegetables	 bhāt-tihun.	n.	
47	Dumi	dza:ńtǝm	vide <A HREF="response.cgi?flags=undnnnnp&root=config&basename=/data/sintib/dumet&first=1&text_proto=dzagu{/}y{y}k&method_proto=substring" target="_blank">dzagúyɨk.</A>		n.	
48	Dumi	dza:r	disgust, revulsion		n.	
49	Dumi	dza:rbɨlɨ	trash, refuse; revulsion, something vile, something disgusting	 phohor-mailā	n.	
50	Dumi	dza:rnɨ	be revolted by, feel disgust towards or be disgusted by someone or something	 ghīnāunu.	vt-2a dza:rd/dza:r-dza:r	
51	Dumi	dza:́sɨmbhu	the monkey jack tree, Artocarpus lakoocha	 barhar, baḍahar.	n.	
52	Dumi	dzasi	fruit	 phal.	n.	
53	Dumi	dze:nɨ	speak, talk.		vi-2 dze:-dzi:y/dzi:	
54	Dumi	dze:tnɨ	call, address, strike up a conversation with	 bolāunu.	vt-2a dze:t-dzi:ts/dzi:s	
55	Dumi	dze:ṭhum	wife's elder brother		n.	
56	Dumi	dzhǝn	even more, yet moreso		adv.	
57	Dumi	dziʔlibhu	species of tree	 ghurbiso.	n.	
58	Dumi	dzi:tnɨ	make wet	 bijhāunu	vt-2a dzi:t-dzi:ts/dzi:s	
59	Dumi	dzi:tnsɨnɨ	get oneself wet		vr.non-erg.	
60	Dumi	dzitnɨ	get wet, become wet	 bijhinu	vi-3 dzits/dzis-dzit	
61	Dumi	si	vide <A HREF="response.cgi?flags=undnnnnp&root=config&basename=/data/sintib/dumet&first=1&text_proto=s{y}&method_proto=substring" target="_blank">sɨ</A>		n.	
62	Dumi	siʔi	dregs, refuse.		n.	
63	Dumi	sibewa	younger siblings.		n.coll.	
64	Dumi	sibi	youngest born (offspring or sibling)		n.adj.masc.	
65	Dumi	sibim	ginger	 sāno aduvā	n.	
66	Dumi	sibirma	youngest born (offspring or sibling)		n.adj.fem.	
67	Dumi	sibirmi	(of a married female) youngest born (offspring or sibling)		n.adj.fem.	
68	Dumi	sibirpa	youngest born (offspring or sibling)		n.adj.masc.	
69	Dumi	sibirtsopmsi	little finger, pinky; little toe		n.	
70	Dumi	sibise	youngest born son		n.masc.	
71	Dumi	sikhe	cloth	 kapaḍā.	n.	
72	Dumi	sikhe-mokhe	yarn spinning and the manufacturing of fabrics.		n.	
73	Dumi	sikhi:mri-mikkhi:mri	the period of mourning immediately after someone's death and the cleansing ritual observed by mourners.		n.	
74	Dumi	sikiri	clothes, clothing, garments	 lugā	n.	
75	Dumi	siknɨ	string (e.g. beads), thread (esp. puma 'flowers' in making a mālā )	 unnu.	vt-2a sikt/sik-sikh/sik	
76	Dumi	siksɨmbhu	several tree species of the genus Brassaiopsis	 culetro.	n.	
77	Dumi	silam	custom, practice, order, plan of action, methodology, programme	 melo.	n.	
78	Dumi	silpu	bird.		n.	
79	Dumi	sima	youngest born (offspring or sibling)		n.adj.fem.	
80	Dumi	sin	vide <A HREF="response.cgi?flags=undnnnnp&root=config&basename=/data/sintib/dumet&first=1&text_proto=tsin&method_proto=substring" target="_blank">tsin.</A>		n.	
81	Dumi	kha:pkor	healing ceremony as executed by the naksö-sele		n.	
82	Dumi	kha:rnɨ	scrape off of something, scrape; rout in the soil (said of a bhiʔi 'bull')	 kharsinu	vt-1 kha:r	
83	Dumi	kharnɨ	pop (muluswasi 'maize'), sear (su 'meat')	 bhuṭnu.	vt-3 khur-khar	
84	Dumi	kheʔe	time, turn	 palṭo.	n.	
85	Dumi	khe:ma	younger sister	 bahinī	n.	
86	Dumi	Khe:ma	the younger sister of Khopsi-Lɨkpa.		n.myth.	
87	Dumi	khepnɨ	chop into smaller pieces, mince	 canā pārnu.	vt-3 khi:ph/khi:p-khep	
88	Dumi	khǝldzǝm	gizzard.		n.	
89	Dumi	khǝlǝ	all, everything, everyone.		adv.n.	
90	Dumi	khǝlǝmbɨ	cold, cough	 markī rughā.	n.	
91	Dumi	khǝlǝy	all (emphatic).		emph.adv.	
92	Dumi	khǝnɨkpa	beautiful, comely, good, nice		adj. [*khǝ- AP + -nɨ- 'be good' + -kpa AP]	
93	Dumi	khǝrǝ	1) gourd used as a sacred vessel for an ɨmma or a:rkɨ based potion and wielded by the shaman as a rattle and as a potion-flask 2) sacred wooden offeratory vessel for a:rkɨ 'millet brandy'	1) cinḍo; 2) kaṭhuvā	n.	
94	Dumi	khǝrɨm	broom.		n.	
95	Dumi	khǝ́tap	scab, dried up crust on a wound	 pāprā.	n.	
96	Dumi	khǝtn	shame, ashamedness	 lāj	n.	
97	Dumi	khǝtnɨ	1) take, take away, take up, accept, receive	1) lagnu, lānu	vt-2a khǝt-khuts/khus	
98	Dumi	khǝyi:kpa	ugly, bad.		adj. [*khǝ- AP + i:- &lt; i:nɨ 'be bad' + -kpa AP]	
99	Dumi	khiʔlǝm	ghee	 ghiu.	n.	
100	Dumi	khikǝ	since.		postp.	
101	Dumi	tsa	clause-final deprehensative particle indicating that the information stated in the proposition has just come to the attention of the speaker or has just become known or apparent.		depr.part.	
102	Dumi	tsalirma	fourth born (offspring or sibling)		n.adj.fem.	
103	Dumi	tsalirmi	(of a married female) fourth born (offspring or sibling)		n.fem.	
104	Dumi	tsalɨ	fourth born (offspring or sibling)		n.adj.masc.	
105	Dumi	tsalɨse	fourth born son		n.masc.	
106	Dumi	tsam	in the expression tsam tse:nɨ, q.v.		n.	
107	Dumi	tsam tse:nɨ	be happy, be content (German sich freuen, Dutch gelukkig zijn).		vi-1 tse:y/tse:	
108	Dumi	tsampɨ	1) fermented millet from which no millet beer has yet been squeezed and which has not yet been allowed to steep in a tun%bā; 2) (said of ɨmma 'millet beer') good, full, aromatic, fragrant, strong, wholesome		1) n. 2) adj.	
109	Dumi	tsaNgɨr	goat	 bākhrā.	n.	
110	Dumi	tsaNgɨrpu	billy goat.		n.	
111	Dumi	tsaNko	smart, clever	 calāk.	adj.	
112	Dumi	tsa: i:kpa	1) foul tasting; 2) (as a complement of nǝmnɨ 'smell') foul smelling, smelly		adj.	
113	Dumi	tsa: i:nɨ	to not be delicious, taste foul	 namīṭho hunu	vi-1 tsa: i:y/i:	
114	Dumi	tsa: nɨnɨ				
115	Dumi	tsa: nɨnɨ	be delicious, taste good	 mīṭho hunu	vi-4 tsa: no:-nu-nɨ	
116	Dumi	tsa:dam	grain	 anna	n.	
117	Dumi	tsa:lɨkbhu	the guyāʔlo tree Elaeagnus latifolia	 guyāʔlo, guvālo, guẽlī	n.	
118	Dumi	tsa:mɨttunɨ	forget	 birsinu, birsi rākhnu.	vt-6a tsa:mɨtta-tsa:mɨttuy/tsa:mɨttu-tsa:mɨttɨ-tsa:mɨtto	
119	Dumi	tsa:mnɨ	1) be or get lost; 2) (with -nɨ 'mind, consciousness') lose consciousness, black out, pass out	 jñān harāinu	vi-1 tsa:m	
120	Dumi	tsa:mnɨ	lose	 harāunu.	vt-1 tsa:m	
121	Dumi	ásel	later, afterwards, later on	 bharai, pachi.	adv.	
122	Dumi	áselma	1) tomorrow ; 2) the following day	 bholī	adv.	
123	Dumi	áselma-poko	the following day	 bholī-palṭo	adv.	
124	Dumi	asewa	greeting	 namaste	n.	
125	Dumi	asina	1) yesterday ;2) the preceding day	 hijo	adv.	
126	Dumi	asinã:	vide <A HREF="response.cgi?flags=undnnnnp&root=config&basename=/data/sintib/dumet&first=1&text_proto=asina&method_proto=substring" target="_blank">asina.</A>		adv.	
127	Dumi	atina	the day before yesterday, the other day, then, at that time	 asti	adv.	
128	Dumi	atinã:	vide <A HREF="response.cgi?flags=undnnnnp&root=config&basename=/data/sintib/dumet&first=1&text_proto=atina&method_proto=substring" target="_blank">atina.</A>		adv.	
129	Dumi	atinã:khini	the other day	 asti nai.	adv.	
130	Dumi	átsimma, tsimma	the year after next		adv.	
131	Dumi	attha:mkuna	the day before the day before yesterday		adv.	
132	Dumi	badzarɨm	bazar, market.		n.	
133	Dumi	bakham	molars		n.coll.	
134	Dumi	balɨkpi	four		num.	
135	Dumi	balɨkpɨ	bronze vase-shaped water vessel to drink from but which may not be touched by the lips whilst drinking to prevent ritual pollution, a concept borrowed from the Hindus	 lohoṭā, loṭā.	n.	
136	Dumi	ba:hiriptsǝm	shrubs and undergrowth, vegetation.		n.	
137	Dumi	ba:kkuli	the large square pit in the ground in which the sɨptɨlu is situated		n.	
138	Dumi	ba:ni				
139	Dumi	ba:pnɨ	bump into, disturb, upset	 uljhāunu.	vt-2c ba:pt/ba:p-ba:ph/ba:p	
140	Dumi	ba:psunɨ	knock over, disturb, upset	 uljhāi paṭhāunu.	vt-6a ba:psa-ba:psuy/ba:psu-ba:psɨ-ba:pso	
141	Dumi	ya				
142	Dumi	yaḱka	a) 1) straight, level (of a mountain path) 2) over there, beyond, yonder b) (distal, both adnominally and as nominal head) yon, yonder, that over there.	1) terso	a) adv. b) pro.	
143	Dumi	yaḱkam	that over there.		pro.	
144	Dumi	yaḱkambi	over there	 para.	adv.	
145	Dumi	yaḱkamliʔmbi	over there, over on that side (of the mountain, of the river)	 utāpaṭṭī.	adv.	
146	Dumi	yaḱkammɨl	(distal) those over there, they over there, them over there		pro.pl.	
147	Dumi	yamlɨbhu	the banana tree Musa paradisica		n.	
148	Dumi	yamlɨpho	banana tree leaf		n.	
149	Dumi	yaNsu	parallel nephew or parallel niece, i.e. 1) offspring of younger or elder brother (male speaking); 2) offspring of younger or elder sister (female speaking).		n.	
150	Dumi	ya:lɨ	net	 jāl.	n.	
151	Dumi	ya:pnɨ	serve (food), present (food)	 paskāunu.	vt-2a ya:pt/ya:p-ya:ph/ya:p	
152	Dumi	ya:tnɨ	like, be fond of, take a liking to	 man parāunu.	vt-2a ya:d/ya:t-ya:ts/ya:s	
153	Dumi	ya:tńsinɨ	be embarrassed, feel shy	 śarmāunu, lajāunu	vr.non-erg.	
154	Dumi	yári:	the divine oracle		n.	
155	Dumi	yári:lu	1) the Looking Stone, Oracle Voice Stone, one of several epithets for the mythological omniscient stone described as a shiny, polished perfectly flat slab of stone		n.myth.	
156	Dumi	yári:-tsɨʔ́ri:	True Knowledge.		n.	
157	Dumi	yaya	counsel, advice, conference, deliberation, consultation	 sallāh.	n.	
158	Dumi	ye, ya, yǝ	too, also	 pani.	yǝ  adv.	
159	Dumi	yǝ				
160	Dumi	yǝkkam	grain spread out in the sun to dry	 biskun.	n.	
161	Dumi	mindiri	common name for the leafless yellow parasitic creeper Cuscuta reflexa, known in Nepali as the ākās!belī		n.	
162	Dumi	minnɨ	1) realize, think; remember, ponder, contemplate, plot a scheme, think up a plan of action; 2) n., memory, remembrance (with a genitive construction as the complement of lɨnɨ  vt-4 (2e), q.v.	 yād.	vt-2a mind/min-mints/mins	
163	Dumi	mintǝlǝlǝ	thought, contemplation, concentration	 socāī, vicār	n.	
164	Dumi	mi:n	man, mankind		n.	
165	Dumi	mi:ndzɨkpɨ	cannibal.		n.	
166	Dumi	mi:n-samtsu	mankind, human being.		n.	
167	Dumi	mi:ntsu	manchild, mankind, human being.		n.	
168	Dumi	mi:tsɨm				
169	Dumi	mi-opnɨ	flint	 cakmak	n.	
170	Dumi	miri	tail.		n.	
171	Dumi	mitnɨ	die	 marnu	vi-3 mits/mis-mit	
172	Dumi	mitsɨm	female, woman	 āimāī, svāsnīmānche	n.	
173	Dumi	mitsɨm-puma				
174	Dumi	mɨdzɨnɨ	keep on sitting, sit for a prolonged period, remain in a place.		vi-4 mo:-mɨ-muy/mu + vi-4 dzo:-dzɨ-dzuy/dzu	
175	Dumi	-mɨl			plural suffix	
176	Dumi	mɨlinɨ	to go about one's business	 basī hĩḍnu.	vi-4 mo:-mɨ-muy/mu + vi-3 liN-li	
177	Dumi	mɨlɨtnɨ	be up and about doing something, walk around doing, be busy	 garī hĩḍnu	vt-2a mɨlɨd/mɨlɨt-mɨlɨts/mɨlɨs	
178	Dumi	mɨm	time of year; month	 mahinā.	n.	
179	Dumi	mɨmsti?	arrow		n.	
180	Dumi	mɨnɨ	sit, be, stay, locational 'to be'	 basnu.	vi-4 mo:-mɨ-muy/mu	
181	Dumi	lɨtnɨ	tell someone	 bhannu.	vt-2a lɨd/lɨt-lɨts/lɨs	
182	Dumi	lɨtnɨ	frolicsome aspectivizer for transitive verbs		vt-2a lɨd/lɨt-lɨts/lɨs	
183	Dumi	loʔo	large, edible frog	 pāhā	n.	
184	Dumi	lolitnɨ	overturn, flip something over; turn upside down; devastate, thoroughly upset.		vt-2a lolit-lolits/lolis	
185	Dumi	lolitnsinɨ	1) flip over (of a landed fish), 2) [myth., said of Ruwabhu ] turn oneself upside down, invert oneself (an act which Ruwabhu, who is both the planet Venus and the Rai Yggdrasil or Tree of Existence, which permeates and sustains all levels of the Universe with its roots in the underworld and branches in the heavens, will perform at the end of time when he is totally fed up and dissatisfied with mankind. When Ruwabhu does this, he will bring about the Ragnarok or total destruction of the world		vr.erg.	
186	Dumi	lomdzom	grain, cultivated foodstuffs		n.	
187	Dumi	lomthi:nɨ				
188	Dumi	lo:phe:bhu	a shrub or tree bearing red flowers, known in Nepali by the name tilke-ko rukh.		n.	
189	Dumi	lo:tnɨ	plough (with hǝllɨ 'ploughshare' &lt; Nep. hallo)		vt-2a lo:d/lo:t-lo:ts/lo:s	
190	Dumi	lopnɨ	1) catch, seize, grab; pounce upon (said of wild animals and their prey) 2) hilt, haft, handle.	1) samāunu, samātnu, pakaḍnu	1) vt-3 luph/lup-lop 2) n.	
191	Dumi	lop-pɨ	grabber, clutching, grabbing.		n.adj.	
192	Dumi	lotnɨ	1) smear on (mud or clay), smear out, spread (of mud or other substance of fluidlike consistency) 2) smear out, erase, obliterate	lipnu	vt-2a lod/lot-lots/los	
193	Dumi	löʔ́lim	earthquake		n.	
194	Dumi	lökhutntunɨ	leave in a place, leave behind somewhere, abandon at a place	 choḍī rākhnu.	vt-6a lökhutta-lökhuttuy/lökhuttu-lökhuttɨ-lökhutto	
195	Dumi	lu	rock, stone	 ḍhun%gā.	n.	
196	Dumi	luknɨ	gore, gouge, strike with the horns, kick with the hind legs	 hānnu.	vt-2a lukt/luk-lukh/luk	
197	Dumi	lum	liver	 kalejo	n.	
198	Dumi	lumdima	second born (offspring or sibling)		n.adj.fem.	
199	Dumi	lumdimi	(of a married female) second born (offspring or sibling)		n.fem.	
200	Dumi	lumdɨ	second born (offspring or sibling)		n.adj.masc.	
201	Dumi	tsa:nam	fragrant (complement of nǝmnɨ 'smell')		adv.	
202	Dumi	tsa:nɨkpa	delicious, tasty		adj.	
203	Dumi	tsa:pnɨ	be able to, can	 saknu.	vt-2c tsa:pt/tsa:p-tsa:ph/tsa:p	
204	Dumi	tsa:ri, tsa:rim	younger brother		n.	
205	Dumi	tsa:tnɨ	1) propagate (e.g. cultivated plants) 2) shoot forth, come about, spring up, well up, break out (e.g. sɨmar disease)	1) phailāunu 2) ubjanu.	vt-2a tsa:t-tsa:ts/tsa:s	
206	Dumi	tsapɨ	father-in-law (female or male speaking)	 sāsurā.	n.	
207	Dumi	tsaptsɨ	Panthera tigris, the tiger		n.	
208	Dumi	tsasɨmmɨl	grain	 anna	n.pl.	
209	Dumi	tsatɨm	mother-in-law (female or male speaking)	 sāsu.	n.	
210	Dumi	tsatsɨ	granddaughter	 nātinī.	n.	
211	Dumi	tsatsu	grandson	 nātī.	n.	
212	Dumi	tsekirma	seventh born (offspring or sibling)		n.adj.fem.	
213	Dumi	tsekirmi	(of a married female) seventh born (offspring or sibling)		n.fem.	
214	Dumi	tsekɨ	seventh born (offspring or sibling)		n.adj.masc.	
215	Dumi	tsekɨse	seventh born son		n.masc.	
216	Dumi	tseksembhu	fodder tree Litsea polyantha or Litsea monopetala bearing white flowers and black fruits	 kuṭimiro, kuṭamiro, paṭmiro, paṭmero.	n.	
217	Dumi	tselpɨ	1) maiden home, parental home of a married woman 2) male siblings (married female speaking).	1) māitī ghar	n.	
218	Dumi	tsem	bamboo platform, esp. suspended above a fireplace indoors	 ṭāʔḍ.	n.	
219	Dumi	tsemmɨtnɨ	cause or have someone play, particularly piNgo, i.e. swing someone around in the game of piNgo, propel someone in the game of piNgo	 (pin% ) khelāunu.	vt-2a tsem mɨd/mɨt-mɨts/mɨs	
220	Dumi	tsemnɨ	play	 khelnu.	vt-2a tsemd/tsem-tsem	
221	Dumi	nini	paternal aunt, older or younger than father		n.	
222	Dumi	Nitso	ear	 kān.	n.	
223	Dumi	Nitso-siʔi	earwax	 kān-ko maina	n.	
224	Dumi	Nitsotso:	earlobe.		n.	
225	Dumi	nɨ	name		n.	
226	Dumi	nɨ	mind		n.	
227	Dumi	nɨ	two, the two of them, both		num.	
228	Dumi	Nɨ	fish	 māchā.	n.	
229	Dumi	Nɨ-kɨrnɨ	a pɨktsɨm or bamboo wicker creel used for carrying fish		n.	
230	Dumi	nɨnɨ	be good, be alright, be fine		vi-4 no:-nu-nɨ	
231	Dumi	nɨri	a disincarnate hoNsa which is returning to be reincarnated; a person's reincarnation.		n.	
232	Dumi	nɨ-sa:nɨ	consciousness, awareness		n.	
233	Dumi	-Nka	(affixed to a vowel-final verb or clause) then, well then		sf.	
234	Dumi	No	five.		num.	
235	Dumi	Noknɨ	cry, weep: Nep. runu.		vi-3 Nukh/Nuk-Nok	
236	Dumi	noktibhu	the tree Ficus nemoralis	 dudhilo.	n.	
237	Dumi	nono	mother's younger sister		n.	
238	Dumi	no:me	vide <A HREF="response.cgi?flags=undnnnnp&root=config&basename=/data/sintib/dumet&first=1&text_proto=delme&method_proto=substring" target="_blank">delme.</A>		n.	
239	Dumi	no:the	favour, kindness, assistance, service	 upakār, bhalāi	n.	
240	Dumi	nosǝ, nosǝm	muscle, muscles		n.	
241	Dumi	lepnɨ	1) glue, stick; 2) mend, fasten, patch.		vt-2a lept/lep-liph/lip	
242	Dumi	letnɨ	plant, sow	 ropnu	vt-2a let-li:ts/li:s	
243	Dumi	letnɨ	survive	 bāʔcnu.	vi-3 li:ts/li:s-let	
244	Dumi	letnɨ	1) release, let go, let loose 2) so:m li:tnɨ (so:m 'breath' as third singular patient) exhale	1) choḍnu; 2) sās phirnu	vt-4 li:d/li:t-li:ts/li:s-let	
245	Dumi	letnsunɨ	get rid off, cast out	 choḍī paṭhāunu.	vt-6a li:sa-li:suy/li:su-li:sɨ-li:so	
246	Dumi	lǝ	all right, O.K.	 la.	interj.	
247	Dumi	lǝkǝ	from	 bāṭa.	postp.	
248	Dumi	lǝmnɨ	look for, search, seek	 khojnu.	vt-3 lum-lǝm	
249	Dumi	lǝmpa:nɨ	go about in search of something or someone.		vt-3 lum-lǝm + vt-4 pad/pǝt-pǝts/pǝs-pat	
250	Dumi	lǝ-Nka	well all right then, well in that case O.K.		interj.	
251	Dumi	lǝnnɨ	bring out, take out, remove	 nikālnu	vt-4 lǝnd/lǝn-lǝnts/lǝs-lǝt	
252	Dumi	lǝnnɨ	come out, emerge	 niskinu	vi-5 lǝnts/lǝs-lo:-lǝʔ-lǝn	
253	Dumi	lǝntsɨp	man, male	 lognemānche	n.	
254	Dumi	lǝpa	wrestling, wrestling match		n.	
255	Dumi	liʔi	high mountain pass, ridge, mountain crest	 ḍāʔḍā.	n.	
256	Dumi	liʔkhotnɨ	(with third singular patient agreement with incorporated patient liʔi 'ridge') cut across a ridge, cross over a mountain, cut through a high pass (movement away from point of reference)	 ḍāʔḍā kāṭi lagnu.	vt-2a liʔkhot-liʔkhots/liʔkhos	
257	Dumi	liʔm	side of a mountain, slope or face of a mountain.		n.	
258	Dumi	Liʔmbɨ	Limbu		n.	
259	Dumi	liʔpitnɨ	(with third singular patient agreement with incorporated patient liʔi 'ridge') to come across a ridge, to cut across a ridge or mountain crest (toward the point of reference)	 yatā āundā ḍāʔḍā kāṭnu	vt-2a liʔpid/liʔpit-liʔpits/liʔpis	
260	Dumi	lim	soft fibres (esp. as filling) for quilt, blanket or mattress; soft blanket	 pallā	n.	
261	Dumi	Paratɨ	one of the two avian escorts who took Na:ye:m from earth to the planet Venus, Ruwabhu		n.myth.	
262	Dumi	parɨ	primordial undifferentiated foam (Nep. phīʔj ) and vapour that rose up as a froth from the primordial sea atop which it condensed into land and stone to form the continents; the parɨ also rose up as a vapour into the heavens where it persists as ether; substance, matter, ether.		n.myth.	
263	Dumi	parɨbɨ				
264	Dumi	parɨ-tsuʔu	newborn infant sacrificed in olden times to the gods of Creation.		n.	
265	Dumi	parkirma	third born (offspring or sibling)		n.adj.fem.	
266	Dumi	parkirmi	(of a married female) third born (offspring or sibling)		n.fem.	
267	Dumi	parkɨ	third born (offspring or sibling)		n.adj.masc.	
268	Dumi	parkɨse	third born son		n.masc.	
269	Dumi	pawöm	chicken		n.	
270	Dumi	pawömmu	hen		n.	
271	Dumi	pawömpu	cockerel, cock, rooster		n.	
272	Dumi	pawömti:	chicken's egg.		n.	
273	Dumi	payadanilu	one of the three stones comprising the sɨptɨlu (q.v.), the stone situated nearest to the wall		n.	
274	Dumi	peʔe	half	 ādhā.	n.adv.	
275	Dumi	pe:tnɨ	pick (fruits, flowers), pick up	 ṭīpnu	vt-4 pi:d/pi:t-pi:ts/pi:s-pe:t	
276	Dumi	pǝndhi	axe, hatchet	 bancaro, bãcoro.	n.	
277	Dumi	pǝnnɨ	spin toʔo 'yarn', make su:le 'thread' out of khoʔsi 'cotton' with a wa:tntsi 'spindle and whorl'	 dhāgo nikālnu, dhāgo banāunu	vt-2a pǝnd/pǝn-pǝnts/pǝns	
278	Dumi	pǝtnɨ	(with non-referential third singular agent agreement) 1) flower, bloom (of flowers); 2) (with mori 'foetus, embryo') be pregnant, mori pǝtɨm pregnant (Nep. garbha bhaeko ); 3) (of mori-puma 'embryo-flower' or mitsɨm-puma 'woman-flower') menstruate, be in menstruation.		vt-2a pǝt-pǝts/pǝs	
279	Dumi	Pǝyɨpsɨ	the first man to emerge from the womb of Na:ye:m.		n.myth.	
280	Dumi	pha:knɨ	1) scrape, scrape around, rub off of, rub or scrape against (takes avian agent (silpuʔa ), like chicken or wild fowl (jãgalī carāharū ) that scrape about with their feet 2) (with as agent kɨbi 'shaman' and as patient sam 'soul'	1) kharsinu	vt-1 pha:kh/pha:k	
281	Dumi	Na:yɨ-syennɨ	mirror	 ainā, darpan5.	n.	
282	Dumi	natsɨrmɨ	1) savage, wild man 2) Hayu	1) rāks5as	n.	
283	Dumi	ne	then (prosodic particle often left untranslated)		adv.	
284	Dumi	neksebɨm	the Newaris, the Newari nation, the Newari tribe		n.coll.	
285	Dumi	neksɨm	Newari	 Nevārī	n.	
286	Dumi	neksɨmbɨ	Newari.		adj.	
287	Dumi	nenɨ	put, place		vt-1 ne	
288	Dumi	Nǝ			emphatic particle highlighting preceding element or syntactic constituent.	
289	Dumi	nǝmnɨ	a) 1) smell, be odiferous or aromatic 2) tsa:ʔi:kpa nǝmnɨ smell bad, emit a stench, reek 3) tsa:nam nǝmnɨ smell good, emit an aroma or fragrance	a) gahnāunu b) sũghnu.	a) vi-3 num-nǝm b) vt-3 num-nǝm	
290	Dumi	nǝrǝNkho	shin	 pāʔsulā.	n.	
291	Dumi	nǝrǝNkho-sa:lu				
292	Dumi	nǝrǝN-sa:lu	shinbone, tibia	 pāʔsulā	n.	
293	Dumi	nǝrkam-sa:lu				
