ID	DOCULECT	CONCEPT	CONCEPTID	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	RGEN	TOKENS
153	Byangsi	the wood (material)	177	1803	511	wood	542409	ʃ i n
154	Byangsi	the year	178	1226	777	this year	542497	th a n ʃ i n
155	Byangsi	there	179	1937	950	there	541536	a t i kh o
156	Byangsi	there	179	1937	950	there	541534	a t ɛ
157	Byangsi	thick	180	1244	980	thick (liquid)	542270	ph o t e
158	Byangsi	thin (object)	181	2307	981	thin (round shape)	541985	l a k t ɛ
159	Byangsi	this	182	1214	942	these (used for human beings)	541521	ai m a ŋ
160	Byangsi	thou [second person singular]	183	1215	931	2sg. you	541771	g a n
161	Byangsi	three	184	492	799	three	542381	s ə m
162	Byangsi	to be alive	185	1422	1087	alive	542529	t 5 a ŋ d e
163	Byangsi	to bite	186	1403	1753	pinch, bite	541607	c e m o
164	Byangsi	to burn [intransitive]	188	1428	1269	burn, ignite	541622	c ı̀ mm o
165	Byangsi	to buy	189	1869	1516	stop; understand; buy	542479	t o m o
166	Byangsi	to chew	190	321	1424	chew (something which is something hard)	542194	p à c m o
167	Byangsi	to come	191	1446	1491	come	542280	r a: m o
168	Byangsi	to count	192	1420	1640	count	541840	h yɔ ŋ m o
169	Byangsi	to cry (weep)	193	1420	1485	count	541840	h yɔ ŋ m o
170	Byangsi	to die	194	1494	1651	die, be extinguished	541825	h i c i m o
171	Byangsi	to dig	195	1418	1698	dig, scratch	541929	k w à m o
172	Byangsi	to drink	196	1401	1370	drink	542487	t u ŋ ◦ m o
173	Byangsi	to eat	197	1336	1198	eat	541736	dz a: m o
174	Byangsi	to fight	198	1423	1234	fight	541689	d a k ʃ i m o
175	Byangsi	to float	199	1574	1553	float	541841	h yu: m o
176	Byangsi	to flow	200	2003	1502	flow, be opened	541578	b ɔ m o
177	Byangsi	to fly (move through air)	201	1441	1318	fly	542252	ph a ŋ m o
178	Byangsi	to forget	202	1523	1704	forget	542015	l ɔ ◦ ʃ i ◦ m o
179	Byangsi	to give	203	1447	1345	give	541688	d a: m o
180	Byangsi	to hear	204	1408	1682	hear, agree, accept	542316	r u ŋ ʃ i m o
181	Byangsi	to hide (conceal)	205	602	1169	hide	541638	c ya: m o
182	Byangsi	to kill	208	1417	1602	kill, extinguish	542355	s à m o
183	Byangsi	to knead	209	274	1594	knead	541705	d u m o
184	Byangsi	to know (something)	210	1410	1398	lick; know	541989	l a: m o
185	Byangsi	to laugh	211	1355	1735	laugh	541838	h ye m o
186	Byangsi	to learn	212	504	1742	learn	542031	h l a b ʃ i m o
187	Byangsi	to lick	213	319	1674	lick; know	541989	l a: m o
188	Byangsi	to play	217	1413	1703	play	541994	l a ŋ m o
189	Byangsi	to pull	218	1455	1568	pull	542135	n o m o
190	Byangsi	to push	219	1452	1689	strike a match; push	542547	t 5 h a: m o
191	Byangsi	to reside (live)	220	1099	1452	live, stay	542126	n i m o
192	Byangsi	to run	221	1519	1544	run	541861	j a ŋ m o
193	Byangsi	to scratch	222	1436	1530	dig, scratch	541929	k w à m o
194	Byangsi	to see	223	1409	1471	see, be found	542468	t i ŋ m o
195	Byangsi	to sing	225	1261	1184	sing	542476	t o c m o
196	Byangsi	to sleep	226	1585	1646	sleep	542621	ya: ◦ m o
197	Byangsi	to smell (perceive odor) [transitive]	227	1586	1707	smell	542154	h n i mm o
198	Byangsi	to sow (broadcast, scatter seeds)	228	748	1597	sow	542640	ye b m o
199	Byangsi	to spit	229	1440	1688	spit	542490	th ə b m o
200	Byangsi	to stand	230	1442	1784	stand	542622	ya b m o
201	Byangsi	to steal	231	713	1686	steal	541960	kh u: m o
202	Byangsi	to think (reflect)	232	1415	1726	think	541621	c ı̀ c i m o
203	Byangsi	to throw	233	1456	1687	throw (stone, etc.)	541935	k ə ŋ m ɔ , _ k ə mm ɔ
204	Byangsi	to vomit	234	1278	1535	vomit	542013	l ɔ ŋ m o
205	Byangsi	to walk	235	1443	1815	go	541712	d ye m o
206	Byangsi	to walk	235	1443	1815	walk	542645	ye n ʃ i m o
207	Byangsi	to wipe	236	1454	1163	apply something, wipe	542403	ʃ ı̀ m o
208	Byangsi	today	237	1283	738	today	542511	th i n j a:
209	Byangsi	tomorrow	238	1329	742	tomorrow	541653	ch a n a n
210	Byangsi	twenty	239	1710	816	twenty	542120	n a ss a:
211	Byangsi	two	240	1498	798	two	542116	n a ʃ ɛ
212	Byangsi	we [first person plural inclusive]	241	1131	930	1sg, I, me	541874	j e
213	Byangsi	wet	242	1726	1029	wet, watery	542509	th i: t ɛ
214	Byangsi	where	244	1237	955	where	542592	u l o
215	Byangsi	white	245	1335	1006	white	542399	ʃ i: d ɛ
216	Byangsi	who	246	1235	953	who	542593	u n a:
217	Byangsi	yellow	247	1424	1008	yellow	542025	l ye d ɛ
218	Byangsi	yesterday	248	1174	739	yesterday	542140	n ya: r ɛ
219	Byangsi	you [second person plural]	249	1213	933	2pl. you	541768	g a n i
