NUMBER	GLOSS	SEMANTIC TAG	STATUS
113	the hair	body	!
114	the hand	body	!
115	the head	body	!
116	the heart	body	!
117	the intestines	body	!
118	the knee	body	!
119	the leg	body	!
120	the liver	body	!
121	the mouth	body	!
122	the nail (fingernail or claw)	body	!
123	the neck	body	!
124	the nose	body	!
125	the shoulder	body	!
126	the skin	body	!
127	the tongue	body	!
128	the tooth (front)	body	!
129	the back	body	?
130	the armpit	body	&
131	the buttocks	body	&
132	the arm	body	&
133	the thigh	body	&
134	the hoof	body	&
135	the horn (keratinized skin)	body, animal	!
136	the leaf	body, animal	!
137	the meat	body, animal	!
138	the root	body, animal	!
139	the tail	body, animal	!
140	the wing	body, animal	!
141	the branch	body, plant	!
142	the fat (grease)	body, substance	?
143	young	characterisation, age	&
144	bad	characterisation, character	!
145	good	characterisation, character	!
146	lazy	characterisation, character	&
147	white	characterisation, color	!
148	yellow	characterisation, color	!
149	hard	characterisation, form	&
150	soft	characterisation, form	&
151	far	characterisation, location	!
152	deep	characterisation, location	&
153	shallow	characterisation, location	&
154	beautiful	characterisation, opinion	&
155	difficult	characterisation, opinion	&
156	easy	characterisation, opinion	&
157	ugly	characterisation, opinion	&
158	all	characterisation, quantity	!
159	big	characterisation, quantity	!
160	few	characterisation, quantity	!
161	heavy	characterisation, quantity	!
162	wide	characterisation, quantity	!
163	high / tall 	characterisation, quantity	&
164	light (of weight)	characterisation, quantity	&
165	dirty	characterisation, state	!
166	dry	characterisation, state	!
167	full	characterisation, state	!
168	wet	characterisation, state	!
169	bright	characterisation, state	&
170	clear, transparent (as of water)	characterisation, state	&
171	clean	characterisation, state	&
172	dark	characterisation, state	&
173	salty	characterisation, taste	&
174	warm (hot)	characterisation, temperature	!
175	hot	characterisation, temperature	&
176	correct (right)	characterization, character	!
177	shy	characterization, character	!
178	black	characterization, color	!
179	green	characterization, color	!
180	red	characterization, color	!
181	round	characterization, form	!
182	sharp	characterization, form	!
183	smooth	characterization, form	!
184	straight	characterization, form	!
185	thin	characterization, form	!
186	left	characterization, location	!
187	right	characterization, location	!
188	long	characterization, quantity	!
189	many	characterization, quantity	!
190	narrow	characterization, quantity	!
191	near	characterization, quantity	!
192	short	characterization, quantity	!
193	small	characterization, quantity	!
194	some	characterization, quantity	!
195	thick	characterization, quantity	!
196	new	characterization, state	!
197	old (of person)	characterization, state	!
198	sick	characterization, state	!
199	fat (obese)	characterization, state	?
200	female	characterization, state	?
201	male	characterization, state	?
202	cold (of temperature)	characterization, weather	!
203	not	function word	?
204	the man (male human)	human being	!
205	the name	human being	!
206	the person	human being	!
207	the woman	human being	!
208	the child (descendant)	kinship	!
209	the child (young human	kinship	!
210	the father	kinship	!
211	the husband	kinship	!
212	the mother	kinship	!
213	the wife	kinship	!
214	the daughter	kinship	&
215	the grandfather	kinship	&
216	the grandmother	kinship	&
217	the son	kinship	&
218	the granddaughter	kinship	&
219	the grandson	kinship	&
220	there	location	!
221	the front (front side)	location	&
222	horizontal	location	&
223	inside	location	&
224	middle	location	&
225	outside	location	&
226	above	location, adjective or noun	!
227	below, under	location, adjective or noun	!
228	here	location, pronoun	!
229	the dream	mind	!
230	the cloud	nature	!
231	the dog	nature	!
232	the dust	nature	!
233	the earth (soil)	nature	!
234	the fire	nature	!
235	the fog	nature	!
236	the forest	nature	!
237	the grass	nature	!
238	the ice	nature	!
239	the lake	nature	!
240	the smoke	nature	!
241	the frost	nature	&
242	the hail	nature	&
243	the pond	nature	&
244	the dew	nature	&
245	the mud	nature	&
246	the rainbow	nature	&
247	the fruit	nature, food	!
248	the mountain	nature, geography	!
249	the river	nature, geography	!
250	the sea	nature, geography	!
251	the sky	nature, geography	!
252	the star	nature, geography	!
253	the moon	nature, object	!
254	the snow	nature, object	!
255	the tree	nature, object	!
256	the rain	nature, phenomenon	!
257	the wind	nature, phenomenon	!
258	the lightning	nature, phenomenon	?
259	the sand	nature, substance	!
260	the stone (a piece of)	nature, substance	!
261	the water	nature, substance	!
262	the ashes	nature, substance	?
263	eight	number	!
264	five	number	!
265	four	number	!
266	hundred	number	!
267	nine	number	!
268	one	number	!
269	seven	number	!
270	six	number	!
271	ten	number	!
272	three	number	!
273	twenty	number	!
274	two	number	!
275	thing	object, abstract	&
276	the bridge	object, building	&
277	the hat	object, clothing	&
278	the trousers	object, clothing	&
279	the bottle	object, clothing	&
280	the salt	object, food	!
281	the seed	object, food	!
282	the soup	object, food	&
283	the wheat	object, food	&
284	the rice	object, food	&
285	bed	object, furniture	&
286	mat	object, furniture	&
287	table	object, furniture	&
288	the road	object, geography	!
289	the sun	object, geography	!
290	the roof	object, house	?
291	the coal	object, mineral, metal	&
292	the copper	object, mineral, metal	&
293	the gold	object, mineral, metal	&
294	the iron	object, mineral, metal	&
295	the silver	object, mineral, metal	&
296	the thunder	object, phenomenon	!
297	knife	object, tool	!
298	the needle (for sewing)	object, tool	!
299	the rope	object, tool	!
300	the stick	object, tool	!
301	sickle	object, tool	&
302	firewood	object, utility	&
303	the flower	plant	!
304	the grape	plant, food	&
305	the peach	plant, food	&
306	the bamboo	plant, food	&
307	the vegetable	plant, food	&
308	the wood (material)	plant, substance	!
309	to be alive	process	!
310	to blow (of wind)	process	!
311	to burn [intransitive]	process	!
312	to die	process	!
313	to fall	process	!
314	to fear (be afraid)	process	!
315	to float	process	!
316	to flow	process	!
317	to swell	process	?
318	I [first person singular]	pronoun	!
319	that	pronoun	!
320	they [third person plural]	pronoun	!
321	this	pronoun	!
322	thou [second person singular]	pronoun	!
323	we [first person plural]	pronoun	!
324	you [second person plural]	pronoun	!
325	he or she [third person singular]	pronoun	?
326	what	pronoun, question	!
327	where	pronoun, question	!
328	who	pronoun, question	!
329	how	pronoun, question	?
330	when	pronoun, question	?
331	the house	residence	!
332	now	time	!
333	the year	time	!
334	the day (opposed to night)	time	?
335	the night	time	?
336	early	time	&
337	late	time	&
338	morning	time	&
339	noon	time	&
340	today	time	&
341	tomorrow	time	&
342	yesterday	time	&
