GLOSS	AMBIGUITY	COVERAGE	SOURCES
hold (baby) in arms		1	ZMYYC
hold a meeting		1	ZMYYC
hold in mouth		1	ZMYYC
home		1	ZMYYC
home;home (use as M.W.)		1	ZMYYC
honeybee		1	ZMYYC
honorific surname; surname		1	ZMYYC
hoop		1	ZMYYC
hoop (thin bamboo strips)		1	ZMYYC
horizontal (N)		1	ZMYYC
hot (spicy)		1	ZMYYC
hot season		1	ZMYYC
how many / much		1	ZMYYC
hundred million		1	ZMYYC
ill / sick		1	ZMYYC
immediately / right away		1	ZMYYC
ink cake		1	ZMYYC
insert / stick into		1	ZMYYC
insert seedling		1	ZMYYC
intelligent		1	ZMYYC
interest		1	ZMYYC
itch		1	ZMYYC
itch (N)		1	ZMYYC
itch (V)		1	ZMYYC
itch (scrath-)		1	ZMYYC
jew's harp		1	ZMYYC
just now		1	ZMYYC
kick;kick (person by animal)		1	ZMYYC
kill;kill pigs		1	ZMYYC
kill;slaughter cows, pigs, etc		1	ZMYYC
know (a language) / can / be abl		1	ZMYYC
ladle / dredge		1	ZMYYC
later (in time)		1	ZMYYC
lay (bricks)		1	ZMYYC
lay (egg)		1	ZMYYC
lazy (N)		1	ZMYYC
lead (animal)		1	ZMYYC
leak (house);leak (iron pot)		1	ZMYYC
lean		1	ZMYYC
lean (meat)		1	ZMYYC
lean (pork)		1	ZMYYC
leech (mountain)		1	ZMYYC
legging		1	ZMYYC
legging worn by men		1	ZMYYC
legging worn by women		1	ZMYYC
lend		1	ZMYYC
leopard (=tiger)		1	ZMYYC
lid		1	ZMYYC
light (candle)		1	ZMYYC
like		1	ZMYYC
lime		1	ZMYYC
liquor		1	ZMYYC
liquor (corn); liquor (white)		1	ZMYYC
liquor (highland barley)		1	ZMYYC
liquor (white lightning)		1	ZMYYC
listen; hear		1	ZMYYC
little / few		1	ZMYYC
load		1	ZMYYC
look		1	ZMYYC
loose / lax		1	ZMYYC
lose / be beaten;lose (gambling)		1	ZMYYC
lose / misplace		1	ZMYYC
lose a fight		1	ZMYYC
lunch		1	ZMYYC
mad person		1	ZMYYC
make bed		1	ZMYYC
malaria		1	ZMYYC
man (male person)		1	ZMYYC
mark		1	ZMYYC
marketplace		1	ZMYYC
marry (a man)		1	ZMYYC
mat for drying food in the sun		1	ZMYYC
mat woven from bamboo leaves		1	ZMYYC
means / method		1	ZMYYC
meat / flesh		1	ZMYYC
melon		1	ZMYYC
melon (winter)		1	ZMYYC
melt		1	ZMYYC
melt (simplex); melt (causative)		1	ZMYYC
metal weight on steelyard		1	ZMYYC
metal weight on steelyard(big)		1	ZMYYC
mill		1	ZMYYC
mill (water-powered)		1	ZMYYC
mince (meat) with knife		1	ZMYYC
monetary unit / dollar		1	ZMYYC
money (general term)		1	ZMYYC
month (intercalary)		1	ZMYYC
mortar(sm stone;mortar(bigwood		1	ZMYYC
mosquito net		1	ZMYYC
most (superlative degree)		1	ZMYYC
mother(direct);mother(gen'l)		1	ZMYYC
mother(ref);mother (direct)		1	ZMYYC
mother-in-law (direct, general		1	ZMYYC
mouth organ		1	ZMYYC
move something to a new place		1	ZMYYC
multicolored		1	ZMYYC
mute (male);mute (female)		1	ZMYYC
nail (tool)		1	ZMYYC
nationality		1	ZMYYC
nephew		1	ZMYYC
nephew (reference)		1	ZMYYC
new year's eve		1	ZMYYC
niece		1	ZMYYC
niece (reference)		1	ZMYYC
night; dusk		1	ZMYYC
nit ("louse-egg")		1	ZMYYC
noodles		1	ZMYYC
oak		1	ZMYYC
official		1	ZMYYC
often		1	ZMYYC
oil from animal		1	ZMYYC
old (of men)		1	ZMYYC
old (of people)		1	ZMYYC
old (of vegetable)		1	ZMYYC
old (things)		1	ZMYYC
old man (colloq)		1	ZMYYC
old person		1	ZMYYC
one ;		1	ZMYYC
onion (green)		1	ZMYYC
open (door)		1	ZMYYC
open (eye)		1	ZMYYC
open (general term)		1	ZMYYC
open (lid)		1	ZMYYC
others		1	ZMYYC
overflow		1	ZMYYC
owe		1	ZMYYC
pain / ache		1	ZMYYC
pain / ache (V)		1	ZMYYC
pair		1	ZMYYC
paste / glue / stick		1	ZMYYC
patch		1	ZMYYC
pay indemnity to		1	ZMYYC
pepper, hot / chili		1	ZMYYC
pepper, hot / chili (from Thai)		1	ZMYYC
pestle (large wooden)		1	ZMYYC
phlegm		1	ZMYYC
pick / select		1	ZMYYC
pick up stuff		1	ZMYYC
pile up (e.g. earth)		1	ZMYYC
plain		1	ZMYYC
plant		1	ZMYYC
plant seedlings		1	ZMYYC
play		1	ZMYYC
plough	n,v	1	ZMYYC
plough; plow virgin soil		1	ZMYYC
pole		1	ZMYYC
poplar cypress tree (=?)		1	ZMYYC
pot (stir fry)		1	ZMYYC
pot / wok		1	ZMYYC
pour (liquid) into		1	ZMYYC
press;press flat		1	ZMYYC
prick		1	ZMYYC
pry		1	ZMYYC
pull (out)		1	ZMYYC
put / place		1	ZMYYC
put on / wear		1	ZMYYC
put on / wear;put on / wear (caus)		1	ZMYYC
put on / wear;wear shoes		1	ZMYYC
quilt		1	ZMYYC
railroad		1	ZMYYC
raincoat (of leaves, hemp fibe		1	ZMYYC
raincoat made of palm tree		1	ZMYYC
rainy season		1	ZMYYC
ramie		1	ZMYYC
ramie ("fire hemp")		1	ZMYYC
ramie ("male hemp")		1	ZMYYC
rat / mouse		1	ZMYYC
raw		1	ZMYYC
reach out(foot)		1	ZMYYC
reach out(hand)		1	ZMYYC
read; read (borr. from C)		1	ZMYYC
reed-pipe instrument		1	ZMYYC
refine		1	ZMYYC
relative		1	ZMYYC
repair		1	ZMYYC
rest ordinary days;rest(walkin		1	ZMYYC
ret. / go back;ret / go back;reply		1	ZMYYC
retreat		1	ZMYYC
return / go back		1	ZMYYC
rice (plant)		1	ZMYYC
ride		1	ZMYYC
right / correct (C)		1	ZMYYC
right / correct (N)		1	ZMYYC
right, just, upright		1	ZMYYC
rise (of the sun)		1	ZMYYC
rise / appear (of the sun)		1	ZMYYC
road / way		1	ZMYYC
rob		1	ZMYYC
roebuck		1	ZMYYC
roebuck(male);roebuck(female)		1	ZMYYC
roll (e.g. rock)		1	ZMYYC
rooster		1	ZMYYC
rot / spoil		1	ZMYYC
rotate / spin		1	ZMYYC
round (ball shape)		1	ZMYYC
rub (to soften animal skin)		1	ZMYYC
saddle for horse		1	ZMYYC
saddle;saddle for horse		1	ZMYYC
saliva / spittle		1	ZMYYC
save / rescue		1	ZMYYC
say / speak		1	ZMYYC
scarf for head / turban(male)		1	ZMYYC
scarf for head / turban-m;-f		1	ZMYYC
scarf for the head / turban		1	ZMYYC
scatter / broadcast		1	ZMYYC
school		1	ZMYYC
scold to so.'s face		1	ZMYYC
scoop		1	ZMYYC
search		1	ZMYYC
seedling		1	ZMYYC
sharpen		1	ZMYYC
shave (hair of head)		1	ZMYYC
shoe (leather)		1	ZMYYC
shop		1	ZMYYC
sieve	n,v	1	ZMYYC
silk (cloth)		1	ZMYYC
silk (cloth); satin		1	ZMYYC
silver (white silver)		1	ZMYYC
sinew		1	ZMYYC
sing folksong before / aft work		1	ZMYYC
sis (young) < e.b.; sis < e.s.		1	ZMYYC
sister (elder) (dir.;e.s. gen		1	ZMYYC
sister (younger) < elder bro		1	ZMYYC
sister (younger) by elder sis.		1	ZMYYC
sister(younger) direct / general		1	ZMYYC
skin / flay		1	ZMYYC
skirt male; skirt female		1	ZMYYC
slanting, not upright		1	ZMYYC
slanting, not upright (V)		1	ZMYYC
slope		1	ZMYYC
slope (ascend);slope (descend)		1	ZMYYC
slowly		1	ZMYYC
small (age)		1	ZMYYC
smallpox		1	ZMYYC
snot		1	ZMYYC
snot (clear);snot		1	ZMYYC
soak / immerse(e.g. seed)		1	ZMYYC
socks		1	ZMYYC
sorghum		1	ZMYYC
soup (<C);juice (broth?)		1	ZMYYC
sow broadcast;dibble seeds		1	ZMYYC
soybean		1	ZMYYC
spade		1	ZMYYC
speech; language		1	ZMYYC
spin (yarn)		1	ZMYYC
spit; spit blood		1	ZMYYC
split open;break		1	ZMYYC
spring		1	ZMYYC
standing; stand up		1	ZMYYC
steel		1	ZMYYC
steelyard		1	ZMYYC
steelyard large;steelyardSmall		1	ZMYYC
steep		1	ZMYYC
stem / stalk		1	ZMYYC
stem / stalk of grain		1	ZMYYC
step / pass over (ditch)		1	ZMYYC
stinky		1	ZMYYC
stir / churn		1	ZMYYC
stir-fry vegs;stir-fry grain		1	ZMYYC
stone / pit		1	ZMYYC
stone / pit (soft)		1	ZMYYC
stone / rock		1	ZMYYC
stone pot; red copper pot		1	ZMYYC
stool		1	ZMYYC
story / tale		1	ZMYYC
strain (tea)		1	ZMYYC
stream		1	ZMYYC
strength		1	ZMYYC
strike (iron)		1	ZMYYC
strike w / palm;strike w / fist		1	ZMYYC
strike with open palm		1	ZMYYC
student		1	ZMYYC
stuff (hole) up		1	ZMYYC
stupid (male; female)		1	ZMYYC
sugar (red)		1	ZMYYC
sunny		1	ZMYYC
sunny (V)		1	ZMYYC
surname		1	ZMYYC
surround		1	ZMYYC
surround / encircle		1	ZMYYC
sweat ("black sweat")		1	ZMYYC
sweet potato		1	ZMYYC
swollen		1	ZMYYC
tael		1	ZMYYC
take back		1	ZMYYC
take back / put away		1	ZMYYC
take off (clothing)		1	ZMYYC
take out from water		1	ZMYYC
take out from water with tool		1	ZMYYC
tender		1	ZMYYC
that;that (far)		1	ZMYYC
there;there (distal)		1	ZMYYC
thick (tree)		1	ZMYYC
thin (of people)		1	ZMYYC
thin (slender)		1	ZMYYC
thin (slender);thin (screen)		1	ZMYYC
thin (watery)		1	ZMYYC
thing / matter / event		1	ZMYYC
thing / matter / event (work)		1	ZMYYC
thirsty (V)		1	ZMYYC
threshing time		1	ZMYYC
tie (e.g. firewood)into a bund		1	ZMYYC
tie(firewood)into bund;tieAnim		1	ZMYYC
tired (V)		1	ZMYYC
top		1	ZMYYC
train		1	ZMYYC
tread		1	ZMYYC
treat / cure		1	ZMYYC
tree trunk		1	ZMYYC
trunk / box		1	ZMYYC
turbid / muddy		1	ZMYYC
turnip		1	ZMYYC
twenty-one		1	ZMYYC
twist together		1	ZMYYC
two-stringed instrument		1	ZMYYC
uncle (maternal aunt's husband		1	ZMYYC
uncle (maternal)		1	ZMYYC
uncle (maternal) direct addres		1	ZMYYC
uncle (paternal aunt's husband		1	ZMYYC
uncle (paternal, elder)		1	ZMYYC
uncle (paternal, elder)(direct		1	ZMYYC
uncle (paternal, elder)(ref.)		1	ZMYYC
uncle (paternal, younger)		1	ZMYYC
uncle (paternal, younger)(ref)		1	ZMYYC
uncle(mom's elder sis' husband		1	ZMYYC
underneath		1	ZMYYC
upright		1	ZMYYC
upright (N)		1	ZMYYC
vegetable garden		1	ZMYYC
vehicle		1	ZMYYC
wages		1	ZMYYC
want;will / shall		1	ZMYYC
warm (oneself) near fire		1	ZMYYC
wash (hand)		1	ZMYYC
washbasin		1	ZMYYC
water buffalo		1	ZMYYC
water flowers;water ground		1	ZMYYC
weep		1	ZMYYC
weigh		1	ZMYYC
well (natural)		1	ZMYYC
which		1	ZMYYC
whip for horse		1	ZMYYC
wild goose		1	ZMYYC
win / triumph		1	ZMYYC
wind;gale		1	ZMYYC
wing, feather, fin		1	ZMYYC
wood		1	ZMYYC
word / character		1	ZMYYC
worker		1	ZMYYC
wring (e.g. wet cloth)		1	ZMYYC
wristwatch		1	ZMYYC
wrong / mistaken		1	ZMYYC
wrong / mistaken (N)		1	ZMYYC
year (age of person, animal)		1	ZMYYC
year / age		1	ZMYYC
year, last		1	ZMYYC
year, next		1	ZMYYC
year, this		1	ZMYYC
you (sg.)		1	ZMYYC
young woman (unmarried)		1	ZMYYC
zero		1	ZMYYC
February		2	TBL,ZMYYC
January		2	TBL,ZMYYC
angry		2	GEM-CNL,ZMYYC
answer		2	GEM-CNL,ZMYYC
ant		2	TBL,ZMYYC
armpit		2	TBL,ZMYYC
ascend		2	GEM-CNL,ZMYYC
ashes		2	GEM-CNL,ZMYYC
bark		2	TBL,ZMYYC
barley		2	TBL,ZMYYC
bat		2	TBL,ZMYYC
beam		2	GEM-CNL,ZMYYC
bear		2	TBL,ZMYYC
bear fruit		2	GEM-CNL,ZMYYC
bedbug		2	TBL,ZMYYC
begin		2	GEM-CNL,ZMYYC
believe		2	GEM-CNL,ZMYYC
bell		2	TBL,ZMYYC
big		2	GEM-CNL,ZMYYC
birth, give		2	GEM-CNL,ZMYYC
blind person		2	TBL,ZMYYC
blue		2	TBL,ZMYYC
blunt		2	GEM-CNL,ZMYYC
boar		2	TBL,ZMYYC
boat		2	GEM-CNL,ZMYYC
boil	n,v,vi	2	GEM-CNL,ZMYYC
bottle		2	TBL,ZMYYC
bowl		2	TBL,ZMYYC
branch		2	GEM-CNL,ZMYYC
break		2	GEM-CNL,ZMYYC
brick		2	TBL,ZMYYC
bright		2	TBL,ZMYYC
brother (elder)		2	GEM-CNL,ZMYYC
brother (younger)		2	GEM-CNL,ZMYYC
buckwheat (sweet)		2	TBL,ZMYYC
bullet		2	GEM-CNL,ZMYYC
buttocks		2	TBL,ZMYYC
calculate		2	TBL,ZMYYC
calf	n,nbp	2	TBL,ZMYYC
carpenter		2	TBL,ZMYYC
catch		2	GEM-CNL,ZMYYC
cattle (common)		2	TBL,ZMYYC
cave		2	GEM-CNL,ZMYYC
chair		2	GEM-CNL,ZMYYC
chew		2	TBL,ZMYYC
chopper		2	TBL,ZMYYC
chopsticks		2	TBL,ZMYYC
classifier for people		2	TBL,ZMYYC
classifier for trees		2	TBL,ZMYYC
claw		2	GEM-CNL,ZMYYC
clear (water)		2	TBL,ZMYYC
cliff		2	TBL,ZMYYC
clothes		2	GEM-CNL,ZMYYC
coal		2	TBL,ZMYYC
cold		2	GEM-CNL,ZMYYC
cook / boil (rice)		2	TBL,ZMYYC
count		2	GEM-CNL,ZMYYC
crooked		2	GEM-CNL,ZMYYC
crops		2	TBL,ZMYYC
crow	n,v	2	TBL,ZMYYC
cup		2	GEM-CNL,ZMYYC
dare		2	TBL,ZMYYC
daughter-in-law		2	TBL,ZMYYC
day after tomorrow		2	TBL,ZMYYC
day before yesterday		2	TBL,ZMYYC
deaf person		2	TBL,ZMYYC
deer		2	TBL,ZMYYC
descend		2	GEM-CNL,ZMYYC
dish		2	GEM-CNL,ZMYYC
ditch		2	GEM-CNL,ZMYYC
divide		2	GEM-CNL,ZMYYC
do		2	GEM-CNL,ZMYYC
doctor		2	TBL,ZMYYC
donkey		2	TBL,ZMYYC
dragon		2	TBL,ZMYYC
dragon (sky)		2	TBL,ZMYYC
dragonfly		2	TBL,ZMYYC
drop	n,v	2	TBL,ZMYYC
dye		2	TBL,ZMYYC
eagle		2	GEM-CNL,ZMYYC
earring		2	GEM-CNL,ZMYYC
earth		2	GEM-CNL,ZMYYC
earthworm		2	TBL,ZMYYC
enemy		2	GEM-CNL,ZMYYC
enter		2	GEM-CNL,ZMYYC
exchange		2	TBL,ZMYYC
excrement		2	TBL,ZMYYC
expensive		2	TBL,ZMYYC
eyebrow		2	TBL,ZMYYC
far		2	GEM-CNL,ZMYYC
fart		2	TBL,ZMYYC
fast		2	GEM-CNL,ZMYYC
father-in-law		2	TBL,ZMYYC
fear		2	GEM-CNL,ZMYYC
feather		2	GEM-CNL,ZMYYC
field		2	GEM-CNL,ZMYYC
firewood		2	TBL,ZMYYC
fist		2	TBL,ZMYYC
float		2	TBL,ZMYYC
flow		2	GEM-CNL,ZMYYC
flute		2	GEM-CNL,ZMYYC
fog		2	TBL,ZMYYC
forearm		2	TBL,ZMYYC
fox		2	TBL,ZMYYC
front		2	TBL,ZMYYC
frost		2	TBL,ZMYYC
future		2	TBL,ZMYYC
get		2	GEM-CNL,ZMYYC
glad	v,vi	2	GEM-CNL,ZMYYC
go		2	GEM-CNL,ZMYYC
gong		2	TBL,ZMYYC
goose		2	TBL,ZMYYC
granddaughter		2	TBL,ZMYYC
grandson		2	TBL,ZMYYC
grape		2	TBL,ZMYYC
grasshopper		2	GEM-CNL,ZMYYC
grave		2	GEM-CNL,ZMYYC
grind		2	GEM-CNL,ZMYYC
guest		2	TBL,ZMYYC
gun		2	GEM-CNL,ZMYYC
gunpowder		2	TBL,ZMYYC
hail		2	TBL,ZMYYC
hat		2	TBL,ZMYYC
hide		2	GEM-CNL,ZMYYC
high / tall		2	TBL,ZMYYC
hole		2	GEM-CNL,ZMYYC
horizontal		2	TBL,ZMYYC
host		2	TBL,ZMYYC
hungry		2	GEM-CNL,ZMYYC
husk		2	GEM-CNL,ZMYYC
ice		2	TBL,ZMYYC
inch		2	TBL,ZMYYC
ink		2	GEM-CNL,ZMYYC
insect / worm		2	TBL,ZMYYC
inside		2	TBL,ZMYYC
intestines		2	GEM-CNL,ZMYYC
knead (dough)		2	TBL,ZMYYC
kneel		2	TBL,ZMYYC
knife (long)		2	TBL,ZMYYC
lame person		2	TBL,ZMYYC
lamp		2	GEM-CNL,ZMYYC
language		2	GEM-CNL,ZMYYC
laugh		2	GEM-CNL,ZMYYC
leak		2	TBL,ZMYYC
left		2	TBL,ZMYYC
leg		2	GEM-CNL,ZMYYC
leopard		2	GEM-CNL,ZMYYC
lick		2	GEM-CNL,ZMYYC
light	adj,n	2	TBL,ZMYYC
lock		2	TBL,ZMYYC
lose		2	GEM-CNL,ZMYYC
lose (a game)		2	TBL,ZMYYC
love		2	GEM-CNL,ZMYYC
low		2	GEM-CNL,ZMYYC
lung		2	TBL,ZMYYC
maggot		2	TBL,ZMYYC
magpie		2	TBL,ZMYYC
maize		2	GEM-CNL,ZMYYC
manage	v,vt	2	TBL,ZMYYC
many / much		2	TBL,ZMYYC
marry (a woman)		2	TBL,ZMYYC
match		2	TBL,ZMYYC
measure		2	TBL,ZMYYC
medicine		2	TBL,ZMYYC
mirror		2	TBL,ZMYYC
