NUMBER	concept	tbl_id	concepticon_id	gloss_in_source	ipa	note	tokens	source
45	the earthworm	363	2350	earthworm (n.)	cangcel		c a n g c e l	VanBick2014
46	to eat	1198	1336	eat (v.)	ei , rawl ei		e i	VanBick2014
47	the egg	450	744	egg (n.)	arti , va ti , ti paohpaoh		a r t i	VanBick2014
48	eight	804	1705	eight (num.)	pariat		p a r i a t	VanBick2014
49	the eye	79	1248	eye (n.)	mit; 	e.g. an eye for an eye = mit caah mit ve; catch one's eye = zoh lo ih um khawh lo; keep an eye on / keep an eye out = ttha tein zoh; see eye to eye = lungthin i khat repte i um. eye	m i t	VanBick2014
50	far	974	1406	far (adv.)	a hla;	e.g.He lives far from here = Hika hin lamhlapi ah a um, a si deuh ngaingai; e.g. He is a far better writer than his brother = Amah cu a nau nakin cattial a thiam deuh ngaingaimi a si. as far as, so far as = tiangah; e.g. As far as I know = Ka hngalh tiangah; by far, far and away = tampi thlau, suaumau; e.g. He is far and away the better writer = Amah cu cattial a thiam deuh suaumau. so far, thus far = atu tiangah, cu tiangah.	hl a	VanBick2014
51	the father	218	1217	father (n.)	pa , ka pa		p a	VanBick2014
52	the feather	299	1201	feather (n.)	ar hmul , va hmul		a r + hm u l	VanBick2014
53	to fight	1234	1423	fight (v.)	1. velh, i tongh, taza i cuai; 	2. ral doh, ral tuk. fight hand to hand = kut le kut i tawng in i tuk.	v e lh	VanBick2014
54	the fire	18	221	fire (n.)	1. mei; 	2. meithal puah thawng; e.g. We could hear the gunfire of the hunters = Ramvai pawl an meithal puahthawng kan theih khawh.	m e i	VanBick2014
55	firewood	534	10	wood (n.)	1. thing a sa; 	e.g. firewood = tih thing. 2. ramlak thing tamnak hmun.	th i ng + a + s a	VanBick2014
56	the fish	351	227	fish (n.)	nga		ng a	VanBick2014
57	five	801	493	five (num.)	panga		p a n g a	VanBick2014
58	the flea	355	232	flea (n.)	ui hrik , uihli		u i + hr i k	VanBick2014
59	to float	1553	1574	float (v.)	1. ti cung i vuanh; 	e.g. Wood floats on water = Thing cu ti cungah a vuan; 2. duhsah tein tlak; e.g. The falling leaves float to the ground = Thinghnah cu duhsah tein vawlei ah an tla.	t i + c u ng + i + v u a nh	VanBick2014
60	to flow	1502	2003	flow (v.)	1. luan; 	2. thlai; e.g. Her hair flowed down over her shoulders = A sam cu a liang tiang a vun i thlai.	l u a n	VanBick2014
61	the flower	377	239	flower (n.)	1. pangpar; 	2. a par in a par; e.g. His garden was in flowers = A dum cu a par in a par.	p a ng p a r	VanBick2014
62	to fly (move through air)	1318	1441	fly (v.)	1. zuan; 	e.g. Birds fly = Vate an zuang; 2. vanlawng mongh; e.g. He is learning to fly =	z u a n	VanBick2014
63	the fog	16	249	fog (n.)	minmei , tichum		m i n m ei	VanBick2014
64	the foot	103	1301	foot (n.)	1. ke; 	2. hram; e.g. the foot of a hill = tlang hram; 3. pe; e.g. 12 inches make 1 foot = Lehmah 12 ah pe khat a si. on foot = ke in kal/rat.	k e	VanBick2014
65	the forest	50	420	forest (n.)	tupi		t u p i	VanBick2014
66	to forget	1704	1523	forget (v.)	philh		p h i l h	VanBick2014
67	four	800	1500	four (num.)	pali		p a l i	VanBick2014
68	the fox	325	1312	fox (n.)	cenghngia		c e ng h ng I a	VanBick2014
69	the frog	349	503	frog (n.)	utlak		u t l a k	VanBick2014
70	the front (front side)	712	2194	front (n.)	1. hmailei;	e.g The front of the house = Inn hmailei; e.g. in front of our house = Kan inn hmailei ah. 2. hmaisuang.	hm a i l e i	VanBick2014
71	the frost	14	2034	frost (n.)	tikhal , hawhra		t i k h a l	VanBick2014
72	the fruit	378	1507	fruit (n.)	1. thingthei; 	2. rianttuannak theitlai	th i ng th e i	VanBick2014
72	the fruit	378	1507	fruit (n.)	hnuhnun		hn u hn u n	VanBick2014
73	full	984	1429	full (adj.)	1. a khat; 	e.g. The glass is full of water = Hrai cu ti a khat 2. thlapa lai; e.g. The moon is full tonight = Tuzan cu thlapa a lai; 3. kheng; e.g. We waited for a full hour = Suimilam pakhat kheng kan hngah.	kh a t	VanBick2014
74	to give	1345	1447	give (v.)	1. pek; 	e.g. I give him a book = Cauk ka pek; 2. chim; e.g. Give me your opinion = Na ruahnak a chim; 3. celh lo; e.g. We pushed until the door began to give = Innkhar nih a celh lo tiangin kan nam; 4. lu hloh. give back = kherh tthan. give ground = hnulei kir. give in = si ko kun seh ti i doh ti lo. give off = chuahter. give out = phuan, biaphuan. give up = ngol. give way = mah kha hnulei ah i tawn i hawi kha lam pek.	p e k	VanBick2014
75	the goat	276	1502	goat (n.)	meheh		m e h e h	VanBick2014
76	good	1052	1035	good (adj.)	1. a tthami; 	2. aa tlakmi; e.g. He is a good man for the job = Hi rian he hin an i tlak; 3. nuamh; e.g. We had a good time = Kan i nuam; 4. a tam ial; e.g. He read a good many books = Cauk tam ialte a rel.	t th a m i	VanBick2014
77	the grass	436	606	grass (n.)	ram; 	e.g. Cows eat grass = Caw nih ram an ei.	r a m	VanBick2014
78	green	1009	1425	green (adj.)	1. a hringmi , thinghnah hring azawng; 	2. a hmin rih lomi; e.g. Green apples = Epal a hmin rih lomi; 3. rian a thiam rih lomi	hr i ng m i	VanBick2014
79	the hail	13	609	hail (n.)	rial		r ia l	VanBick2014
80	the hair (of the head)	75	1040	hair (n.)	sam		s a m	VanBick2014
81	the hand	107	1277	hand (n.)	1. kut; 	2. minung kut bantuk; e.g. The hands of the clock = Suimilam kut; 3. zohkhenhnak, uknak; e.g. The child is in the hands of the parents = Ngakchia cu a nu le a pa zohkhenhnak tangah a um. at hand = pawngte i um peng; by hand = kut in ser, put, tuah; change hands = ngeitu i thlen; fight hand to hand = kut le kut i tawng in i tuk; from hand to mouth = i pek chin, i chanh chin vima; hand in hand = i naih tein, kut i tlai in; hands off = tawng hlah. hand's up = na kut hler hna, tei na si cnag ti langhternak. on hand = naite ah, vun lak zau awk i um; upper hand = tei deuh; e.g. They have the upper hand in the fight = An i paihnak ah khan anmah nih an tei deuh hna. wash one's hands = kei kai tel lo tin kul i ttawl.	k u t	VanBick2014
81	the hand	107	1277	hand (n.)	kehlei kut		k e h l ei	VanBick2014
82	hard	1034	1884	hard (adj.)	1. a hak; 	e.g. The rock is hard = Lung cu a hak; 2. a har; e.g. This work is hard = Hi rian cu a har; 3. mi teima; e.g. He is a hard worker = Mi teima a si; 4. mi hmai nuam lo; e.g. He had a hard face = Mi hmai nuam lo a si.	h a k	VanBick2014
83	he or she [third person singular]	934	262	she (pron.)	amah (nu lawngah hman khawh a si)		a m a h	VanBick2014
83	he or she [third person singular]	934	262	he (pron.)	amah pa , nu si loin		a m a h	VanBick2014
84	the head	74	1256	head (n.)	1. lu; 	2. hruaitu bik; 3. a sang bik, fimnak; e.g. She has a good head for science = Science cawnnak caah a thluak a tha. keep one's head = biachimnak le thil tinak i i sum. lose one's head = 1. thinhun i tuahmi zei a si ti hngalh ti lo; 2. a lung a caw; over one's head = a thluak phak leng a si. put heads together = hmunkhat i ttuan tti. turned one's head = luarpar kai; e.g. Their praise turned her head = An thangtthatnak nih a luarpar a kaiter.	l u	VanBick2014
85	to hear	1682	1408	hear (v.)	hna in theih		hn a	VanBick2014
86	the heart	144	1223	heart (n.)	1. lung 	2. lungthin; e.g. She spoke from the heart = A lungthin taktak a chim; 3. laifang; e.g. The heart of the town = Khua laifang; 4. biapi bikmi; e.g. Your words go to the heart of the matter = Na bia cu kha thil kong ah khan a biapi bikmi a si. at heart = lungchung ah; by heart = lungchung in, zoh loin. change of heart = lungthlen. take heart = lung a ttha tthan, a tthawng tthan.	l u ng	VanBick2014
87	heavy	1014	1210	heavy (adj.)	1. a rit; 	2. tampi; e.g. a heavy rain = ruah tampi; 3. phorh rit; 4. ngaihchia; e.g. His heart was heavy = A ngaih a chia.	r i t	VanBick2014
88	here	944	136	here (adv.)	hika ah		h i k a	VanBick2014
89	to hide (conceal)	1169	602	hide (v.)	1. thuh; 	e.g. Hide your book = Na cauk va thup. 2. phenh; e.g. Clouds hide the sun = Khuadawm nih nika a phenh.	th u h	VanBick2014
90	high / tall	968	1265	high (adj.)	1. a sang; 	e.g. This is a high building = Hi inn cu a sang; 2. aw thia; e.g. She speaks in a high voice = Aw thia in a holh; 3. ngan; e.g. He is a high official = Bawi ngan a si; 4. ngaingai; e.g. The child has a high fever = Ngakchia cu a tak a lin ngaingai; e.g. The Jeep goes at a high speed = Jeep cu khulrang ngaingai in a kal. 5. man tampi; e.g. He paid a high price for the house = Inn cu man tam pin a cawk.	s a ng	VanBick2014
90	high / tall	968	1265	tall (adj.)	san; 	e.g. He is five feet tall = Amah cu pe nga a sang.	s a n 	VanBick2014
91	to hold	1709	1448	hold (v.)	1. put , pu; 	e.g. Please hold this book = Hi cauk hi rak pu ta; 2. tlaih; e.g. Hold the door open = Innka kha tlai law i hung peng seh; 3. tlum; e.g. This pot can hold ten cups of water = Hi um nih hin ti hrai hra a tlum; 4. ngeih; e.g. He holds the rank of a captain = Amah cu kepten a si; 5. tuah; e.g. They are holding a meeting = Meeting an tuah lio; 6.ruah; e.g. People once held that the world was flat = Hlan ah cun mi nih vawlei hi a per tiah an rak ruah. hold forth = a thiam ngai bantuk i chim. hold off = i naihter lo i umter peng khawh. hold on = fek tein i tlaihpeng.	p u t	VanBick2014
92	the hoof	264	152	hoof (n.)	tin , sattil tin		t i n	VanBick2014
93	horizontal	1001	2376	horizontal (adj.)	a phei in , a tung in a si lomi		ph e i	VanBick2014
94	the horn (keratinized skin)	263	1393	horn (n.)	1. ki; 	2. miuzik tumnak muko; 3. aw thangpi. powder horn = zen rawnnak fungki.	k i 	VanBick2014
95	the horse	268	615	horse (n.)	rang		r a n g	VanBick2014
96	hot	1062	1286	hot (adj.)	1. a sa; e.g. Boiling water is hot = Titlok cu a sa; 2. a lin; e.g. The sun is hot = Ni cu a lin; 3. a thak; e.g. Pepper is hot = Makphak a thak; 4. thin tawi; e.g. He has a hot temper = A thin a tawi.		s a	VanBick2014
97	the house	494	1252	house (n.)	sa thahnak inn		s a	VanBick2014
98	hundred	824	1634	hundred (num.)	za khat		z a + kh a t	VanBick2014
99	to hunt	1230	1435	hunt (v.)	1.ramvaih , sapel; 	2. kawl; e.g. They hunted for the lost child = Ngakchia a tlaumi kha an kawl.	r a m v a I h	VanBick2014
100	the husband	247	1200	husband (n.)	va , pasal		v a	VanBick2014
101	I [first person singular]	928	1209	I (pron.)	keimah		k ei m a h	VanBick2014
102	the ice	17	617	ice (n.)	tikhal		t i kh a l	VanBick2014
103	inside	715	1606	inside (adv.)	chungah; 	e.g. Please step inside = A chungah rung lut.	ch u n g a h	VanBick2014
104	to kill	1602	1417	kill (v.)	thah		th a h	VanBick2014
105	to knead	1594	274	knead (v.)	chang nawn		ch a ng	VanBick2014
106	the knee	101	1371	knee (n.)	khuk		kh u k	VanBick2014
107	knife	549	1352	knife (n.)	namte		n a m t e	VanBick2014
108	to know (something)	1798	1410	know (v.)	1. hngalh; 	2. thiam; e.g. He knows how to drive a Jeep = Jeep mongh a thiam. know the ropes = ningcang hngalh;	hng a l h 	VanBick2014
109	the lake	31	624	lake (n.)	tibual nganmi		t i b ua l	VanBick2014
110	late	1019	477	late (adj.)	1. a hnu, a tlai; 	e.g. We had a late supper = Kan zanriah ei a hnu / tlai. 2. a dongh denglei ah khin. 3. thi cangmi; e.g. Your late father = A thi cangmi na pa.	hn u	VanBick2014
111	to laugh	1735	1355	laugh (v.)	1. nih; 	e.g. A ni duh lo = He does not like to laugh. 2. nihsaw	th I ng hn a h	VanBick2014
112	the leaf	376	628	leaf (n.)	thinghnah , cahnah		th i ng hn a h	VanBick2014
113	to learn	1742	504	learn (v.)	1. cawn , thiam 	2. hngalh; e.g. We learned that he had gone home = Inn ah a tin cang ti kha kan hngalh.	c a w n	VanBick2014
114	left	710	244	left (adj.)	kehlei		k e h l e I	VanBick2014
115	to lick	1674	319	lick (v.)	liah		l i a h	VanBick2014
116	to lie down	1661	215	lie (v.)	1. ih, bawh, zau; 	e.g. He lies down on the grass = Ram cungah a it; 2. um; e.g. The book lies on the table = Cauk cu cabuai cungan a um; 3. vawlei cung i umnak; e.g. Europe lies north of Africa = Europe cu Afarika chaklei ah a um.	I h	VanBick2014
117	light (of weight)	1052	1052	light (adj.)	a ceu ; 	a zaang (zaang)	c e u	VanBick2014
118	the lip (the lips)	85	478	lip (n.)	hmur; 	lip reading = hmur cangh mi kha a sullam zeidah a si ti i hngalh khawhnak lip service = Hmur lawng i ee ti i lungthin taktak si ttung lo.	hm u r	VanBick2014
119	the liver	145	1224	liver (n.)	thin		th i n	VanBick2014
120	long	972	1203	long (adj.)	a saumi		s a u m i	VanBick2014
121	the louse	356	1392	louse (n.)	thah 	pakhat. lice = thah pakhatnak tam.	th a h	VanBick2014
122	the lung	143	688	lung (n.)	cuap		c u a p	VanBick2014
123	the man (male human)	173	2106	man (n.)	minung , patling		m i n u ng	VanBick2014
123	the man (male human)	173	2106	man (n.)	tilawng zaptu.		t i l a w ng	VanBick2014
124	many	987	1198	many (adj.)	tampi		t a m p i	VanBick2014
125	to marry (a man marries a woman)	1578	2164	marry (v.)	zoh, nupi tthit , va ngeih		z o h ,	VanBick2014
126	the meat	443	634	meat (n.)	sa		s a	VanBick2014
127	middle	708	1093	middle (adj.)	laifang a simi		l a i f a n g	VanBick2014
128	the moon	4	1313	moon (n.)	thlapa		th l a p a	VanBick2014
129	morning	749	1339	morning (n.)	zingka , zinglei morning		z i ng k a	VanBick2014
130	the mosquito	360	1509	mosquito (n.)	fikfa		f i k f a	VanBick2014
131	the mother	219	1216	mother (n.)	hringtu nu		hr i ng t u	VanBick2014
132	the mountain	23	639	mountain (n.)	tlang		t l a ng	VanBick2014
133	the mouse or rat	320	2139	rat (n.)	zu		z u	VanBick2014
133	the mouse or rat	320	2139	rat (n.)	ti zu.		t i	VanBick2014
134	the mouth	84	674	mouth (n.)	1, ka (kaa) 	2. tiva rili i a vung luhnak ka	k a	VanBick2014
135	the mud	46	640	mud (n.)	nawncek; 	e.g. I saw an imprint of a bear’s foot in the mud = Nawncek ah vom keneh ka hmuh.	n a w n c e k	VanBick2014
136	the nail (fingernail or claw)	113	2128	claw (n.)	tintte , 	chizawh tin , sobul tte	t i n tt e	VanBick2014
137	the name	687	1405	name (n.)	aho sermi dah a si ti hngalhnak ca i min bunhmi.		a h o	VanBick2014
137	the name	687	1405	name (n.)	min		m i n	VanBick2014
138	narrow	977	1267	narrow (adj.)	a bimi		b i m i	VanBick2014
139	near	975	1942	near (adv.)	1. naih, nai; 	e.g. Coming near we saw the flowers = Kan hei naih i pangpar kha kan hmuh hna. 2. a nai; e.g. Vacation is near = Sianginn khar a nai.	n a i h	VanBick2014
140	the neck	89	1333	neck (n.)	hngawng		hn g a w ng	VanBick2014
141	the needle (for sewing)	578	1382	needle (n.)	1. thim 	2. thim bantuk a simi far hnah	th i m	VanBick2014
142	new	1050	1231	new (adj.)	thar , a tharmi		th a r	VanBick2014
143	nine	805	1483	nine (num.)	pakua		p a k u a	VanBick2014
145	noon	750	12	noon (n.)	chunlai		ch u n l a i	VanBick2014
146	the nose	80	1221	nose (n.)	hnar		hn a r	VanBick2014
147	old (of person)	1058	2112	old (adj.)	1. a tarmi , a hlunmi; 	2. kum ... a si; e.g. He is twenty years old = Amah cu kum kul a si; 3. hlun; e.g. This house is very old = Hi inn cu a hlun ngaingai; 4. a tet cangmi; e.g. My shoes are old = Ka kedan cu an tet cang.	t a r m i	VanBick2014
148	one	797	1493	one (num.)	pakhat, khat		p a kh a t	VanBick2014
149	the otter	317	15	otter (n.)	saihrem		s a i h r e m	VanBick2014
150	outside	714	762	outside (adv.)	lengah; e.g. Go outside = Lengah chuak thah.		l e ng a h	VanBick2014
151	the pig	284	1337	pig (n.)	vok		v o k	VanBick2014
152	to plant (vegetals, rice)	1774	1486	plant (v.)	phun; 	e.g. He planted vegetables in his garden = A dum ah tihang a phunphun a cin hna.	p h u n	VanBick2014
153	to play	1703	1413	play (v.)	1. lentecelh; 	2. chuih; e.g. They played football = Pumpululh an chuih. 3. nawl cawnnak caah mi dang i i can; e.g. She played her sister in the show = Nawl cawnnak ah a far ah khan a cang. 4. tum; e.g. She played on the piano = Piano a tum. play down/play up = biatetter, a biapitter; e.g. He played down the importance of work = Rian biapi a sinak kha a biatette.r play into the hands = mi kut chung i vaa sanh i annih nih an duh bantukin rak tuah khawh. play on words = bia pakhat kha nihchuak siseh tin chim i a sullam pahnih ngeihter.	l e n t e c e lh	VanBick2014
154	to pull	1568	1455	pull (v.)	1. hnuh; 	e.g. Do not pull my hair = Ka sam ka hnuk hlah. 2. meithal phelh; Pull the trigger of the gun = Meithal zang kha phelh. pull oneself together = mah le man i uk khawh pull through = harnak chungin chuah	hn u h	VanBick2014
155	to push	1689	1452	push (v.)	nam; 	e.g. Push the door = Innka kha nam.	n a m	VanBick2014
156	the rain	10	658	rain (n.)	ruahpi		r u a h p i	VanBick2014
157	the rainbow	11	1733	rainbow (n.)	chuncha		ch u n ch a	VanBick2014
158	red	1007	156	red (adj.)	a sen		s e n	VanBick2014
159	to reside (live)	1452	1099	reside (v.)	um; 	e.g. He resided in Hakha = Hakha ah a um.	u m	VanBick2014
160	the rice plant	439	2026	rice (n.)	facang		f a c a ng	VanBick2014
161	right	711	1019	right (adj.)	1. a dik a hmaanmi 	all right: a ttha ko, kan hnatlakpi ko, a dam ko, ka dam ko. 2. orhlei kam.	a + d i k + a + hm aa n m i	VanBick2014
162	the river	30	666	river (n.)	tiva		t i v a	VanBick2014
163	the road	38	667	road (n.)	lam		l a m	VanBick2014
164	the root	375	670	root (n.)	hram; 	e.g. The root of a tree = Thingkung hram	h r a m	VanBick2014
165	the rope	619	1218	rope (n.)	hri; 	know the ropes = ningcang hngalh	h r I	VanBick2014
166	round	990	1395	round (adj.)	a pummi, pumpululh bantukin a pummi.		p u m m i	VanBick2014
167	to run	1544	1519	run (v.)	1. tlik; 	2. kal; Does your watch run well = Na suimilam ttha tein a kal maw? 3. zam (zaam); e.g. Creepers run all over the wall = Vampang cungah zun cu an zam dih. 4. luang; e.g. Blood runs from the wound = A hma in thisen a luang. 5. ah a cang; e.g. The well runs dry in summer = Thal caan ah cun tikhor hi a car. 6. thim awkin i pek; e.g. Mr. Smith will run for Parliament = Parliament i thimnak ah Mr. Smith cu aa pe. in the long run = a donghnak ahcun. run away = zam (zaam). run out = donghnak phak. run out of = hman dih, ngeih ti lo. run through = vun zoh duak. past participle of run = run.	t i I k	VanBick2014
168	the salt	61	1274	salt (n.)	cite; 	To take a statement with a grain of salt = A chimmi bia kha zumh dih awk a si lo. salt	c i t e	VanBick2014
169	salty	1076	1091	salty (adj.)	a almi		a l m i	VanBick2014
170	the sand	44	671	sand (n.)	thetse		th e t s e	VanBick2014
171	to scratch	1530	1436	scratch (v.)	huah , kheuh , tak thak i kheuh		h u a h	VanBick2014
172	the sea	32	1474	sea (n.)	rili		r i l i	VanBick2014
173	to see	1471	1409	see (v.)	1. zoh. 	2. khua hmuh; e.g. The blind cannot see = Mitcaw nih khua an hmu lo. 3. hngalh; e.g. I see what you mean = Na chim duhmi sullam ka hngalh. 4. len: e.g. I want to see my friend = Ka hawi len ka duh. 5. ton; e.g. I want to see him tomorrow = Thaizing ah ton ka duh.	z o h	VanBick2014
174	the seed	405	714	seed (n.)	thlaici , ci		th l a i c i	VanBick2014
175	seven	803	1704	seven (num.)	pasarih		p a s a r i h	VanBick2014
176	sharp	1020	1396	sharp (adj.)	1. a har (haar). 	2. a zum. 3. lam kikawi aa kuai bakmi; a sharp turn = Aa kuai bakmi. 4. a kik ngaimi; sharp weather = khua kik ngaimi. 5. mi a rai khotu bia; sharp words = bia har. 6. a henh in mi a henhmi; sharp pain = a henh in mi a henhmi fahnak. 7. a fiangmi; e.g. There is a sharp contrast between black and white = A nak le a rang cu fiang tein an i dang ko. 8. khulrang vetvat; a sharp walk = vetvat ti i kal. 9. mit fim; sharp eye = mit fim. 10. hmuithiammi; a sharp shooter = hmuithiammi. 11. lungvarmi; a sharp boy = a lung a varmi ngakchia. 12. cekci; e.g. Come at 1 p.m. sharp = Zanlei suimilam pakhat cekei ah ra.	h a r	VanBick2014
177	the sheep	275	1331	sheep (n.)	tuu		t uu	VanBick2014
178	to shoot (an arrow)	1611	1172	shoot (v.)	1. meithal in kah. 	2. kalter; e.g. A bow shoots an arrow = Li nih thal a kah (kalter).	m e i th a l	VanBick2014
179	short	973	1645	short (n., adj.)	1. a tawimi, a niammi. 	2. a tling lo; e.g. The cashier is short in his accounts = Tangka kengtu kha a tangka a tling lo. cut short = khulrang twin ngol tthan fall short = tlin lo. in short = a tawinak in. run short = a za in ngeih lo, baungeih lo, bau; short of = e.g. I am short of money = Phaisa ke ngei lo. short cut = lamphawk. .	t a w i m i	VanBick2014
180	the shoulder	90	1482	shoulder (n.)	liang, 	lam kam zong khi shoulder ti a si ve. put one's shoulder to the wheel = fak pin i zuam. shoulder to shoulder = liang le liang i tong in, lungthin i khat tein. turn or give a cold shoulder = hrial, rem lo, duh lo.	l i a n g	VanBick2014
181	shy	1365	487	shy (adj.)	1. a ning a zakmi, 	zapi a hem lomi. 2. a phingmi (phing); e.g. A deer is shy = Sakhi cu a phing.	n i ng	VanBick2014
182	the sickle	624	341	sickle (n.)	faah (fa-ah); 	ram/facang hlehnak, datari.	f aa h	VanBick2014
183	to sing	1184	1261	sing (v.)	1. hlasak. 	2. tisa a tlawh tik i vi ti i a onh khi.	hl a s a k	VanBick2014
184	six	802	1703	six (num.)	paruk		p a r u k	VanBick2014
185	the skin	120	763	skin (n.)	1. cuar, phaw. 	2. hawng banhla hawng..	c u a r	VanBick2014
186	the sky	1	1732	sky (n.)	van		v a n	VanBick2014
187	to sleep	1646	1585	sleep (v.)	1. ih; 	e.g. Asleep = I hngilh. 2. aa hngilh bantukin um; e.g. The seeds sleep in the ground all winter = Khuasik chung vialte cu thlaici kha vawlei chungah an i hngilh ko. the last sleep = hngilh hmanung bik, cucu thih. sleep away = i hngilh thluahmah; sleep off = hngilh cih i holh lan; e.g. She was sleeping off a headache = A lufah kha lo lan seh tin a hngilhchih.	i h	VanBick2014
188	small	965	1246	small (adj.)	a hmemi		hm e m i	VanBick2014
189	to smell (perceive odor) [transitive]	1707	1586	smell (v.)	rim hnimh		r i m + hn i mh	VanBick2014
190	the smoke	19	778	smoke (n.)	meikhu		m e i kh u	VanBick2014
191	smooth	1037	1234	smooth (adj.)	1. a nalmi. 	2. dawntu a ngei lomi. 3. nal ziahmah in biachim a thiammi.	n a l m i	VanBick2014
192	the snake	347	730	snake (n.)	rul		r u l	VanBick2014
193	the snow	12	784	snow (n.)	hawhra		h a w h r a	VanBick2014
194	soft	1035	1856	soft (adj.)	a nemmi		n e m m i	VanBick2014
