ID	Concept	Dashi	Ega	Enqi	Eryuan	Gongxing	Heqi	Jianchuan	Jinman	Jinxing	Lanping	Luobenzhuo	Mazhelong	Qiliqiao	Tuoluo	Xiangyun	Yunlong	Zhoucheng
8	(wasps) sting	(wasps) sting	(wasps) sting	(wasps) sting	-	(wasps) sting	-	-	(wasps) sting	(wasps) sting	-	-	(wasps) sting	-	(wasps) sting	-	-	(wasps) sting
9	(water flow)	(water flow)	(water flow)	(water flow)	-	(water flow)	-	-	(water flow)	(water flow)	-	-	(water flow)	-	(water flow)	-	-	(water flow)
10	(wood)	(wood)	-	(wood)	-	(wood)	-	-	-	(wood)	-	-	-	-	(wood)	-	-	-
11	(xx language) (is this intended?)	-	-	(xx language) (is this intended?)	-	(xx language) (is this intended?)	-	-	-	-	-	-	(xx language) (is this intended?)	-	-	-	-	-
12	a half	-	a half	a half	-	a half	-	-	a half	-	-	-	a half	-	a half	-	-	a half
13	able to	-	-	-	able to	-	able to	able to	-	-	able to	able to	-	able to	-	able to	able to	-
14	afterwards	-	-	-	afterwards	-	afterwards	afterwards	-	-	afterwards	afterwards	-	afterwards	-	afterwards	afterwards	-
15	again	-	-	-	again	-	again	again	-	-	again	again	-	again	-	again	again	-
16	air; breath	air; breath	-	air; breath	-	air; breath	-	-	-	air; breath	-	-	air; breath	-	air; breath	-	-	air; breath
17	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol	alcohol
18	all	-	-	-	all	-	all	all	-	-	all	all	-	all	-	all	all	-
19	ancestor	-	-	-	ancestor	-	ancestor	ancestor	-	-	ancestor	ancestor	-	ancestor	-	ancestor	ancestor	-
20	angry	-	-	-	angry	-	angry	angry	-	-	angry	angry	-	angry	-	angry	angry	-
21	animal faeces,dung	-	-	-	animal faeces,dung	-	animal faeces,dung	animal faeces,dung	-	-	animal faeces,dung	animal faeces,dung	-	animal faeces,dung	-	animal faeces,dung	animal faeces,dung	-
22	answer	-	-	-	answer	-	answer	answer	-	-	answer	answer	-	answer	-	answer	answer	-
23	ant	ant	ant	ant	ant	ant	ant	ant	ant	ant	ant	ant	ant	ant	ant	ant	ant	ant
24	apron	-	-	-	apron	-	apron	apron	-	-	apron	apron	-	apron	-	apron	apron	-
25	arrow	arrow	arrow	arrow	-	arrow	-	-	arrow	arrow	-	-	arrow	-	arrow	-	-	arrow
26	ask	ask	ask	ask	ask	ask	ask	ask	ask	ask	ask	ask	ask	ask	ask	ask	ask	ask
27	astringent; like unripe	astringent; like unripe	astringent; like unripe	astringent; like unripe	-	astringent; like unripe	-	-	astringent; like unripe	astringent; like unripe	-	-	astringent; like unripe	-	astringent; like unripe	-	-	astringent; like unripe
28	at night; in the evening	at night; in the evening	at night; in the evening	at night; in the evening	-	at night; in the evening	-	-	at night; in the evening	at night; in the evening	-	-	at night; in the evening	-	at night; in the evening	-	-	at night; in the evening
29	axe	axe	axe	axe	-	axe	-	-	axe	axe	-	-	axe	-	axe	-	-	axe
30	bad	bad	bad	bad	bad	bad	bad	bad	bad	bad	bad	bad	bad	bad	bad	bad	bad	-
31	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo	bamboo
32	bamboo food steamer	bamboo food steamer	bamboo food steamer	bamboo food steamer	-	bamboo food steamer	-	-	-	bamboo food steamer	-	-	-	-	bamboo food steamer	-	-	bamboo food steamer
33	bamboo hat	-	-	-	bamboo hat	-	bamboo hat	bamboo hat	-	-	bamboo hat	bamboo hat	-	bamboo hat	-	bamboo hat	bamboo hat	-
34	bamboo piece	-	bamboo piece	bamboo piece	-	bamboo piece	-	-	bamboo piece	-	-	-	bamboo piece	-	-	-	-	bamboo piece
35	bark	bark	bark	bark	bark	bark	bark	bark	bark	bark	bark	bark	bark	bark	bark	bark	bark	bark
36	barley	barley	barley	barley	barley	barley	barley	barley	barley	barley	barley	barley	barley	barley	barley	barley	barley	barley
37	basin	-	-	-	basin	-	basin	basin	-	-	basin	basin	-	basin	-	basin	basin	-
38	bat	-	-	-	bat	-	bat	bat	-	-	bat	bat	-	bat	-	bat	bat	-
39	be blind	be blind	be blind	be blind	-	be blind	-	-	be blind	be blind	-	-	be blind	-	be blind	-	-	be blind
40	be hungry	be hungry	be hungry	be hungry	-	be hungry	-	-	be hungry	be hungry	-	-	be hungry	-	be hungry	-	-	be hungry
41	be numb	be numb	be numb	be numb	-	be numb	-	-	be numb	be numb	-	-	be numb	-	be numb	-	-	be numb
42	be on the other side of (a river)	be on the other side of (a river)	be on the other side of (a river)	be on the other side of (a river)	-	be on the other side of (a river)	-	-	be on the other side of (a river)	be on the other side of (a river)	-	-	be on the other side of (a river)	-	be on the other side of (a river)	-	-	be on the other side of (a river)
43	be thirsty	be thirsty	be thirsty	be thirsty	-	be thirsty	-	-	be thirsty	be thirsty	-	-	-	-	be thirsty	-	-	be thirsty
44	bear	-	-	-	bear	-	bear	bear	-	-	bear	bear	-	bear	-	bear	bear	-
45	beard,moustache	-	-	-	beard,moustache	-	beard,moustache	beard,moustache	-	-	beard,moustache	beard,moustache	-	beard,moustache	-	beard,moustache	beard,moustache	-
46	bed	bed	bed	bed	bed	bed	bed	bed	bed	bed	bed	bed	bed	bed	bed	bed	bed	bed
47	bedbug	-	-	-	bedbug	-	bedbug	bedbug	-	-	bedbug	bedbug	-	bedbug	-	bedbug	bedbug	-
48	bee	bee	bee	bee	bee	bee	bee	bee	bee	bee	bee	bee	bee	bee	bee	bee	bee	bee
49	behind	behind	behind	behind	behind	behind	behind	behind	behind	behind	behind	behind	behind	behind	behind	behind	behind	behind
50	believe	-	-	-	believe	-	believe	believe	-	-	believe	believe	-	believe	-	believe	believe	-
51	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach	belly;stomach
52	big	big	big	big	big	big	big	big	big	big	big	big	big	big	big	big	big	big
53	bind; tie up	bind; tie up	bind; tie up	bind; tie up	-	bind; tie up	-	-	bind; tie up	bind; tie up	-	-	bind; tie up	-	bind; tie up	-	-	bind; tie up
54	bird	bird	bird	bird	bird	bird	bird	bird	bird	bird	bird	bird	bird	bird	bird	bird	bird	bird
55	birs"s nest	birs"s nest	birs"s nest	birs"s nest	-	birs"s nest	-	-	birs"s nest	birs"s nest	-	-	birs"s nest	-	birs"s nest	-	-	birs"s nest
56	bite	-	-	-	bite	-	bite	bite	-	-	bite	bite	-	bite	-	bite	bite	-
57	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter	bitter
58	black	black	black	black	black	black	black	black	black	black	black	black	black	black	black	black	black	black
59	bladder	-	bladder	bladder	-	bladder	-	-	bladder	bladder	-	-	bladder	-	bladder	-	-	-
60	blood	blood	blood	blood	blood	blood	blood	blood	blood	blood	blood	blood	blood	blood	blood	blood	blood	blood
61	blow	blow	blow	blow	blow	blow	blow	blow	blow	blow	blow	blow	blow	blow	blow	blow	blow	blow
62	blue	-	-	-	blue	-	blue	blue	-	-	blue	blue	-	blue	-	blue	blue	-
63	blunt	-	-	-	blunt	-	blunt	blunt	-	-	blunt	blunt	-	blunt	-	blunt	blunt	-
64	boat; ship	boat; ship	boat; ship	boat; ship	-	boat; ship	-	-	boat; ship	boat; ship	-	-	boat; ship	-	boat; ship	-	-	boat; ship
65	body	-	-	-	body	-	body	body	-	-	body	body	-	body	-	body	body	-
66	boil	-	boil	boil	boil	boil	boil	boil	boil	boil	boil	boil	boil	boil	boil	boil	boil	boil
67	bone	bone	bone	bone	bone	bone	bone	bone	bone	bone	bone	bone	bone	bone	bone	bone	bone	bone
68	book	-	-	-	book	-	book	book	-	-	book	book	-	book	-	book	book	-
69	bottle	-	-	-	bottle	-	bottle	bottle	-	-	bottle	bottle	-	bottle	-	bottle	bottle	-
70	bracelet	-	-	-	bracelet	-	bracelet	bracelet	-	-	bracelet	bracelet	-	bracelet	-	bracelet	bracelet	-
71	brains	brains	brains	brains	-	brains	-	-	brains	brains	-	-	brains	-	brains	-	-	brains
72	braise	-	-	-	braise	-	braise	braise	-	-	braise	braise	-	braise	-	braise	braise	-
73	break,cleave	-	-	-	break,cleave	-	break,cleave	break,cleave	-	-	break,cleave	break,cleave	-	break,cleave	-	break,cleave	break,cleave	-
74	breakfast	-	-	-	breakfast	-	breakfast	breakfast	-	-	breakfast	breakfast	-	breakfast	-	breakfast	breakfast	-
75	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast
76	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge	bridge
77	broom	-	-	-	broom	-	broom	broom	-	-	broom	broom	-	broom	-	broom	broom	-
78	brothers	-	-	brothers	-	brothers	-	-	-	brothers	-	-	brothers	-	brothers	-	-	-
79	brown sugar	-	-	-	brown sugar	-	brown sugar	brown sugar	-	-	brown sugar	brown sugar	-	brown sugar	-	brown sugar	brown sugar	-
80	bucket	-	-	-	bucket	-	bucket	bucket	-	-	bucket	bucket	-	bucket	-	bucket	bucket	-
81	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat	buckwheat
82	Buddha	-	-	-	Buddha	-	Buddha	Buddha	-	-	Buddha	Buddha	-	Buddha	-	Buddha	Buddha	-
83	butterfly	-	-	-	butterfly	-	butterfly	butterfly	-	-	butterfly	butterfly	-	butterfly	-	butterfly	butterfly	-
84	buy	buy	buy	buy	buy	buy	buy	buy	buy	buy	buy	buy	buy	buy	buy	buy	buy	buy
85	call(name)	-	-	-	call(name)	-	call(name)	call(name)	-	-	call(name)	call(name)	-	call(name)	-	call(name)	call(name)	-
86	cane, vine	cane, vine	cane, vine	cane, vine	-	cane, vine	-	-	cane, vine	cane, vine	-	-	cane, vine	-	cane, vine	-	-	cane, vine
87	cap,hat	-	-	-	cap,hat	-	cap,hat	cap,hat	-	-	cap,hat	cap,hat	-	cap,hat	-	cap,hat	cap,hat	-
88	carry on back	carry on back	carry on back	-	carry on back	-	carry on back	carry on back	carry on back	carry on back	carry on back	carry on back	carry on back	carry on back	carry on back	carry on back	carry on back	carry on back
88	carry on back	-	-	-	-	-	carry on back	carry on back	-	-	carry on back	carry on back	-	carry on back	-	carry on back	carry on back	-
89	cat	cat	cat	cat	cat	cat	cat	cat	cat	cat	cat	cat	cat	cat	cat	cat	cat	cat
90	catch; capture	catch; capture	catch; capture	catch; capture	-	catch; capture	-	-	catch; capture	catch; capture	-	-	catch; capture	-	catch; capture	-	-	catch; capture
91	cattle	cattle	cattle	cattle	-	cattle	-	-	cattle	cattle	-	-	cattle	-	cattle	-	-	cattle
92	chaff; bran	chaff; bran	chaff; bran	chaff; bran	-	chaff; bran	-	-	chaff; bran	chaff; bran	-	-	chaff; bran	-	chaff; bran	-	-	chaff; bran
93	change	change	change	change	-	change	-	-	change	change	-	-	change	-	change	-	-	change
94	chase	-	-	-	chase	-	chase	chase	-	-	chase	chase	-	chase	-	chase	chase	-
95	cheap	-	-	-	cheap	-	cheap	cheap	-	-	cheap	cheap	-	cheap	-	cheap	cheap	-
96	chew	-	-	-	chew	-	chew	chew	-	-	chew	chew	-	chew	-	chew	chew	-
97	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken	chicken
98	child	-	-	-	child	-	child	child	-	-	child	child	-	child	-	child	child	-
99	chilli pepper	-	-	-	chilli pepper	-	chilli pepper	chilli pepper	-	-	chilli pepper	chilli pepper	-	chilli pepper	-	chilli pepper	chilli pepper	-
100	Chinese chestnut	Chinese chestnut	Chinese chestnut	Chinese chestnut	-	Chinese chestnut	-	-	Chinese chestnut	Chinese chestnut	-	-	Chinese chestnut	-	Chinese chestnut	-	-	-
101	chirp	chirp	-	chirp	chirp	chirp	chirp	chirp	-	chirp	chirp	chirp	chirp	chirp	chirp	chirp	chirp	-
102	chisel	chisel	chisel	chisel	-	chisel	-	-	chisel	chisel	-	-	chisel	-	chisel	-	-	chisel
103	chop	chop	chop	chop	chop	chop	chop	chop	chop	chop	chop	chop	chop	chop	chop	chop	chop	chop
103	chop	-	-	-	chop	-	chop	chop	-	-	chop	chop	-	chop	-	chop	chop	-
104	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks	chopsticks
105	classifier (??)	classifier (??)	classifier (??)	classifier (??)	-	classifier (??)	-	-	classifier (??)	classifier (??)	-	-	classifier (??)	-	classifier (??)	-	-	classifier (??)
106	classifier (beicai)	classifier (beicai)	-	-	-	-	-	-	-	classifier (beicai)	-	-	classifier (beicai)	-	classifier (beicai)	-	-	-
107	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)	classifier (chicken)
108	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	-	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)	classifier (clothes)
109	classifier (daimi)	-	classifier (daimi)	classifier (daimi)	-	classifier (daimi)	-	-	classifier (daimi)	-	-	-	classifier (daimi)	-	classifier (daimi)	-	-	classifier (daimi)
110	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)	classifier (grain of rice)
111	classifier (jianfang)	classifier (jianfang)	classifier (jianfang)	classifier (jianfang)	-	classifier (jianfang)	-	-	classifier (jianfang)	classifier (jianfang)	-	-	classifier (jianfang)	-	classifier (jianfang)	-	-	classifier (jianfang)
112	classifier (keshu)	classifier (keshu)	classifier (keshu)	classifier (keshu)	-	classifier (keshu)	-	-	classifier (keshu)	classifier (keshu)	-	-	classifier (keshu)	-	classifier (keshu)	-	-	classifier (keshu)
113	classifier (liang)	-	classifier (liang)	classifier (liang)	-	classifier (liang)	-	-	classifier (liang)	-	-	-	classifier (liang)	-	classifier (liang)	-	-	classifier (liang)
114	classifier (zhang zhi)	classifier (zhang zhi)	classifier (zhang zhi)	classifier (zhang zhi)	-	classifier (zhang zhi)	-	-	classifier (zhang zhi)	classifier (zhang zhi)	-	-	classifier (zhang zhi)	-	classifier (zhang zhi)	-	-	classifier (zhang zhi)
115	clay,pot	-	-	-	clay,pot	-	clay,pot	clay,pot	-	-	clay,pot	clay,pot	-	clay,pot	-	clay,pot	clay,pot	-
116	clean	-	-	-	clean	-	clean	clean	-	-	clean	clean	-	clean	-	clean	clean	-
117	cliffy; precipitous	cliffy; precipitous	cliffy; precipitous	cliffy; precipitous	-	cliffy; precipitous	-	-	cliffy; precipitous	cliffy; precipitous	-	-	cliffy; precipitous	-	cliffy; precipitous	-	-	cliffy; precipitous
118	climb	-	-	-	climb	-	climb	climb	-	-	climb	climb	-	climb	-	climb	climb	-
119	close	close	close	close	close	close	close	close	close	close	close	close	close	close	close	close	close	close
119	close	close	-	close	-	close	-	-	-	close	-	-	close	-	close	-	-	-
120	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth	cloth
121	clothing	-	-	-	clothing	-	clothing	clothing	-	-	clothing	clothing	-	clothing	-	clothing	clothing	-
122	cloud	-	-	-	cloud	-	cloud	cloud	-	-	cloud	cloud	-	cloud	-	cloud	cloud	-
123	CLS for axe	-	-	-	CLS for axe	-	CLS for axe	CLS for axe	-	-	CLS for axe	CLS for axe	-	CLS for axe	-	CLS for axe	CLS for axe	-
124	CLS for bowl	-	-	-	CLS for bowl	-	CLS for bowl	CLS for bowl	-	-	CLS for bowl	CLS for bowl	-	CLS for bowl	-	CLS for bowl	CLS for bowl	-
125	CLS for drop of water	-	-	-	CLS for drop of water	-	CLS for drop of water	CLS for drop of water	-	-	CLS for drop of water	CLS for drop of water	-	CLS for drop of water	-	CLS for drop of water	CLS for drop of water	-
126	CLS for knife	-	-	-	CLS for knife	-	CLS for knife	CLS for knife	-	-	CLS for knife	CLS for knife	-	CLS for knife	-	CLS for knife	CLS for knife	-
127	CLS for pair of shoes	-	-	-	CLS for pair of shoes	-	CLS for pair of shoes	CLS for pair of shoes	-	-	CLS for pair of shoes	CLS for pair of shoes	-	CLS for pair of shoes	-	CLS for pair of shoes	CLS for pair of shoes	-
128	CLS for person	-	-	-	CLS for person	-	CLS for person	CLS for person	-	-	CLS for person	CLS for person	-	CLS for person	-	CLS for person	CLS for person	-
129	CLS for rope	-	-	-	CLS for rope	-	CLS for rope	CLS for rope	-	-	CLS for rope	CLS for rope	-	CLS for rope	-	CLS for rope	CLS for rope	-
130	CLS for stick	-	-	-	CLS for stick	-	CLS for stick	CLS for stick	-	-	CLS for stick	CLS for stick	-	CLS for stick	-	CLS for stick	CLS for stick	-
131	cold	cold	cold	cold	cold	cold	cold	cold	cold	-	cold	cold	cold	cold	cold	cold	cold	cold
132	comb	comb	comb	comb	comb	comb	comb	comb	comb	comb	comb	comb	comb	comb	comb	comb	comb	comb
132	comb	-	-	-	comb	-	comb	comb	-	-	comb	comb	-	comb	-	comb	comb	-
133	come	-	-	-	come	-	come	come	-	-	come	come	-	come	-	come	come	-
134	compensate	compensate	-	compensate	-	compensate	-	-	-	compensate	-	-	compensate	-	compensate	-	-	compensate
135	congee	-	-	-	congee	-	congee	congee	-	-	congee	congee	-	congee	-	congee	congee	-
136	cook; boil	cook; boil	cook; boil	cook; boil	-	cook; boil	-	-	cook; boil	cook; boil	-	-	cook; boil	-	cook; boil	-	-	cook; boil
137	cooked	-	-	-	cooked	-	cooked	cooked	-	-	cooked	cooked	-	cooked	-	cooked	cooked	-
138	cooked food	-	-	-	cooked food	-	cooked food	cooked food	-	-	cooked food	cooked food	-	cooked food	-	cooked food	cooked food	-
139	copper, bronze	copper, bronze	copper, bronze	copper, bronze	-	copper, bronze	-	-	copper, bronze	copper, bronze	-	-	copper, bronze	-	copper, bronze	-	-	copper, bronze
140	corn,maize	-	-	-	corn,maize	-	corn,maize	corn,maize	-	-	corn,maize	corn,maize	-	corn,maize	-	corn,maize	corn,maize	-
141	corpse	-	corpse	corpse	-	corpse	-	-	corpse	-	-	-	corpse	-	corpse	-	-	-
142	correct; right	correct; right	correct; right	correct; right	-	correct; right	-	-	correct; right	correct; right	-	-	correct; right	-	correct; right	-	-	correct; right
143	cotton	-	-	-	cotton	-	cotton	cotton	-	-	cotton	cotton	-	cotton	-	cotton	cotton	-
144	cow	-	-	-	cow	-	cow	cow	-	-	cow	cow	-	cow	-	cow	cow	-
145	crow	-	-	-	crow	-	crow	crow	-	-	crow	crow	-	crow	-	crow	crow	-
146	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry	cry
147	cuckoo	-	cuckoo	cuckoo	cuckoo	cuckoo	-	cuckoo	cuckoo	-	-	-	cuckoo	-	cuckoo	-	-	-
148	cucumber	-	-	-	cucumber	-	cucumber	cucumber	-	-	cucumber	cucumber	-	cucumber	-	cucumber	cucumber	-
149	curved,; crooked; bent	curved,; crooked; bent	curved,; crooked; bent	curved,; crooked; bent	-	curved,; crooked; bent	-	-	curved,; crooked; bent	curved,; crooked; bent	-	-	curved,; crooked; bent	-	curved,; crooked; bent	-	-	curved,; crooked; bent
150	cut	cut	cut	cut	cut	cut	cut	cut	cut	cut	cut	cut	cut	cut	cut	cut	cut	cut
151	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up	cut up
152	cut(with scissors)	-	-	-	cut(with scissors)	-	cut(with scissors)	cut(with scissors)	-	-	cut(with scissors)	cut(with scissors)	-	cut(with scissors)	-	cut(with scissors)	cut(with scissors)	-
153	cut/rip open	cut/rip open	cut/rip open	cut/rip open	-	cut/rip open	-	-	cut/rip open	cut/rip open	-	-	cut/rip open	-	cut/rip open	-	-	cut/rip open
154	dance	-	-	-	dance	-	dance	dance	-	-	dance	dance	-	dance	-	dance	dance	-
155	dark	dark	dark	-	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark	dark
156	daughter	daughter	daughter	daughter	daughter	daughter	daughter	daughter	daughter	daughter	-	daughter	daughter	daughter	daughter	daughter	daughter	daughter
157	day	day	-	day	day	day	day	day	day	-	day	day	day	day	-	day	day	day
158	day after tomorrow	-	-	-	day after tomorrow	-	day after tomorrow	day after tomorrow	-	-	day after tomorrow	day after tomorrow	-	day after tomorrow	-	day after tomorrow	day after tomorrow	-
159	day before yesterday	-	-	-	day before yesterday	-	day before yesterday	day before yesterday	-	-	day before yesterday	day before yesterday	-	day before yesterday	-	day before yesterday	day before yesterday	-
160	dead	dead	dead	dead	-	dead	-	-	dead	dead	-	-	dead	-	dead	-	-	dead
161	deceive,cheat	-	-	-	deceive,cheat	-	deceive,cheat	deceive,cheat	-	-	deceive,cheat	deceive,cheat	-	deceive,cheat	-	deceive,cheat	deceive,cheat	-
162	deep	deep	deep	deep	-	deep	-	-	deep	deep	-	-	deep	-	deep	-	-	deep
163	deity,spirit	-	-	-	deity,spirit	-	deity,spirit	deity,spirit	-	-	deity,spirit	deity,spirit	-	deity,spirit	-	deity,spirit	deity,spirit	-
164	die	die	die	die	die	die	die	die	die	die	die	die	die	die	die	die	die	die
165	difficult	-	-	-	difficult	-	difficult	difficult	-	-	difficult	difficult	-	difficult	-	difficult	difficult	-
166	diligent	-	-	-	diligent	-	diligent	diligent	-	-	diligent	diligent	-	diligent	-	diligent	diligent	-
167	dinner(evening meal)	-	-	-	dinner(evening meal)	-	dinner(evening meal)	dinner(evening meal)	-	-	dinner(evening meal)	dinner(evening meal)	-	dinner(evening meal)	-	dinner(evening meal)	dinner(evening meal)	-
168	direction; orientation	direction; orientation	direction; orientation	direction; orientation	-	direction; orientation	-	-	direction; orientation	direction; orientation	-	-	direction; orientation	-	direction; orientation	-	-	direction; orientation
169	divide; share (things)	divide; share (things)	divide; share (things)	divide; share (things)	-	divide; share (things)	-	-	divide; share (things)	divide; share (things)	-	-	divide; share (things)	-	divide; share (things)	-	-	divide; share (things)
170	do(work)	-	-	-	do(work)	-	do(work)	do(work)	-	-	do(work)	do(work)	-	do(work)	-	do(work)	do(work)	-
171	dog	dog	dog	dog	dog	dog	dog	dog	dog	-	dog	dog	dog	dog	dog	dog	dog	dog
172	door	door	door	door	door	door	door	door	door	door	door	door	door	door	door	door	door	door
173	down(mountain)	-	-	-	down(mountain)	-	down(mountain)	down(mountain)	-	-	down(mountain)	down(mountain)	-	down(mountain)	-	down(mountain)	down(mountain)	-
174	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon	dragon
175	dream	dream	dream	dream	-	dream	-	-	dream	dream	-	-	dream	-	dream	-	-	dream
176	drink	drink	drink	drink	drink	drink	drink	drink	drink	drink	drink	drink	drink	drink	drink	drink	drink	drink
177	drop,fall	-	-	-	drop,fall	-	drop,fall	drop,fall	-	-	drop,fall	drop,fall	-	drop,fall	-	drop,fall	drop,fall	-
178	drum	drum	-	drum	-	drum	-	-	-	drum	-	-	drum	-	-	-	-	drum
179	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry	dry
180	dry(sthg) in sun	-	-	-	dry(sthg) in sun	-	dry(sthg) in sun	dry(sthg) in sun	-	-	dry(sthg) in sun	dry(sthg) in sun	-	dry(sthg) in sun	-	dry(sthg) in sun	dry(sthg) in sun	-
181	dustpan	-	-	-	dustpan	-	dustpan	dustpan	-	-	dustpan	dustpan	-	dustpan	-	dustpan	dustpan	-
182	eagle	-	-	-	eagle	-	eagle	eagle	-	-	eagle	eagle	-	eagle	-	eagle	eagle	-
183	ear	-	-	-	ear	-	ear	ear	-	-	ear	ear	-	ear	-	ear	ear	-
184	ear; spike	ear; spike	ear; spike	ear; spike	-	ear; spike	-	-	ear; spike	ear; spike	-	-	ear; spike	-	ear; spike	-	-	ear; spike
185	early	early	early	early	early	early	early	early	early	early	early	early	early	early	early	early	early	early
186	earring	earring	earring	earring	earring	earring	earring	earring	earring	earring	earring	earring	earring	earring	earring	earring	earring	earring
187	earth	earth	earth	earth	earth	earth	earth	earth	earth	earth	earth	earth	earth	earth	earth	earth	earth	earth
187	earth	earth	earth	-	-	earth	-	-	earth	earth	-	-	earth	-	earth	-	-	earth
