ID	ENGLISH	POS GLOSS
37	abortive (adj.)	a tlam a tling kho lomi; e.g. The construction project was abortive = Innsaknak project cu a tlam a tling lo.
38	abound (v.)	tampi an um; e.g. The river abounds in fish = Tiva ah nga tampi an um.
39	about (prep.)	1. hrawng; e.g. I shall come back at about 4 p.m. = Zanlei 4 hrawngah ka ra tthan lai; 2. kong; e.g. I know nothing about him = Amah kong zeihmanh ka hngal lo.
40	above (prep.)	cunglei; e.g. We flew above the cloud = Khuadawm cungin kan zuang.
41	abrade (v.)	tat, hnor, cuarkawh
42	abrasion (n.)	1. cuar kawhnak hmun; 2. cuar khawhnak
43	abreast (adj., adv.)	artlang; e.g. The soldiers marched four abreast = Ralkap cu artlang in pali in an kal.
44	abridge (v.)	tawiter
45	abridgment (n.)	tawiternak.
46	abroad (adv.)	mah ramleng kal; e.g. He is going abroad = Ramdang ah a tlawng.
47	abrogate (v.)	hrawh, let, zorter; e.g. His power was abrogated = A nawl ngeihnak kha a zor, a lo.
48	abrupt (adj.)	khulrang, duak; e.g. He made an abrupt turn to avoid an accident = Poipang ton sual lo dingah duak tiah aa mer.
49	abruptly (adv.)	khulrang ngaiin , duak tiin
50	abscess (n.)	hmahnai
51	abscond (v.)	zam; e.g. A thief absconded with the money = Mifir cu tangka he a zam.
52	absence (n.)	um lo; e.g. His absence from school was caused by illness = Sianginn a kai lo cu zawt ruangah a si. absence of mind = mah tuahmi kha zei a si ti hngalh khawh lo.
53	absent (v.)	um lo; e.g. He is absent from school = Sianginn a kai lo. absent
54	minded (adj.)	milunglo , thil a philh zaumi
55	absentee (n.)	a um lomi
56	absolute (adj.)	tling, hirhiar; e.g. You must tell the absolute truth = Biatak tling kha na chim lai.
57	absolutely (adv.)	tling tein
58	absolution (n.)	ngaihthiamnak , sual thianhnak
59	absolve (v.)	luatter, sualnak in luatter, sualnak in thianter
60	absorb (v.)	dawp; e.g. Cotton can absorb water = Lachawn nih ti a dawp khawh.
61	absorbable (adj.)	dawp khawhmi thil, hngalh khawhmi thil, cinken khawhmi thil, dolh khawhmi thil
62	absorbent (n.)	dawp khotu thil
63	absorbing (adj.)	lung la ngai a simi thil; e.g. This is an absorbing story = Hi tuanbia cu mi lungla ngaimi tuanbia a si.
64	abstain (v.)	sum; e.g. Abstain from strong drink = Zudin i sum.
65	abstainer (n.)	aa summi
66	abstinence (n.)	i sumnak
67	abstract (adj.)	tongh, hmuh, theih, khawh lomi thil; e.g. Love, hate, anger are abstract qualities = Dawtnak, huatnak, thinhunnak cu tongh, hmuh, theih khawh lomi thil an si.
68	abstruse (adj.)	hngalh harmi; e.g. This is an abstruse subject = Hihi cu hngalh harmi thil a si.
69	absurd (adj.)	nihchuak, zoh rem lo; e.g. His behavior (behaviour) is absurd = A ziaza nichuak a si.
70	absurdity (n.)	nihchuak sinak, zohchia sinak
71	abundance (n.)	tampi
72	abundant (adj.)	tling, duhdim; e.g. abundant life = nunnak duhdim
73	abuse (v.)	1. volhpamh; 2. ningcang loin hman; e.g. He abused his power = A nawlngeihnak kha ningcang loin a hman.
74	abusive (adj.)	volhpamh hmangmi; e.g. She uses abusive language = Volhpamh bia a hman lengmang.
75	abysmal (adj.)	a thuk tuk; e.g. His ignorance is abysmal = A hngalh lonak a thuk tuk.
76	abyss (n.)	dongh hngal lo khor thukpi
77	academic (adj.)	cawnnak lei he aa pehtlaimi; e.g. The academic year begins in June = Cawnnak lei kum cu June thla in aa thawk.
78	academy (n.)	cawnnak sang sianginn
79	accede (v.)	1. hnatlakpi; e.g. They acceeded to his proposal = A bia kha an hnatlakpi; 2. kai; e.g. When did he acceed to his position = Zeitik ah dah a umnak hmun ah hin a hung kai?
80	accelerate (v.)	a khul ranter
81	accelerator (n.)	khulrantertu, khulrang deuh in kal seh tinak caah mawttawka chung i dahsi tam deuh peknak
82	accent (n.)	awcawi
83	accentuate (v.)	fak khun deuh in chim
84	accept (v.)	cohlan
85	acceptable (adj.)	cohlan khawhmi
86	acceptance (n.)	cohlannak
87	access (n.)	luhnak lam
88	accessible (adj.)	luh hnawh khawhmi , ton khawhmi
89	accession (n.)	1. hmuh khawhmi; 2. bawi tthutnak hmun i hung kainak
90	accessory (n.)	a bawmtu, thil hmetuai deuh
91	accident (n.)	eksident, thil poipang ruah lopi i a hung ummi; e.g. The victims of the accident were mutilated, some lost arms, some lost legs = Eksident a tongmi hna kha an bultan dih, a cheu cu an kut a um lo, a cheu cu an ke a um lo; e.g. I suspect that an accident has delayed him = Eksident nih a tlaiter rua tiah ka ruah.
92	accidental (adj.)	ruah lopi ah sualpang a hung ummi
93	acclaim (v.)	thangtthat , cawimawi
94	acclimate (v.)	i nek
95	acclimatize (v.)	= acclimate; i nek.
96	accommodate (v.)	1. tlum, riahnak hmun pek; 2. ruahnak fonhtonh; e.g. We must accommodate to each other's ideas = Pakhat le pakhat ruahnak kan i fonhtonh awk a si.
97	accompaniment (n.)	thil dang he aa zulmi; e.g. They danced to the accompaniment of music = Aw dawh an tummi zulh in an lam.
98	accompany (v.)	zulh , kal tti , kalpi
99	accomplice (n.)	thil ttha lo tuah bawmtu
100	accomplish (v.)	tlinter , tuah khawh , lim, tuah khawh
101	accord (n.)	mahte hnatlaknak in, mah hnatla tein; e.g. He went there of his own accord = Amah hnatla tein a kal.
102	accordance (n.)	ning zulhnak
103	accordian (n.)	aw dawh tumnak akhawrdian
104	according (adv.)	ning zulh in
105	account (v.)	1. kong chim; e.g. He was asked to account for his conduct = A ziaza kong kha chim dingah an fial; 2. rel; e.g. In English law, a man is accounted innocent until he is proven guilty = Mirang upadi ah cun mi cu, na sual, ti khawh hlanah cun sual lo ah rel a si.
106	account (n.)	tangka hmuhnak le hmannak cazin
107	accountable (adj.)	relpiak khawh; e.g. A madman is not accountable for his actions = A molhmi pa cu a tuahmi kha amah tuahmi ah relpiak khawh a si lo.
108	accountant (n.)	tangka cazin tlaitu
109	accredit (v.)	1. ram aiawhtu ah ramdang i ca he tling tein kalter; 2. zumh; e.g. Can we accredit his words = A bia cu kan zumh ko hnga maw?
110	accrue (v.)	mah tein rak tthan; e.g. If you keep money in the Savings Bank, interest accrues = Bank ah tangka na chiah ahcun a karh kha a rak tthang.
111	accumulate (v.)	karh, i chap chin lengmang
112	accuracy (n.)	hmannak
113	accurate (adj.)	hman (hmaan); e.g. You speak English accurately = Mirang holh hman tein na chim.
114	accuse (v.)	sual puh
115	accustom (v.)	i nek; e.g. He is accustomed to cold weather = Khuasik aa nek.
116	ace (n.)	a ttha bik, a thiam bikmi
117	acerbic (adj.)	bia chiakha
118	ache (n.)	fak; e.g. I have a toothache = Ka ha a fak.
119	achieve (v.)	tlinter , lim , hlawhtlin
120	achievement (n.)	tlinternak, hlawhtlinnak
121	acid (n.)	a thormi ti , esit
122	acidity (n.)	thornak; e.g. Lemon has a high degree of acidity = Theithu cu a thor ngaingai.
123	acknowledge (v.)	1. thil kuatmi ka hmuh cang tiah hngalhternak; 2. a si tak, tinak; e.g. We should acknowledge our faults = Kan palhnak cu a si tak tiah kan ti awk a si.
124	acknowledgment (n.)	theihter tthannak, lunglawmhnak theihter tthannak.
125	acme (n.)	a sannak bik
126	acorn (n.)	thilthing thei, kuhthing thei, farthing thei
127	acoustics (n.)	aw hrawlning; e.g. The acoustics of the hall is excellent = Khan chung aw hrawlning cu a ttha ngai.
128	acquaint (v.)	i theihngalh; e.g. I am not acquainted with him = Amah he kan i theihngal lo.
129	acquaintance (n.)	theihngalhmi; e.g. He is just an acquaintance = Amah cu ka theihngalh menmen a si.
130	acquiesce (v.)	alnak um lo i hnatlakpi; e.g. She wants to marry him, but her parents do not acquiese = Amah vat cu a duh ko, sihmanhsehlaw a nu le a pa nih an hnatlakpi lo.
131	acquire (v.)	ngeih, hawl khawh; e.g. He acquired a lot of money = Tangka tampi a ngei.
132	acquisition (n.)	ngeihnak, hawl khawhnak
133	acquit (v.)	a sual lo tiah biaceihnak in thanh
134	acre (n.)	eka, tungvang palh kaih 4840
135	acrid (adj.)	1. rimtler; e.g. The smell of burning feather is acrid = Arhmul kangh rim cu a tler; 2. ingthor, ingchia
136	acrimonious (adj.)	misual hawl lawng duh
137	acrobatic (n.)	perzuan thiam
138	Acropolis (n., prop.)	Hlan lo Grik mi nih an khua an rak kulhmi.
139	across (adv.)	tan , khattelei in khattelei ah
140	act (v.)	1. tuah, ttuan , tuah khawk; 2: mi nawl cawn.
141	acting (n.)	midang tuah hngami rak tuahpiak
142	action (n.)	cawlcangh
143	activate (v.)	cawlcanghter , thawkter
144	active (adj.)	rianttuan huam , thawhzang , thekvak ttha
145	activity (n.)	rian; e.g. School activities are carried out by students and teachers = Sianginn rian cu siangngakchia le sayate nih an tuah.
146	actor (n.)	baisikup tlangval
147	actress (n.)	baisikup ngaknu
148	actual (adj.)	a sining taktak, a simi taktak
149	actuality (n.)	a taktak
150	actually (adv.)	a ngaingai ti ahcun; e.g. He looks honest, actually he is a rogue = Miding a lo, a ngaingai ti ahcun mi hrokhrol a si.
151	acumen (n.)	thluak rannak, khulrang in thil hngalh khawh le thiam khawhnak
152	acupuncture (n.)	thim sawh in damternak, Tuluk thiam hmasami
153	acute (adj.)	a fak ngaimi
154	ad hoc (adj.)	herhpang; e.g. ad hoc committee = herhpang komiti
155	adage (n.)	phungthlukbia
156	adamant (adj.)	lung hak, lung bantukin a hakmi
157	adapt (v.)	i cawn , i lak , hawi sining i cawn
158	adaptable (adj.)	a herhnak bantukin um khawh, i cawn khawh, hman khawh
159	adaptation (n.)	i cawn khawhnak, i lak khawhnak, i hma khawhnak
160	add (v.)	fonh
161	addendum (n.)	hrelh sualmi chap tthanmi
162	adder (n.)	rul phun khat, a sivai a tthawng ngaimi.
163	addicted (adj.)	lem cang; e.g. He is addicted to smoking = Kuakzuk nih a lem cang i a thlah kho ti lo.
164	addition (n.)	fonhnak
165	additional (adj.)	chapmi
166	address (n.)	umnak hmun , biachimmi
167	addressee (n.)	cakuatmi minung khi
168	adept (n., adj.)	a thiam ngaingaimi; e.g. She is adept at weaving = Thiamtah a thiam ngaingai.
169	adequacy (n.)	zatnak
170	adequate (adj.)	aa za
171	adhere (v.)	i tlaih peng, i beh peng
172	adherence (n.)	i tlaih pengnak, i beh pengnak
173	adherent (n.)	tanpitu , zultu
174	adhesive (adj.)	benh khawhmi
175	adhesive (n.)	behnak thil bang
176	adieu (interj.)	dam tein
177	adjacent (adj.)	a changtu , a hun pehtu
178	adjective (n.)	thil kong a chimtu biafang; e.g. He is a good man = Amah cu mi 'ttha' a si. 'Ttha' hi adjective cu a si.
179	adjoin (v.)	peh, an i peh
180	adjourn (v.)	ngol ta rih
181	adjudge (v.)	upadi ningin biakhiah
182	adjunct (n.)	a bawmtu , a chapchuantu
183	adjust (v.)	mah ca ttha dingin mersam
184	adjustable (adj.)	mersan khawhmi , remh khawhmi
185	adjutant (n.)	ralbawi, an cung bawi aiawh in rian a ttuanmi, a tam bki cu captain an si.
186	administer (v.)	1. tuah; e.g. The Pastor administers the Lord's Supper = Pastor nih Bawipa Zanriah a tuah; 2. zohkhenh , uk; e.g. The Head Master administers the school = Head Master nih sianginn a zohkhenh (uk); 3. pek; e.g. The nurse administers the medicine = Sayama nih si a pek hna.
187	administration (n.)	uknak , zohkhenh , rianttuannak
188	administrator (n.)	zohkhenhtu , uktu , tuahtu
189	admirable (adj.)	duh awk tlak a simi, nawl cawn awk tlak a simi
190	admiral (n.)	tilawng ralkap bawi ngan bik
191	admire (v.)	duh , a ttha ti , aa dawh ti
192	admissible (adj.)	luhter khawhmi
193	admission (n.)	luhkhawhnak
194	admit (v.)	1. ka sual ko ti; e.g. He admitted his mistake = Ka palh ko a ti; 2. luhter, sianginn i luhter
195	admittance (n.)	luhternak
196	admixture (n.)	cawhmi chung i cawh chihmi
197	admonish (v.)	chimhhrin
198	admonition (n.)	chimhhrinnak
199	ado (n.)	hnahnawh lurit, phunzai; e.g. Without further ado he signed the agreement = Phunzai ti loin hnatlaknak kha a min a thut.
200	adobe (n.)	rawh lo i ni lawngin cartermi tlakrawh
201	adolescence (n.)	nu le pa kong theih hramthawk caan , tleirol
202	adolescent (n.)	tlangval , ngaknu
203	adopt (v.)	1. fa i canter; 2. i lak; e.g. We adopt the best method = Tuahning ttha bik kha kan i lak.
204	adoption (n.)	fa canter
205	adorable (adj.)	fak piin dawt i fak piin upat awk tlak a simi
206	adore (v.)	fak piin duh i fak piin upat
207	adorn (v.)	thuamh , ttamh
208	adornment (n.)	thuamhnak , ttamhnak
209	adrift (adj.)	thlichia le tilet nih an duhnak paoh i tilawng an fenh khi, hrihhram ngeih lo
210	adroit (adj.)	thiam, fim; e.g. He is an adroit speaker = Biachim thiam ngaimi a si.
211	adroitness (n.)	thiamnak, fimnak
212	adulate (v.)	fak , ka daw seh ti duh i fak
213	adult (adj.)	upa , patling , nutling
214	adulterate (v.)	thurhnawmhter , a ttha lomi thil cawh chih.
215	adulterer (n.)	nu (pa) sin i a sualmipa
216	adulteress (n.)	pa sin i a sualminu
217	adultery (n.)	vacung pa duh , nu duh , pa duh
218	advance (v.)	1. hmailei kal; e.g. The troops advanced two miles = Ralkap cu hmailei ah khan hnih an kal; 2. cung kai; e.g. He worked so well that he was advanced to the post of a manager = A rianttuan a tthat caah maneizar rian ah a kai; 3. pek chung; e.g. I advanced him two kyats = Tangka phar hnih ka pek chung.
219	advancement (n.)	hmailei kalnak
220	advantage (n.)	tthathnemnak; e.g. What is the advantage of having a house = Inn ngeih cu zei tthathnemnak dah a um?
221	advent (n.)	rat; e.g. Since the advent of jet planes, travel has been speeded up = Jet vanlawng rat (hung chuah) hnu cun, khualtlawn rian a rang deuh; e.g. Bawi Jesuh rat tthannak.
222	Adventism (n., prop.)	Jesuh a ttum tthan zau lai tiah zumhnak.
223	Adventists (n., prop.)	Jesuh a ttum tthan zau lai tiah a zummi pawl.
224	adventure (n.)	kal bal lonak ram le ttih a nungmi hmun i va kal
225	adventurer (n.)	kal bal lonak ram le ttih a nungmi hmun i a va kal mipa
226	adventuress (n.)	kal bal lonak ram le ttih a nungmi hmun i a va kal minu
227	adverb (n.)	riantuantu biafang; e.g. Verb a bawmtu bia; He ran quickly = Khulrang tein a tli. QUICKLY = 'rang tein' ti biafang hi adverb cu a si, zeicahtiah 'tli' ti biafang kha a fianter chin i a bawmh.
228	adversary (n.)	ral; e.g. He is not my adversary = Amah cu ka ral a si lo.
229	adverse (adj.)	mah ca ttha lomi , harnak ton; e.g. Adverse circumstances caused him to lose all his money = A ca i a ttha lomi thil umtuning nih a tangka vialte a sunghter.
230	adversity (n.)	harnak tonmi , mah ca ttha lomi thil tonmi
231	advertise (v.)	thawngthanh , mi theihter , ca in siseh , hmanthlak in siseh
232	advertisement (n.)	thawngthanhnak tuahmi
233	advice (n.)	fim chimhnak , lungthin cheuh
234	advise (v.)	lungthin cheuh , fim chimh
235	adviser (n.)	lungthin cheutu , fim chimtu
236	advisory (adj.)	ruahnak pek; e.g. advisory body = ruahnak petu bu
237	advocacy (n.)	ttanhnak, chimpiak, dirkamh
238	advocate (v.)	tanh, chimpiak; e.g. We advocate peace = Daihnak kan tanh.
239	advocate (n.)	ttanhtu , chimpiaktu , dirkamhtu
240	aeon (n.)	rel cawk lo kum a raumi caan saupi
241	aerate (v.)	thli i canter, thli luhter
242	aerial (n.)	radio hri zammi.
243	aeroplane (n.)	vanlawng
244	aesthete (n.)	dawhnak lei a duh ngaimi le a hngal ngaimi
245	affable (adj.)	komh nuammi mittha
246	affair (n.)	rian, kong
247	affect (v.)	thlen, umtuning danter; e.g. Weather can affect crops = Nikhua nih rawl kung umtuning a danter khawh.
248	affection (n.)	hawikom dawtnak
249	affectionate (adj.)	dawt ngaimi; e.g. Your affectionate friend = Na dawt ngaimi na hawi
250	affidavit (n.)	Biaceihtu bawi hmaiah chiatser in chimmi bia
251	affiliate (v.)	a tengnge rak si, i peh; e.g. This college is affiliated to (with) the university = Hi college hi university tengnge a si; Hi college hi university he aa peh.
252	affiliation (n.)	i pehtlaihnak; a lain deuhmi bu he i pehtlaihnak
253	affinity (n.)	pehtlaihnak ; i lawhnak, i banghnak
254	affirm (v.)	a hman a dik hrimhrim ti i chim , ttial
255	affirmative (adj.)	a si ti in leh , a hman ti in leh
256	affix (v.)	benh, fonh; e.g. Affix the stamp on the envelope = Ca-ik ah milu benh.
257	afflict (v.)	nganfah pek, harnak pek; e.g. There are many illnesses which afflict old people = Tar pawl nganfah a petuzawtnak tampi a um.
258	affliction (n.)	nganfah peknak , harnak peknak
259	affluence (n.)	rumnak , duhdim te i nunnak
260	affluent (adj.)	thilri tampi ngeih, mirum si; e.g. He is an affluent person = Amah cu mirum a si.
261	afford (v.)	cawknak man ngeih khawh; e.g. I can afford to buy a car = Mawttaw cawknak tangka ka ngei kho.
262	afire (adj.)	a kang hluahmahmi; e.g. Bush afire = A kang hluahmahmi burbuk
263	afloat (adj., adv.)	ti cungah siseh, thli cungah siseh, a lao, aa vuan; e.g. The boat was afloat on the water = Tilawng cu ti cungah aa lao.
264	afraid (adj.)	ttih; e.g. I am afraid of tigers = Cakei ka ttih hna.
265	afresh (adv.)	a thar in tuah tthan; e.g. We painted the room afresh = Innkhan kha a thar in si kan
266	after (prep.)	hnu ah
267	afterlife (n.)	thih hnu nunnak, nuncang hmuhnak
268	aftermath (n.)	thil pakhat nih a dang thil pakhat a chuahtermi
269	afternoon (n.)	chunhnu
270	afterward (n.)	hmailei caan ah
271	again (adv.)	tthan; e.g. I want to read again = Carel ka duh tthan.
272	against (prep.)	doh, ralchanh; e.g. He is against me = A ka doh; a ka ralchanh.
273	agape (n.)	dawtnak, zawnruahnak
274	agape (adv.)	ngang ko i ka i an i um
275	age (n.)	kum; e.g. I do not know his age = A kum ka hngal lo.
276	aged (adj.)	tar , hlun; e.g. An aged person = Mitar; An aged car = Mawttawka hlun
277	agency (n.)	rian fialmi rianttuantu bu le an rianttuannak; e.g. An employment agency helps people find jobs = Rian kawlpiaktu i ciahmi bu nih rian hmuh an bawmh hna.
278	agenda (n.)	biaceih awk i chiahmi
279	agent (n.)	rianttuan fialmi
280	aggrandize (v.)	nawlngeihnak le rumnak i ngan chinchin, a puanpar i rumra ngei ngai i um
281	aggravate (v.)	tthat loter deuh , fahter chin
282	aggregate (adj.)	a dihlak tuak ah; e.g. The aggregate sum of his debts was K.300 = A leiba a dihlak tuak ah K.300 a si.
283	aggression (n.)	midang cung i zaang-ennak va tuah ; midang va doh le va thah
284	aggressive (adj.)	1. midang va doh le thah a duhmi, midang he bia al a duh ngai i amah duhning in mi dang umter a duhmi; 2. rianttuan huammi, mi hruai kho
285	aggressor (n.)	midang ram a va dohtu
286	agile (adj.)	khulrang, fel, fawi tein cawlcangh, ruang-ai; e.g. Cats are very agile = Chizawh cu an ruang a ai ngai.
287	agility (n.)	khulrannak, ruang ainak
288	agitate (v.)	hninhsaih , thinlung hninhsaih i thinhunter
289	agitation (n.)	hnahnawhnak, lung hninhsaihnak
290	agnostic (n.)	Pathian cu a um zongah a poi lo, a um lo zongah a poi lo, tiah a timi pawl
291	ago (adv.)	kan hnulei caan ah khan; e.g. Two minutes ago = Minit pahnih an khan
292	agony (n.)	nganfahnak
293	agree (v.)	ruahnak i khah , hnatlak
294	agreeable (adj.)	1. a nuam , a ttha; 2. hnatlakpi awk a simi
295	agreement (n.)	hnatlaknak , ruahnak i khahnak
296	agriculture (n.)	lothlawh
297	agronomy (n.)	thingkung, ramkung, cinning cawnpiaknak
298	ahead (adv.)	hmailei ah; e.g. He went ahead of me = Ka hmai ah a kal.
299	aid (v.)	bawmh
300	aid (n.)	bawmhnak
301	aide-de-camp - (n.) ralbawi general bawmtu.
302	ail (v.)	harnak pek; e.g. What ails him = Zei nih dah harnak a pek?
303	ailment (n.)	harnak
304	aim (v.)	tinh , tinhmi
305	air (n.)	1. thli, thlitu; 2. Radio in biachim; e.g. He is on the air = Radio in bia a chim. air
306	condition (v., n.)	mah duhning in lumter , kihter
307	Air Force (n., prop.)	Vanlawng Ralkap
308	airborne (adj.)	vanlawng zuan; e.g. The plane was airborne = Vanlawng a zuang.
309	aircraft (n.)	vanlawng
310	aircraft carrier (n.)	vanlawng phortu tilawng nganpi.
311	airfield (n.)	vanlawng dinhnak , vanlawng ttumnak
312	airgun (n.)	thlitu meithal
313	airline (n.)	vanlawng in khualtlawnnak tuahtu bu
314	airplane (n.)	vanlawng
315	airport (n.)	vanlawng dinhnak hmun
316	aisle (n.)	biakinn a chung tthutnak tlar pakhat le pakhat karlak lam
317	akin (adj.)	sahlawh rualchan lei in i pehtlaih , i lawh , i bangh
318	alarm (v., n.)	thil ttihnung nih thinlaunak a chuahtermi; e.g. They were filled with alarm when they saw the fire = Mei an hmuh tikah thinlaunak in an khat.
319	alarming (adj.)	thinlautertu a simi thil
320	alas (interj.)	aize!
321	album (n.)	hmanthlak benhnak cauk
322	alcohol (n.)	zureu
323	alcoholic (n.)	zureu nih a tlaih cangmi
324	alert (adj.)	ralringte le fimte i um, hliphlau
325	algebra (n.)	el-zi-bra; kanan tuakning phun khat
326	alias (n.)	min dangdang i bunhmi; e.g. The criminal has several aliases = Misual nih min dangdang i bunhmi a ngei.
327	alibi (n.)	1. sonhtarh; e.g. He has no alibi for his failure in the examination = Camipuai a sungh cu sonhtarh ding zeihmanh a ngei lo; 2. thil pakhatkhat a can tikah, cu lioah cun ka dang ah ka um ti piah khawhnak
328	alien (n.)	ramdangmi , khual
329	alienate (v.)	ramdangmi le khual bantuk i ruah, rem lo, lung fahter
330	align (v.)	aa ruang in chiah, aa ruang in umter, aa nge in ser; e.g. They aligned the chairs in a straight line = Artlang in tthutdan kha an chiah hna.
331	alignment (n.)	aa ruang in tuahnak , aa nge in remhnak
332	alike (adj.)	aa lo, aa khat, an i lo, an i khat
333	alimony (n.)	biaceihtu biakhiahnak in , a va nih a makmi a nupi cawmnak tangka a pekmi
334	alive (adj.)	a nung , a nungin
335	all (adj.)	a dihlak
336	all right (interj.)	a ttha ko.
337	allay (v.)	a fakmi dinter deuh , ttihnak daihter deuh
338	allege (v.)	puh , sual puh
339	allegiance (n.)	zumh awk tlak sinak, lungthin in tanpinak
340	allegory (n.)	tahchunhnak i hmanmi tuanbia; e.g. The Pilgrim's Progress is an allegory = Khrihfa vancung kainak cu tahchunhnak i chimmi tuanbia a si.
341	allergic (adj.)	pum nih an huatmi; e.g. He is allergic to penicillin = Penicillin cu a pum nih a huat (A langhning cu thah le bo a si bik).
342	allergy (n.)	pum nih huatnak
343	alleviate (v.)	harnak, fahnak innak nemter deuh, fawiter deuh; e.g. This medicine will alleviate your suffering = Hi si nih hin na innak a nemter deuh lai.
344	alley (n.)	inn hnulei le inn hnulei karlak lam, inn sir le inn ser karlak lam
345	alliance (n.)	tantinak
346	alligator (n.)	tisartlam hme deuh phun
347	allocate (v.)	pek, chiah; e.g. They allocate a sum of money to education = Cathiam fimnak cawnnak caah tangka zeimawzat an chiah.
348	allot (v.)	pek; e.g. They are alloted a house = Inn pakhat pek an si.
349	allotment (n.)	pekmi thil
350	allow (v.)	tuahnak nawl pek; e.g. Allow him to go on a picnic = Hniang hrawmnak ah kalnak nawl pe tuah.
351	allowance (n.)	thil herhmi ca i tangka pekmi
352	alloy (n.)	thir dar phun, phun hnih phun thum cawhmi; e.g. An alloy of gold and copper is harder than pure gold = Sui le dar cawhmi cu sui thiang nakin a hak deuh.
353	allude (v.)	sawhter, chim hnawhchan; e.g. What are you alluding to = Zeidah na chim hnawhchanmi a si?
354	allure (v., n.)	lem , lem khawhnak , duhternak
355	allusion (n.)	a sullam rak i hngalh seh ti in a vel deuh in chim hnawh
356	alluvial (adj.)	tivakam vawlei tthami.
357	ally (v., n.)	Hawi he asiloah ramdang he ttan tti; e.g. He is a close ally of mine = A ka ttanpi ngaimi ka hawi a si.
358	alma mater (n.)	mah rak cawnnak college sianginn.
359	almighty (adj.)	lianngan bik , cungnung bik
360	almirah (n.)	bizu
361	almond (n.)	almon thingthei
362	almost (adv.)	dengmang , luklak
363	alms (n.)	tangka siseh , thil siseh , misifak tthenhmi
364	alone (adj.)	mah lawngin; e.g. He went to school alone = Amah lawngin sianginn ah a kal.
365	along (adv.)	zulhin; e.g. We went along the river = Tiva zulhin/hrawnin kan kal.
366	aloof (adv.)	hawi he i komh lo, mah dangte i um
367	aloud (adv.)	thang piin; e.g. Read the story aloud = Tuan bia cu thangpi in rel.
368	alpha and omega (n.)	alfa le omega, Grik cafang a thawhnak le a donghnak, cucaah a thawknak le a donghnak.
369	alphabet (n.)	cafang, A in Z tiang
370	already (adv.)	cang; e.g. He has already gone home = Inn ah a ttin cang.
371	also (adv.)	zong , ve
372	altar (n.)	biakttheng
373	alter (v.)	thlen
374	alternate (v.)	karlak thlak i thlen
375	alternative (n.)	karlak thlak i i thim
376	although (conj.)	nain; e.g. I shall go although I do not like to = Ka duh lo nain ka kal ko lai.
377	altimeter (n.)	a san a niam tahnak
378	altitude (n.)	rili in zei can dah a san tinak
379	alto (n.)	hlasak i eltthu aw timi khi
380	altogether (adv.)	a dihlak in , a ningpi in
381	altruism (n.)	midang zawnruah
382	aluminum (n.)	dan (daan).
