GLOSS	AMBIGUITY	COVERAGE	SOURCES
build by laying bricks, stones, etc.		1	TBL
building		1	TBL
bull; cow		1	ZMYYC
bully / treat s.b. rough		1	TBL
bunch / bundle (of vegetable)		1	TBL
bundle / sheaf		1	TBL
burn the grass on wasteland		1	TBL
burnt / scorched		1	TBL
bury (something)		1	ZMYYC
bush		1	GEM-CNL
busy		1	TBL
but		1	GEM-CNL
butter		1	TBL
button		1	TBL
by means of		1	GEM-CNL
cabbage (Chinese)		1	ZMYYC
calf (bull-yak crossbreed)		1	TBL
calf (common or bull-yak crossbreed)		1	TBL
calf (common)		1	TBL
calf (of cow)		1	GEM-CNL
calf (of leg)		1	GEM-CNL
calf (yak)		1	TBL
calf;thigh		1	ZMYYC
call so.; cry out		1	ZMYYC
call together / convene		1	TBL
called, be / named		1	TBL
called, be / named (lit. = copula)		1	TBL
camel		1	TBL
can		1	TBL
candle		1	ZMYYC
cane		1	GEM-CNL
cane / vine		1	TBL
cane / vine (black)		1	TBL
cane / vine (for making rattan chairs)		1	TBL
cane / vine (herba fibraureae recisae)		1	TBL
cane / vine (tendrilled)		1	TBL
cannon		1	ZMYYC
cape (for rain, of straw or palm bark)		1	TBL
capital / principal		1	TBL
car		1	ZMYYC
careful / attentive		1	TBL
careful, be / cautious		1	TBL
carry (a child) on the back)		1	TBL
carry (generic)		1	GEM-CNL
carry (in hand)		1	GEM-CNL
carry (loads; of pack animals)		1	TBL
carry (money) on one		1	TBL
carry (on back)		1	GEM-CNL
carry (sthg.) with a pole on t		1	TBL
carry on a pole (two people)		1	ZMYYC
carry on back		1	ZMYYC
carry on shoulder		1	ZMYYC
carrytowardspkr;carryfromspkr		1	ZMYYC
carve / engrave		1	TBL
cast		1	ZMYYC
castrate		1	ZMYYC
castrate (cocks)		1	TBL
catch (fire) / be (on fire)		1	TBL
catch (fire) / be (on fire) (a house)		1	TBL
catch (fire) / be (on fire) (on mountain)		1	TBL
catch / capture		1	TBL
catch cold		1	TBL
caterpillar		1	GEM-CNL
cattle (bull-yak crossbreed)		1	TBL
cattle (bull-yak crossbreed, female)		1	TBL
cattle (bull-yak crossbreed, male)		1	TBL
cattle (common, female)		1	TBL
cattle (common, male)		1	TBL
catty=500 grams		1	ZMYYC
cave (mountain)		1	TBL
cave / hole		1	TBL
cave in / sink		1	TBL
celebrate (the New Year)		1	TBL
celebrate new year		1	ZMYYC
celestial being		1	TBL
certainly		1	ZMYYC
chaff		1	GEM-CNL
chaff / bran		1	TBL
chaff / bran (highland barley)		1	TBL
chaff / bran (wheat)		1	TBL
change		1	TBL
change / transform		1	ZMYYC
change;		1	ZMYYC
chaotic / disorderly / messy		1	TBL
character / word		1	TBL
charcoal (live)		1	TBL
charcoal (live) (burned out by wood)		1	TBL
charge / sprint (in the front)		1	TBL
chase / run after		1	ZMYYC
chase after		1	TBL
chat		1	TBL
cheat / swindle		1	ZMYYC
chess		1	TBL
chest / box / trunk		1	TBL
chestnut (Chinese)		1	TBL
chick		1	TBL
chick (newly hatched)		1	TBL
chief		1	GEM-CNL
chillie		1	GEM-CNL
chime		1	TBL
chip (the rim)		1	TBL
chipped		1	ZMYYC
chisel		1	TBL
chisel (round)		1	TBL
chisel (square)		1	TBL
chisel / bore (a hole)		1	TBL
choke		1	ZMYYC
choose		1	GEM-CNL
choose / pick		1	TBL
chop (firewood)		1	TBL
chop (firewood, bamboo)		1	TBL
chop (tree)		1	ZMYYC
chop (wood)		1	TBL
chop / cut (meat)		1	TBL
chop / hew		1	TBL
chop down (trees)		1	TBL
chopsticks (term used by old people)		1	TBL
chopsticks (term used by younger people)		1	TBL
chopsticks for fire		1	ZMYYC
cigarette / tobacco		1	TBL
circle / circular		1	TBL
circle / circular (planar)		1	TBL
circle / circular (spherical)		1	TBL
circle / circular (tubular)		1	TBL
circle / hover / wheel		1	TBL
city		1	ZMYYC
clarify / clear up		1	TBL
classifier for age		1	TBL
classifier for age of animals		1	TBL
classifier for age of animals (cows)		1	TBL
classifier for age of animals (horses)		1	TBL
classifier for animals		1	ZMYYC
classifier for birds		1	TBL
classifier for books		1	TBL
classifier for bowls		1	TBL
classifier for bridges		1	TBL
classifier for brooms		1	TBL
classifier for clothes		1	ZMYYC
classifier for e.g. bowls		1	ZMYYC
classifier for eggs		1	TBL
classifier for flags		1	TBL
classifier for flags (lit. 'pole / shaft')		1	TBL
classifier for flowers		1	TBL
classifier for garments		1	TBL
classifier for grains		1	ZMYYC
classifier for knives		1	TBL
classifier for leaves		1	TBL
classifier for letters		1	TBL
classifier for long objects		1	ZMYYC
classifier for long, thin obje		1	ZMYYC
classifier for objects with ha		1	ZMYYC
classifier for one of a pair		1	TBL
classifier for pens		1	TBL
classifier for river		1	TBL
classifier for rocks, stones		1	TBL
classifier for rooms		1	TBL
classifier for rope		1	TBL
classifier for songs		1	TBL
classifier for sticks		1	TBL
classifier for sticks (big)		1	TBL
classifier for sticks (small)		1	TBL
classifier for two birds		1	TBL
classifier for two books		1	TBL
claw / talon		1	TBL
claw / talon (chicken's rear claws)		1	TBL
clay		1	GEM-CNL
clear / lucid		1	TBL
clear, be (weather) / sunny		1	TBL
clever		1	TBL
cliffy / precipitous		1	TBL
climb		1	GEM-CNL
climb (a mountain)		1	TBL
climb up (a tree)		1	TBL
clock		1	GEM-CNL
close (a book)		1	TBL
close (an umbrella)		1	TBL
close (eye)		1	ZMYYC
close (eye); close (door)		1	ZMYYC
close (the door)		1	TBL
close (the mouth)		1	TBL
close (the mouth) lightly		1	TBL
cloth (Tibetan, woollen)		1	TBL
cloth (colorful, worn on the head)		1	TBL
cloth (colorful, worn on the head) (for women)		1	TBL
cloth (woollen)		1	TBL
cloth (woollen) (tweed native to area)		1	TBL
clothing / garment		1	TBL
cloudy		1	ZMYYC
cloudy (V)		1	ZMYYC
cloudy, be (sky) / overcast		1	TBL
clumsy / awkward		1	TBL
coat		1	GEM-CNL
coax / fool		1	TBL
cockscomb		1	TBL
cold (water)		1	TBL
cold (water;food)		1	ZMYYC
cold (weather)		1	TBL
cold (weather, water)		1	TBL
collapse		1	ZMYYC
collapse / cave in / fall down		1	TBL
collar		1	TBL
collide / run into		1	TBL
color		1	TBL
come (1sg)		1	TBL
come (future)		1	TBL
come (imperative)		1	TBL
come (of rain, people)		1	ZMYYC
come (past)		1	TBL
come back;go back		1	ZMYYC
come loose (shoelace)		1	TBL
come out		1	TBL
come out (future)		1	TBL
come out (past)		1	TBL
come out (the sun)		1	TBL
commend / praise		1	TBL
common people		1	TBL
compare		1	TBL
compare ('than'--functor)		1	TBL
compensate		1	TBL
complain about s.b. to his sup		1	TBL
complete, be		1	TBL
conduit (open, for water)		1	TBL
conform (cause to) / satisfy		1	TBL
connect		1	ZMYYC
connect / join		1	TBL
consult / discuss		1	TBL
container (measuring, 1-liter-volume)		1	TBL
container for measuring grain (=1 decaliter)		1	TBL
cook		1	GEM-CNL
cook / boil		1	TBL
cook / boil (rice); boil meat		1	ZMYYC
cook / boil (water, meat)		1	TBL
cook3		1	GEM-CNL
cooked		1	ZMYYC
cooked, be (rice) / done		1	TBL
cool		1	ZMYYC
cool, pleasantly		1	TBL
copper (brass, red (pure))		1	TBL
copper (cupronickel)		1	TBL
copper (red; pure copper)		1	TBL
copper (yellow)		1	ZMYYC
copper (yellow); copper (red)		1	ZMYYC
copper(red);copper (yellow)		1	ZMYYC
coral		1	TBL
corner / angle		1	TBL
corner / angle (edge, convex)		1	TBL
corner / angle (nook, concave)		1	TBL
corpse		1	TBL
correct / change		1	ZMYYC
count (numbers)		1	TBL
country		1	GEM-CNL
country / nation		1	ZMYYC
courage		1	ZMYYC
cover		1	GEM-CNL
cover (the mouth)		1	TBL
cover / hide from view		1	TBL
cover up (objects)		1	TBL
cowrie		1	GEM-CNL
crab		1	GEM-CNL
crack		1	ZMYYC
crack / rift / fissure		1	TBL
crack / rift / fissure (in a board, stone, wall, etc.)		1	TBL
crack wood;crack earth / melon		1	ZMYYC
cramped / narrow		1	TBL
crane		1	TBL
crawl		1	ZMYYC
crawl (of babies)		1	TBL
crawl (of insects)		1	TBL
crawl (of insects, horizontally)		1	TBL
crawl (of insects, upwards)		1	TBL
crawl (of people)		1	TBL
crawl (upwards)		1	TBL
crazy, become		1	TBL
creeper		1	GEM-CNL
crisp / brittle		1	TBL
cross (a bridge)		1	TBL
cross (a river)		1	TBL
cross (river)		1	ZMYYC
cross / pass		1	TBL
crow (bird)		1	GEM-CNL
crow (of cocks)		1	TBL
crow (of hens)		1	TBL
cruel		1	GEM-CNL
crupper-strap		1	TBL
crush to pieces		1	TBL
cry		1	TBL
cry (weep)		1	GEM-CNL
cry / chirp (of birds)		1	TBL
cry out / yell		1	ZMYYC
cubit		1	TBL
cuckoo		1	TBL
cuddle / embrace		1	TBL
cupboard / cabinet		1	TBL
curry		1	GEM-CNL
curse		1	GEM-CNL
curved / crooked / bent		1	TBL
curved, become / bent		1	TBL
cut		1	ZMYYC
cut (cloth)		1	TBL
cut (firewood)		1	ZMYYC
cut (generic)		1	GEM-CNL
cut (meat)		1	TBL
cut (paper)		1	TBL
cut (paper, cloth)		1	TBL
cut (vegetable)		1	ZMYYC
cut (vegetable);cut meat		1	ZMYYC
cut (with axe)		1	GEM-CNL
cut (with knife)		1	GEM-CNL
cut / gouge out		1	TBL
cut / rip open		1	TBL
cut ear of grain; cut root		1	ZMYYC
cut meat;cut melon;cut veg's		1	ZMYYC
cut off / sever		1	TBL
cut off / sever (intransitive)		1	TBL
cut off / sever (transitive)		1	TBL
cut open (fish)		1	ZMYYC
cut up (meat)		1	TBL
cut up (melon)		1	TBL
cut up (vegetable)		1	TBL
cymbals		1	TBL
cypress		1	TBL
cypress (big)		1	TBL
cypress (small)		1	TBL
damage / spoil		1	TBL
damage / spoil (intransitive)		1	TBL
damage / spoil (simplex)		1	TBL
damage / spoil (transitive)		1	TBL
damaged, be (house) / cave in		1	TBL
dance (guo1zhuang1, a Tibetan dance)		1	TBL
dance (step, tap)		1	TBL
dance (the 'guo1zhuang1')		1	TBL
dance (xian2zi dance, 3-stringed plucked instr)		1	TBL
danger		1	TBL
dao		1	GEM-CNL
dark, get		1	TBL
date (time)		1	TBL
daughter-in-law (address)		1	TBL
daughter-in-law (reference)		1	TBL
dawn		1	GEM-CNL
dawn (the day)		1	TBL
day		1	GEM-CNL
day (24 hours)		1	ZMYYC
day (24 hours) (measure word)		1	ZMYYC
day (first of lunar month)		1	TBL
day (second of lunar month)		1	TBL
day (time)		1	TBL
day's (journey)		1	TBL
day's (work)		1	TBL
day(time)		1	ZMYYC
day, eleventh of month		1	ZMYYC
day, fifteenth of month		1	ZMYYC
day, fifth of month		1	ZMYYC
day, first of month		1	ZMYYC
day, sixteenth of month		1	ZMYYC
day, third of month		1	ZMYYC
day, thirtieth of month		1	ZMYYC
day, twentieth of month		1	ZMYYC
day, twentieth of month (lunar		1	ZMYYC
dead		1	TBL
deaf		1	GEM-CNL
deaf, be		1	TBL
dear (expensive)		1	GEM-CNL
deceive		1	GEM-CNL
deceive / cheat		1	TBL
deceive / cheat (people)		1	TBL
deceived, be / cheated, be		1	TBL
decoct (herbal medicine)		1	TBL
decoct (porridge / conjee)		1	TBL
deep-fry		1	ZMYYC
deer (barking)		1	GEM-CNL
deer (female)		1	TBL
deer (generic)		1	GEM-CNL
deer (male)		1	TBL
deer (river)		1	TBL
deer (river) (female)		1	TBL
deer (river) (male)		1	TBL
deer (sambhur)		1	GEM-CNL
delicious		1	ZMYYC
deposit / leave with		1	TBL
desire		1	GEM-CNL
destroy (cause to)		1	TBL
destroy / exterminate		1	TBL
develop (a career / undertaking)		1	TBL
develop (career / undertaking)		1	TBL
dhole, jackal		1	ZMYYC
diarrhea		1	GEM-CNL
diarrhea, have		1	TBL
die out (of fire)		1	TBL
difference / distinction		1	TBL
dig (ditch)		1	ZMYYC
dig / excavate		1	TBL
dig / scoop out		1	TBL
dig out with finger		1	TBL
digest		1	TBL
dike / embankment		1	TBL
diligent		1	ZMYYC
dilute / add water		1	TBL
dilute water		1	TBL
dinner		1	ZMYYC
direction / orientation		1	TBL
dirt / filth		1	TBL
disappear / vanish		1	TBL
disappear / vanish (lit. 'not seen anymore')		1	TBL
dislocate (a joint)		1	TBL
display structure		1	TBL
dissolve		1	TBL
dissolve (cause to)		1	TBL
ditch / gully		1	TBL
divide / share (things)		1	TBL
divide family property and live apart (offspring)		1	TBL
dizzy, feel / giddy		1	TBL
do / be in business		1	TBL
do / make		1	TBL
do / make (future)		1	TBL
do / make (past)		1	TBL
don't		1	ZMYYC
done, be / accomplished		1	TBL
door (front) / door (entrance)		1	TBL
double / twice		1	TBL
doubt		1	TBL
down		1	GEM-CNL
downstairs		1	TBL
downstairs (first floor, the draught animal pen)		1	TBL
downwards		1	TBL
doze / nod off		1	TBL
drag for / dredge up		1	TBL
dragon (water)		1	TBL
drape (a garment) over one's shoulders		1	TBL
draw (a picture)		1	TBL
draw out / stretch		1	TBL
draw out / stretchdraw out / stret		1	TBL
dregs / sediment		1	TBL
drench		1	TBL
drill		1	TBL
drill / auger		1	TBL
drink; drink (caus.)		1	ZMYYC
drip		1	ZMYYC
drive animal;drive out		1	ZMYYC
drive away		1	ZMYYC
drive out / expel		1	TBL
drive verbally;drive w / stone		1	ZMYYC
drop (of oil)		1	TBL
drop / fall		1	ZMYYC
drum (big)		1	TBL
drum (big); drum (small hand)		1	ZMYYC
drum (small, hand-drum)		1	TBL
drunk		1	ZMYYC
drunk, be		1	TBL
drunk, get		1	TBL
dry (clothes) in the air		1	TBL
dry (clothes) in the sun		1	TBL
dry (clothes) near fire		1	ZMYYC
dry (grain) in the sun		1	TBL
dry (inside of object)		1	TBL
dry (of damp objects: become dry)		1	TBL
dry by fire		1	TBL
dry in the sun		1	ZMYYC
dry in the sun (outdoors)		1	ZMYYC
dry measure / peck / =10 shēng		1	ZMYYC
dry measure / pint		1	ZMYYC
dry season		1	ZMYYC
dry(clothes)nr fire;dry(kang)		1	ZMYYC
dry, be		1	TBL
duck (domestic)		1	TBL
duck (mallard)		1	TBL
dumb		1	GEM-CNL
dung		1	GEM-CNL
dung (cow)		1	TBL
dung (cow) (dry)		1	TBL
dung (cow) (wet)		1	TBL
dung (goat)		1	TBL
dung (goat, sheep)		1	TBL
dung (horse)		1	TBL
dung (pig)		1	TBL
dung (sheep)		1	TBL
dung / manure		1	ZMYYC
dung / manure of cow		1	ZMYYC
dusk / twilight		1	TBL
dustpan / winnowing sieve		1	ZMYYC
dwell / live		1	ZMYYC
dye (stuff)		1	TBL
each		1	GEM-CNL
each / every		1	TBL
each / every (person)		1	TBL
each / every (thing)		1	TBL
eagle / vulture		1	TBL
ear (of grain-producing plant)		1	ZMYYC
ear / spike		1	TBL
earring (big); earring (small)		1	ZMYYC
earrings		1	TBL
earrings (big)		1	TBL
earrings (female's)		1	TBL
earrings (male's)		1	TBL
earrings (small)		1	TBL
earth / ground		1	TBL
