RANK	CONCEPT	Mikir
165	you [second person plural]	
166	the neck	chethok,ingphun	348
167	the frost	(hoar --)ephik	287
168	the goat	
169	the branch	pheke	211
170	middle	
171	the snow	
172	the forest	ingnam, nampi, habit	284
173	narrow	bihek, chingkinret, chengran, chengret, ajamkebi, ranitini	347
174	the thigh	
175	to hold	nep, jang, thap[...]	303
176	eight	
177	the blood	avi	208
178	the eye	
179	seven	throksi	404
180	the hand	ri(-pak, -pek)	298
181	the bone	repi	210
182	the breast (female)	mok, ning	212
183	the egg	
184	the sheep	
185	to plant (vegetals, rice)	
186	the dust	(longle a-)duk, theklo, aduk abet;[...]	261
187	the rainbow	
188	the mouth	
189	smooth	nei(-klong, -lep, -the, -vet), klamjir[...]	412
190	early	
191	he or she [third person singular]	la, hala, alang, alangli	300
192	to bite	khor, kangthok, chek	207
193	to lie down	
194	dirty	hijimmai, ningni, ter, mui	253
195	the horn (keratinized skin)	nu	304
196	to smell (perceive odor) [transitive]	
197	hundred	pharo, pharo isi	306
198	the belly	pok	204
199	the lake	
200	above	angsong, athak; (one -- another) pangchap, pacherop.	180
201	noon	nerlo chitim	350
202	the earthworm	
203	young	
204	salty	[=salt (adj)]ingti kedok	398
205	the hoof	chimi, keng kemo	304
206	below, under	
207	dark	ingting(-duk, -ik, -kuk, bin-hing[...]	245
208	horizontal	delong, dolong	305
209	the mosquito	
210	to blow (of wind)	but(phu) [...]	208
211	the ice	
212	to learn	
213	to know (something)	
214	to flow	li(voi)	282
215	to float	inglang[...]	282
216	the otter	
217	thin (object)	
218	to forget	tengne(det), tene(det), manghu(-det, -hak, -phong)[...]	285
219	to run	
220	the shit	
221	the nit	!missin!
222	to sow (broadcast, scatter seeds)	
223	the wolf	
224	to knead	
225	to marry (a man marries a woman)	
226	the fox	kethoi thengbaat, teke thengbat, hijai[...]	286
227	the wood (material)	
228	the husband	pengngan, penan	306
229	here	ladak, dak	303
230	this	
231	the sickle	
232	where	
233	there	
234	the wife	
235	we [first person plural inclusive]	
236	that	
237	the child (young human)	so, oso, oso kathei	224
238	what	
239	all	kedo kave, kedoan, angse, anta, arpum, and badu(-ta, -ba-dang), lajok(ta), majok, rongisi, -tame, -rep, -phrong,; humilipi [...]	187	
240	the wheat	
241	firewood	theng	280
242	the horse	losei	304
243	twenty	
244	shy	katherak, ning-ar-ot	407
245	correct (right)	chenam, kechok[...]	238
246	the sea	
247	knife	
248	the sparrow	
249	the rice plant	
250	the barley (tibetan or highland)	?
