OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5566	t͡sæ₂₄	t͡s æ ₂₄	755	Wang2006a, 977	narrow	tsæ24	t͡s æ ₂₄
5451	d͡zoŋ₂₂	d͡z o ŋ ₂₂	437	Wang2006a, 1014	heavy	dzoŋ22	d͡z o ŋ ₂₂
6031	ʁaŋ₁₂	ʁ a ŋ ₁₂	1458	Wang2006a, 1008	yellow	ʁaŋ12	ʁ a ŋ ₁₂
161806	d͡zoŋ₁₂	d͡z o ŋ ₁₂	457	Wang2006a, 1169	hide	dzoŋ12	d͡z o ŋ ₁₂
5487	bæ₁₂	b æ ₁₂	1059	Wang2006a, 994	smooth	bæ12	b æ ₁₂
5827	ju₄₂	j u ₄₂	236	Wang2006a, 1198	eat	ju42	j u ₄₂
6245	ɕi₂₂	ɕ i ₂₂	162	Wang2006a, 1651	die	ɕi22	ɕ i ₂₂
1460	ŋo₅₅	ŋ o ₅₅	320	Wang2006a, 351	fish	ŋo55	ŋ o ₅₅
1341728	χe₂₄	χ e ₂₄	60	Wang2006a, 1005	black	χe24	χ e ₂₄
6248	koŋ₃₃	k o ŋ ₃₃	1323	Wang2006a, 798	two	koŋ33	k o ŋ ₃₃
3305	sao₅₅	s a o ₅₅	974	Wang2006a, 44	sand	sao55	s a o ₅₅
5984	uen₁₂	u e n ₁₂	965	Wang2006a, 990	round	uen12	u e n ₁₂
1375415	pu₅₅	p u ₅₅	76	Wang2006a, 1218	blow (the trumpet)	pu55	p u ₅₅
8061	mæ₄₂	m æ ₄₂	121	Wang2006a, 1516	buy	mæ42	m æ ₄₂
6685	pæ₂₄	p æ ₂₄	501	Wang2006a, 824	hundred	pæ24	p æ ₂₄
7005	t͡ɕua₂₄	t͡ɕ u a ₂₄	254	Wang2006a, 804	eight	tɕua24	t͡ɕ u a ₂₄
5527	di₂₁	d i ₂₁	431	Wang2006a, 74	head	di21	d i ₂₁
6043	sæ₂₄	s æ ₂₄	154	Wang2006a, 1339	cut (meat)	sæ24	s æ ₂₄
5511	uen₂₂	u e n ₂₂	271	Wang2006a, 79	eye	uen22	u e n ₂₂
6053	tyen₅₅	t y e n ₅₅	1337	Wang2006a, 1002	vertical, be standing	tyen55	t y e n ₅₅
333730	ɲi₁₂	ɲ i ₁₂	850	Wang2006a, 167	person	ɲi12	ɲ i ₁₂
3430	bi₁₂	b i ₁₂	1035	Wang2006a, 120	skin	bi12	b i ₁₂
844574	bɤu₂₁	b ɤ u ₂₁	47	Wang2006a, 1141	bind; tie up	bvu21	b ɤ u ₂₁
6193	t͡ɕi₂₂	t͡ɕ i ₂₂	788	Wang2006a, 805	nine	tɕi22	t͡ɕ i ₂₂
5484	ɕien₅₅	ɕ i e n ₅₅	785	Wang2006a, 1050	new	ɕien55	ɕ i e n ₅₅
7003	pfu₂₄	p f u ₂₄	1034	Wang2006a, 802	six	pfu24	p f u ₂₄
5616	ʂi₂₂	ʂ i ₂₂	421	Wang2006a, 107	hand	ʂi22	ʂ i ₂₂
6051	pfu₁₂tʰua₄₂	p f u ₁₂ tʰ u a ₄₂	1110	Wang2006a, 1688	spit (noun or verb?)	(pfu12tʰua42)	p f u ₁₂ tʰ u a ₄₂
5987	ʑi₄₂	ʑ i ₄₂	1004	Wang2006a, 1020	sharp	ʑi42	ʑ i ₄₂
630453	moŋ₂₄	m o ŋ ₂₄	715	Wang2006a, 360	mosquito	moŋ24	m o ŋ ₂₄
5481	d͡ʑi₄₂	d͡ʑ i ₄₂	197	Wang2006a, 22	earth	dʑi42	d͡ʑ i ₄₂
5481	tʰy₂₂	tʰ y ₂₂	208	Wang2006a, 40	soil; earth	tʰy22	tʰ y ₂₂
5475	ɕin₅₅	ɕ i n ₅₅	435	Wang2006a, 144	heart	ɕin55	ɕ i - n ₅₅
3258	tʰy₂₂	tʰ y ₂₂	838	Wang2006a, 38	path; road	tʰy22	tʰ y ₂₂
5459	na₄₂	n a ₄₂	1260	Wang2006a, 931	you	na42	n a ₄₂
2300	ɢæ₁₂	ɢ æ ₁₂	684	Wang2006a, 443	meat	ɢæ12	ɢ æ ₁₂
411	sua₂₄	s u a ₂₄	75	Wang2006a, 129	blood	sua24	s u a ₂₄
5981	qao₂₄	q a o ₂₄	477	Wang2006a, 263	horn	qao24	q a o ₂₄
6071	d͡ʑi₂₂	d͡ʑ i ₂₂	875	Wang2006a, 1487	pull; tug	dʑi22	d͡ʑ i ₂₂
5729	ɲi₂₄uaŋ₅₅	ɲ i ₂₄ u a ŋ ₅₅	702	Wang2006a, 4	moon	ɲi24uaŋ55	ɲ i ₂₄ u a ŋ ₅₅
5991	oŋ₂₂	o ŋ ₂₂	178	Wang2006a, 1370	drink	(oŋ22)	o ŋ ₂₂
5622	t͡ɕɛ₂₄	t͡ɕ ɛ ₂₄	279	Wang2006a, 1274	to drop	tɕɛ24	t͡ɕ ɛ ₂₄
