ID	DOCULECT	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	HANZI
2539	Japhug	the egg	tɤ-ŋgɯm	t ɤ ◦ ŋg ɯ m			鸡蛋	1583	卵
2592	Japhug	eight	kɯrcat	k ɯ r c a t				1588	
2629	Khaling	the eye	mʌs	m ʌ s			眼睛	1591	目
2630	Limbu	the eye	mik	m i k			眼睛	1591	目
2645	Japhug	the eye	tɯ-mɲaʁ	t ɯ ◦ m ɲ a ʁ			眼睛	1591	目
2751	Japhug	far	arqʰi	a r qʰ i			元	1604	
2857	Japhug	the father	tɤ-wa	t ɤ ◦ w a			父亲	1608	
2947	Khaling	the feather	phʌsʌlʌm	pʰ ʌ s ʌ l ʌ m			羽毛	1622	羽
2948	Limbu	the feather	murik	m u r i k			羽毛	1623	羽
2963	Japhug	the feather	tɤ-muj	t ɤ ◦ m u j			羽毛	1621	羽
3122	Japhug	to fight	alɯlɤt	a l ɯ l ɤ t			打架	1627	
3159	Khaling	the fire	mi	m i			火	1639	火
3160	Limbu	the fire	mi	m i			火	1639	火
3175	Japhug	the fire	smi	s m i			火	1639	火
3212	Khaling	the fish	ŋɵ	ŋ ɵ			鱼	1646	魚
3213	Limbu	the fish	ŋ a	ŋ a			鱼	1646	魚
3228	Japhug	the fish	qaɟy	q a ɟ y			鱼	1644	魚
3281	Japhug	five	kɯmŋu	k ɯ m ŋ u			五	1647	
3334	Japhug	to float	ndʑaʁ	ndʑ a ʁ			漂浮	1650	
3387	Japhug	to flow	jit	j i t			流	1664	
3440	Japhug	the flower	mɯntoʁ	m ɯ n t o ʁ		tib[me.tog]	花	1672	
3477	Khaling	to fly (move through air)	bher-	bʰ e r ◦			飞	1678	飛
3478	Limbu	to fly (move through air)	pɛ:r-	p ɛ: r ◦			飞	1678	飛
3493	Japhug	to fly (move through air)	nɯqambɯmbjom	n ɯ q a mb ɯ mb j o m			飞	1679	飛
3546	Japhug	the fog	zdɯm	z d ɯ m			雾	1682	
3583	Khaling	the foot	sɛ̂l	s ɛ̂ l			脚	1698	足
3584	Limbu	the foot	laŋ	l a ŋ			脚	1699	足
3599	Japhug	the foot	tɯ-mi	t ɯ ◦ m i			脚	1696	足
3652	Japhug	the forest	sɯŋgɯ	s ɯ ŋ g ɯ			森林	1706	
3705	Japhug	four	kɯβde	k ɯ β d e			四	1712	
3811	Japhug	the fruit	sɯmat	s ɯ m a t			水果	1719	
3848	Khaling	full	sop-	s o p ◦			满	1731	滿
3849	Limbu	full	tims-	t i ms ◦			满	1735	滿
3864	Japhug	full	mtsʰɤt	m tsʰ ɤ t			满	1734	滿
3901	Khaling	to give	bi-	b i ◦			给	1738	畀
3902	Limbu	to give	pi-	p i ◦			给	1738	畀
3917	Japhug	to give	mbi	m b i			给	1738	畀
3954	Khaling	good	nʉ-	n ʉ ◦			好	1748	好
3955	Limbu	good	nu:r-	n u: r ◦			好	1748	好
3970	Japhug	good	pe	p e			好	1750	好
4023	Japhug	the grass	xɕaj	x ɕ a j			草	1766	
4060	Khaling	green	gigîm	g i g î m			绿	1786	青
4061	Limbu	green	phiŋ	pʰ i ŋ			绿	1783	青
4076	Japhug	green	arŋi	a r ŋ i			绿	1776	青
4166	Khaling	the hair (of the head)	dhōːsʌm	dʰ ōː s ʌ m			头发	1800	毛
4167	Limbu	the hair (of the head)	murik	m u r i k			头发	1799	毛
4182	Japhug	the hair (of the head)	tɯ-kɤrme	t ɯ k ɤ r m e			头发	1789	毛
4219	Khaling	the hand	khʌ̄r	kʰ ʌ̄ r			手	1805	手
4220	Limbu	the hand	huk	h u k			手	1807	手
4235	Japhug	the hand	tɯ-jaʁ	t ɯ ◦ j a ʁ			手	1802	手
4288	Japhug	he or she [third person singular]	ɯʑo	ɯ ʑ o			他	1817	
4325	Khaling	the head	dhōŋ	dʰ ō ŋ			头	1828	首
4326	Limbu	the head	thɛgek	tʰ ɛ g e k			头	1829	首
4341	Japhug	the head	tɯ-ku	t ɯ ◦ k u			头	1821	首
4378	Khaling	to hear	ŋi-	ŋ i ◦			听见	1837	聞
4379	Limbu	to hear	khɛps-	kʰ ɛ ps ◦			听见	1838	聞
4394	Japhug	to hear	mtsʰɤm	m tsʰ ɤ m			听见	1835	聞
4431	Khaling	the heart	ʦɵ̂ː	ʦ ɵ̂ː			心脏	1853	心
4432	Limbu	the heart	luŋma	l u ŋ m a			心脏	1854	心
4447	Japhug	the heart	tɯ-sni	t ɯ ◦ s n i			心脏	1846	心
4500	Japhug	heavy	rʑi	rʑ i			重	1855	
4553	Japhug	here	kɯre	k ɯ r e			这里	1867	
4606	Japhug	to hide (conceal)	sɤnbaʁ	s ɤ n b a ʁ				1884	
4712	Japhug	to hold	ndo	n d o			拿	1901	
4749	Khaling	the horn (keratinized skin)	ghrʌ̄ŋ	gʰ r ʌ̄ ŋ			角	1905	角
4750	Limbu	the horn (keratinized skin)	taŋ	t a ŋ 			角	1907	角
4765	Japhug	the horn (keratinized skin)	ta-ʁrɯ	t a ◦ ʁ r ɯ			角	1906	角
4818	Japhug	the house	kʰa	kʰ a				1913	
4924	Japhug	hundred	ɣurʑa	ɣ u r ʑ a				3718	
4977	Japhug	to hunt	ɣɤrʁaʁ	ɣ ɤ r ʁ a ʁ			打猎	1929	
5030	Japhug	the husband	tɤ-nmaʁ	t ɤ ◦ n m a ʁ			丈夫	1942	
5067	Khaling	I [first person singular]	ʔûŋ	ʔ u ŋ			我	1955	吾
5068	Limbu	I [first person singular]	iŋga	i ŋ g a			我	1955	吾
5083	Japhug	I [first person singular]	aʑo	a ʑ o			我	1955	吾
5136	Japhug	the ice	tɤ-jpɣom	t ɤ ◦ j p ɣ o m			冰	1956	
5226	Khaling	to kill	set-	s e t ◦			杀	1966	殺
5227	Limbu	to kill	sɛt-	s ɛ t ◦			杀	1966	殺
5242	Japhug	to kill	sat	s a t			杀	1966	殺
5279	Khaling	the knee	tʌ̄mʦu	t ʌ̄ m ʦ u			膝	1974	膝
5280	Limbu	the knee	thuŋbo	tʰ u ŋ b o			膝	1977	膝
5295	Japhug	the knee	tɯ-χpɯm	t ɯ ◦ χ p ɯ m			膝	1972	膝
5332	Khaling	to know (something)	tsikt-	ts i k t ◦			知道	1986	知
5333	Limbu	to know (something)	nis-	n i s ◦			知道	1985	知
5348	Japhug	to know (something)	sɯz	s ɯ z			知道	1981	知
5401	Japhug	the lake	mtsʰu	m tsʰ u		tib[mtsʰo]	湖	1994	
5454	Japhug	to laugh	nɤre	n ɤ r e			笑	2001	
5491	Khaling	the leaf	sāːphʌm	s āː pʰ ʌ m			叶子	2018	葉
5492	Limbu	the leaf	tɛtla	t ɛ t l a			叶子	2017	葉
5507	Japhug	the leaf	tɤ-jwaʁ	t ɤ ◦ j w a ʁ			叶子	2010	葉
5560	Japhug	left	ʁe	ʁ e			左边	2019	
5666	Japhug	to lie down	rŋgɯ	r ŋ g ɯ				2028	
5809	Khaling	the liver	lūm	l ū m			肝	2038	肝
5810	Limbu	the liver	luŋma	l u ŋ m a			肝	2038	肝
5825	Japhug	the liver	tɯ-mtsʰi	t ɯ ◦ m tsʰ i			肝	2040	肝
5862	Khaling	long	sōŋpɛ	s ō ŋ p ɛ			长	2047	長
5863	Limbu	long	kent-	k e n t ◦			长	2046	長
5878	Japhug	long	zri	z r i			长	2043	長
5915	Khaling	the louse	sēr	s ē r			虱子	2054	蝨
5916	Limbu	the louse	siʔ	s i ʔ			虱子	2053	蝨
5931	Japhug	the louse	zrɯɣ	z r ɯ ɣ			虱子	2053	蝨
6021	Khaling	the man (male human)	lɛsbɛ	l ɛ s b ɛ			男人	2062	男
6022	Limbu	the man (male human)	yɛmbitcha	j ɛ m b i tcʰ a			男人	2066	男
6037	Japhug	the man (male human)	tɤ-tɕɯ	t ɤ ◦ tɕ ɯ			男人	2065	男
6074	Khaling	many	ghole	gh o l e			多	2073	多
6075	Limbu	many	sidɔt	s i d ɔ t			多	2081	多
6090	Japhug	many	xcat	x c a t			多	2083	多
6127	Khaling	the meat	sɵ̂ː	s ɵ̂ː			肉	2084	肌
6128	Limbu	the meat	sa	s a			肉	2084	肌
6143	Japhug	the meat	tɤ-mthɯm	t ɤ ◦ m tʰ ɯ m			肉	2086	肌
6180	Khaling	the moon	lɵ	l ɵ			月亮	2091	月
6181	Limbu	the moon	laba	l a b a			月亮	2091	月
6196	Japhug	the moon	tɯ-sla	t ɯ ◦ s l a			月亮	2091	月
6249	Japhug	the mosquito	ʁmɤrɲɯɣ	ʁ m ɤ r ɲ ɯ ɣ				2103	
6302	Japhug	the mother	tɤ-mu	t ɤ ◦ m u			母亲	2110	
6339	Khaling	the mountain	ʣhes	ʣʰ e s			山	2131	山
6340	Limbu	the mountain	tɔksɔŋ	t ɔ k s ɔ ŋ			山	2127	山
6355	Japhug	the mountain	zgo	z g o		Tibetan[sgaŋ]	山	2119	山
6392	Khaling	the mouth	koɔ̄m	k o ɔ̄ m			嘴	2141	口
6393	Limbu	the mouth	mura	m u r a			嘴	2143	口
6408	Japhug	the mouth	tɯ-kɯr	t ɯ ◦ k ɯ r			嘴	2139	口
6445	Khaling	the nail (fingernail or claw)	sēndʉ	s ē n d ʉ			爪子	2146	爪
6446	Limbu	the nail (fingernail or claw)	sendi	s e n d i			爪子	2146	爪
6461	Japhug	the nail (fingernail or claw)	tɯ-ndzrɯ	t ɯ ◦ ndz r ɯ			爪子	2147	爪
6498	Khaling	the name	nʌ̄ŋ	n ʌ̄ ŋ			名字	2156	名
6499	Limbu	the name	miŋ	m i ŋ			名字	2156	名
6514	Japhug	the name	tɤ-rmi	t ɤ ◦ r m i			名字	2156	名
6567	Japhug	narrow	tɕɤr	tɕ ɤ r			窄	2165	
6620	Japhug	near	armbat	a r mb a t			近	2172	
6657	Khaling	the neck	takʦhu	t a k ʦʰ u			脖子	2185	頸
6658	Limbu	the neck	sitla	s i t l a			脖子	2184	頸
6673	Japhug	the neck	tɯ-mke	t ɯ ◦ m k e			脖子	2176	頸
6726	Japhug	the needle (for sewing)	taqaβ	t a q a β				2186	
6763	Khaling	new	nin	n i n			新	2195	新
6764	Limbu	new	sɔŋ	s ɔ ŋ			新	2192	新
6779	Japhug	new	ɕɤɣ	ɕ ɤ ɣ			新	2192	新
6885	Japhug	nine	kɯngɯt	k ɯ n g ɯ t				2199	
6922	Khaling	the nose	nɵ	n ɵ			鼻子	2205	鼻
6923	Limbu	the nose	nɛbo	n ɛ b o			鼻子	2205	鼻
6938	Japhug	the nose	tɯ-ɕna	t ɯ ◦ ɕ n a			鼻子	2205	鼻
7044	Japhug	old (of person)	rgɤz	r g ɤ z		tib[rgas]	老	2208	
7081	Khaling	one	tûːbʌ	t ûː b ʌ			一	2220	一
7082	Limbu	one	thik	tʰ i k			一	2220	一
7097	Japhug	one	ci	c i			一	3776	一
7362	Japhug	to plant (vegetals, rice)	ji	j i				2225	
7415	Japhug	to play	anɯɣro	a n ɯ ɣ r o			玩	2232	
7468	Japhug	to pull	rɤɕi	r ɤ ɕ i			拉	2247	
7521	Japhug	to push	sthoʁ	s tʰ o ʁ			推	2269	
7558	Khaling	the rain	wɵ	w ɵ			雨	2270	人
7574	Japhug	the rain	tɯmɯ	t ɯ m ɯ			雨	2271	人
7627	Japhug	the mouse or rat	βʑɯ	β ʑ ɯ				2276	
7664	Khaling	red	ɦalalâm	ɦ a l a l â m			红	2295	赤
7665	Limbu	red	hɛt	h ɛ t			红	2291	赤
7680	Japhug	red	ɣɯrni	ɣ ɯ r n i			红	2288	赤
7733	Japhug	to reside (live)	rɤʑi	r ɤ ʑ i				2308	
7786	Japhug	right	χcʰa	χ cʰ a			右边	2318	
7839	Japhug	the river	smar	s m a r			江	2328	
7876	Khaling	the road	lɛ̄m	l ɛ̄ m			路	2337	路
7877	Limbu	the road	lam	l a m			路	2337	路
7892	Japhug	the road	tʂu	tʂ u			路	2338	路
7982	Khaling	the root	sɛ̄m	s ɛ̄ m			根	2344	根
7983	Limbu	the root	sa:p	s a: p			根	2344	根
7998	Japhug	the root	tɤ-zrɤm	t ɤ ◦ z r ɤ m			根	2344	根
8051	Japhug	the rope	tɯmbri	t ɯ m b r i			绳子	2357	
8141	Khaling	round	khʌkhʌrmîm	kʰ ʌ kʰ ʌ r m î m			圆	2376	圓
8142	Limbu	round	kugɔp	k u g ɔ p			圆	2377	圓
8157	Japhug	round	artɯm	a r t ɯ m			圆	2374	圓
8263	Japhug	the salt	tsʰa	tsʰ a		tib[tsʰa]	盐	2382	
8300	Khaling	the sand	sekhre	s e kʰ r e			沙子	2391	沙
8316	Japhug	the sand	qambɯt	q a m b ɯ t			沙子	2393	沙
8422	Japhug	to scratch	rɤβraʁ	r ɤ β r a ʁ			抓	2405	
8459	Khaling	to see	thɵ-	tʰ ɵ ◦			看见	2414	睹
8460	Limbu	to see	nis-	n i s ◦			看见	2413	睹
8475	Japhug	to see	mto	m t o			看见	2408	睹
8512	Khaling	the seed	rāːru	r āː r u			种子	2426	種
8513	Limbu	the seed	se	s e			种子	2424	種
8528	Japhug	the seed	tɯ-rɣi	t ɯ ◦ r ɣ i			种子	3733	種
8581	Japhug	seven	kɯɕnɯz	k ɯ ɕ n ɯ z				2427	
8687	Japhug	sharp	mtɕoʁ	m tɕ o ʁ			锋利	2437	
8740	Japhug	to shoot (an arrow)	tɯdi lɤt	t ɯ d i l ɤ t				2443	
8793	Japhug	short	xtɯt	x t ɯ t			短	2450	
8846	Japhug	the shoulder	tɯ-rpaʁ	t ɯ ◦ r p a ʁ				2473	
8899	Japhug	shy	nɤzraʁ	n ɤ z r a ʁ				2478	
9005	Japhug	to sing	nɯrɤɣo	n ɯ r ɤ ɣ o			唱	2491	
9111	Japhug	six	kɯtʂɤɣ	k ɯ tʂ ɤ ɣ				2497	
9148	Khaling	the skin	sʌkʌ	s ʌ k ʌ			皮肤	2506	皮
9149	Limbu	the skin	horik	h o r i k			皮肤	2505	皮
9164	Japhug	the skin	tɯ-ndʐi	t ɯ ◦ ndʐ i			皮肤	2498	皮
9217	Japhug	the sky	tɯmɯ	t ɯ m ɯ			天空	2511	
9254	Khaling	to sleep	ʔip-si-	ʔ i p ◦ s i ◦			睡	2514	寢
9255	Limbu	to sleep	ips-	i ps ◦			睡	2514	寢
9270	Japhug	to sleep	nɯʑɯβ	n ɯ ʑ ɯ β			睡	2514	寢
9307	Khaling	small	jakki	j a k k i			小	2532	小
9308	Limbu	small	cu:kt-	c u: k t ◦			小	2527	小
9323	Japhug	small	xtɕi	x tɕ i			小	2522	小
9376	Japhug	to smell (perceive odor) [transitive]	nɤmnɤm	n ɤ m n ɤ m			闻	2533	
9413	Khaling	the smoke	mikmɵ	m i k m ɵ			烟	2539	煙
9414	Limbu	the smoke	mi:kkhu	m i: k kʰ u			烟	3802	煙
9429	Japhug	the smoke	tɤkʰɯ	t ɤ kʰ ɯ			烟	3802	煙
9482	Japhug	smooth	mpɕu	m p ɕ u			平	2551	
9535	Japhug	the snake	qapri	q a p r i			蛇	2553	
9588	Japhug	the snow	tɤjpa	t ɤ j p a			雪	2560	
9694	Japhug	the spider	ɴɢoɕna	ɴɢ o ɕ n a				2578	
9747	Japhug	to spit	mciphɯt (lɤt)	m c i pʰ ɯ t _ l ɤ t )			吐	2589	
9943	Khaling	to stand	rep	r e p			站	2597	立
9959	Japhug	to stand	ndzur	ndz u r			站	2600	立
9996	Khaling	the star	sāŋgʌr	s ā ŋ g ʌ r			星星	2605	星
9997	Limbu	the star	khɛmsikpa	kʰ ɛ m s i k p a			星星	2609	星
10012	Japhug	the star	ʑŋgri	ʑ ŋg r i			星星	2606	星
10065	Japhug	to steal	mɯrkɯ	m ɯ r k ɯ				2611	
10118	Japhug	the stick	tɤɲi	t ɤ ɲ i			棍子	2627	
10155	Khaling	the stone (a piece of)	lūŋ	l ū ŋ			石头	3739	石
10156	Limbu	the stone (a piece of)	luŋ	l u ŋ			石头	3739	石
10171	Japhug	the stone (a piece of)	rdɤstaʁ	r d ɤ s t a ʁ		tib[rdo]	石头	2631	石
10224	Japhug	straight	astu	a s t u			直	2642	
10277	Japhug	to lick	nɯntsɯɣ	n ɯ n ts ɯ ɣ			吮	2657	
10314	Khaling	the sun	noɔ̄m	n oɔ̄ m			太阳	2663	日
10315	Limbu	the sun	nam	n a m			太阳	2663	日
10330	Japhug	the sun	ʁmbɣi	ʁ mb ɣ i			太阳	2661	日
10473	Khaling	the tail	mêr	m ê r			尾巴	3747	尾
10474	Limbu	the tail	mi²	m i ²			尾巴	2672	尾
10489	Japhug	the tail	tɤ-jme	t ɤ ◦ j m e			尾巴	2672	尾
10542	Japhug	ten	sqi	s q i				2677	
10579	Khaling	that	mɛ	m ɛ			那	2696	彼
10580	Limbu	that	khɔ	kʰ ɔ			那	2686	彼
10595	Japhug	that	nɯ	n ɯ			那	2687	彼
10648	Japhug	there	nɯreri	n ɯ r e r i			那儿	2711	
10754	Japhug	thick	jaʁ	j a ʁ			厚	2713	
10807	Japhug	thin (object)	mba	mb a			薄	2722	
10860	Japhug	to think (reflect)	sɯso	s ɯ s o			想	2744	
10897	Khaling	this	tɛ	t ɛ			这	2750	是
10898	Limbu	this	ɛn	ɛ n			这	2755	是
10913	Japhug	this	ki	k i			这	2756	是
10950	Khaling	thou [second person singular]	ʔīn	ʔ ī n			你	2759	汝
10951	Limbu	thou [second person singular]	khɛnɛ	kʰ ɛ n ɛ			你	2759	汝
10966	Japhug	thou [second person singular]	nɤʑo	n ɤ ʑ o			你	2759	汝
11019	Japhug	three	χsɯm	χ s ɯ m		tib[gsum]	三	2762	
11072	Japhug	to throw	ɣɤrɤt	ɣ ɤ r ɤ t			扔	2771	
11125	Japhug	the thunder	tʰoʁ	tʰ o ʁ		tib[tʰog]		2787	
11215	Khaling	the tongue	lēm	l ē m			舌头	2798	舌
11216	Limbu	the tongue	lɛsot	l ɛ s o t			舌头	2794	舌
11231	Japhug	the tongue	tɯ-mdʑu	t ɯ ◦ m dʑ u			舌头	2791	舌
11268	Khaling	the tooth (front)	ŋʌlu	ŋ ʌ l u			牙齿	2804	牙
11269	Limbu	the tooth (front)	hebu	h e b u			牙齿	2805	牙
11284	Japhug	the tooth (front)	tɯ-ɕɣa	t ɯ ◦ ɕ ɣ a			牙齿	2800	牙
11321	Khaling	the tree	sʌ̄ŋ	s ʌ̄ ŋ			树	2806	木
11322	Limbu	the tree	siŋbuŋ	s i ŋ b u ŋ			树	2806	木
11337	Japhug	the tree	si	s i			树	2806	木
11443	Japhug	twenty	ɣnɤsqi	ɣ n ɤ s q i				2812	
11480	Khaling	two	sakpu	s a k p u			二	2819	二
11481	Limbu	two	ni	n i			二	2816	二
11496	Japhug	two	ʁnɯz	ʁ n ɯ z			二	2816	二
11549	Japhug	to vomit	mɯjphɤt	m ɯ j pʰ ɤ t			呕吐	2820	
11586	Khaling	to walk	lɛm-thi-	l ɛ m ◦ tʰ i ◦			走	2839	行
11587	Limbu	to walk	laŋ-ghek-	l a ŋ ◦ gʰ e k ◦			走	2840	行
11602	Japhug	to walk	ŋke	ŋ k e			走	2836	行
11745	Khaling	the water	ku	k u			水	2850	水
11746	Limbu	the water	cowat	c o w a t			水	2849	水
11761	Japhug	the water	tɯ-ci	t ɯ ◦ c i			水	2844	水
11798	Khaling	we [first person plural inclusive]	ʔik	ʔ i k			我们	2860	我
11799	Limbu	we [first person plural inclusive]	ani	a n i			我们	2857	我
11814	Japhug	we [first person plural inclusive]	iʑo	i ʑ o			我们	2860	我
11867	Japhug	wet	aci	a c i			湿	2872	
11904	Khaling	what	mâŋ	m â ŋ			设么	2885	何
11905	Limbu	what	the	tʰ e			设么	2876	何
11920	Japhug	what	tɕʰi	tɕʰ i		tib[tɕʰi]	设么	2876	何
12026	Japhug	where	ŋotɕu	ŋ o tɕ u			哪里	2903	
12063	Khaling	white	bubûm	b u b û m			白	2911	白
12064	Limbu	white	phɔ	pʰ ɔ			白	2910	白
12079	Japhug	white	wɣrum	w ɣ r u m			白	2907	白
12116	Khaling	who	sʉ̂ː	s ʉ̂ː			谁	2915	孰
12117	Limbu	who	ha:t	h aː t			谁	2920	孰
12132	Japhug	who	ɕɯ	ɕ ɯ			谁	2915	孰
12238	Japhug	the wife	tɤ-rʑaβ	t ɤ ◦ r ʑ a β			妻子	2935	
12291	Japhug	the wind	qale	q a l e			风	2942	
12344	Japhug	the wing	ɯ-ʁar	ɯ ◦ ʁ a r			翅膀	2963	
12381	Khaling	the woman	melsêm	m e l s ê m			女人	2964	女
12382	Limbu	the woman	mɛnchuma	m ɛ n cʰ u m a			女人	2964	女
12397	Japhug	the woman	tɕheme	tɕʰ e m e			女人	2964	女
12450	Japhug	the wood (material)	si	s i				2974	
12662	Japhug	the year	tɯ-xpa	t ɯ ◦ x p a			年	2993	
12699	Khaling	yellow	ʔɵʔɵ̂m	ʔ ɵ ʔ ɵ̂ m			黄	3002	黃
12700	Limbu	yellow	hi:k	h iː k			黄	3003	黃
12715	Japhug	yellow	qarŋe	q a r ŋ e			黄	2997	黃
12768	Japhug	you [second person plural]	nɤʑo	n ɤ ʑ o				3007	
14852	Tibetan_Written	the sky	gnam	g n a m				2512	
14853	Tibetan_Written	the sky	nam mkhaɦ	n a m _ m kh a ɦ	!			2512	
14854	Tibetan_Written	the sun	ȵi ma	ȵ i _ m a				2660	
14855	Tibetan_Written	the moon	zla ba	z l a _ b a				2091	
14856	Tibetan_Written	the star	skar ma	s k a r _ m a	!			2605	
14857	Tibetan_Written	the cloud	sprin	s p r i n	!			1437	
14858	Tibetan_Written	the thunder	ɦbrug	ɦ b r u g	!			2777	
14860	Tibetan_Written	the wind	lhags pa	lh a g s _ p a				2952	
14861	Tibetan_Written	the rain	tɕhar pa	tɕh a r _ p a				2272	
14862	Tibetan_Written	the rainbow	ɦdʑaɦ	ɦ dʑ a ɦ	!			3013	
14864	Tibetan_Written	the snow	gaŋs	g a ŋ s	!			2566	
14865	Tibetan_Written	the hail	ser ba	s e r _ b a				3023	
14866	Tibetan_Written	the frost	ba mo	b a _ m o				3035	
14867	Tibetan_Written	the dew	zil pa	z i l _ p a				3055	
14868	Tibetan_Written	the fog	smug pa	s m u g _ p a				1686	
14869	Tibetan_Written	the fog	na bun	n a _ b u n				1685	
