ID	LANGUAGE	GLOSS	IPA	SEGMENTS	SOURCE	A	U	PS	PD	UE	EC	RF	XV	XE	NG	NP	NS	AME	NT	SO	DT	ANALIMAŊ	OULDN'T	AŊTɕEN	OɕMEITIK	ERY	SN	IKKA	STIK		ITTLE	IKI	HARGAN	OUNGEST	ND	AKMA	AZA.	INZA.	SED	CONV22ː1424)	APDZA.	OɕMEI	ETE	HILDREN	APɕET.	EPHEWS	ROTHER	AR	I.	JARGA	APɕI	TO	HE	AVE	ESTOK	ESLANDOK	09)	ALLEY	OUSES.	983ː	RAK(S)KATA.	IDZI	WOHNEN,	SʰAŊTSʰAŊI	RASɕUM.	OɕAK.	RELMEN.	RITɕEK.	WANTSʰA.	ROɕA	RE	ROɕAK.	ACHOTHER.	BROŊSKATA)	ROŊMENǃ	XCAVATE"	OT	HASHUR	?)	OSLASSEN"	HILDRENǃ	UTMEN.	P)	ATER.	AUT	EBRÄUCHLICH!	KʰARMASTOK"	OSE"	OLD	SMALL"	BEDEUTUNG	IELD-WORKER,	OTS	INTERTIME	O	SCAPE"	UREK	AS	EREMONIEN	ERKÖRPERN	ORMANT	TYMOLOGICALLY	ORD	EFORE.	IGHT	GYADUNG".	OUTSʰA.	HROWN	ISTAKE)	321:200)	N	RAIN	D	RUɕI	ORKING.	OING	OKNAŊ	:64)	FLEXIBEL"	EŊDʑI.	OL1ː28	AT	ERAǃ	AːSTOKǃ	PPROPRIATE	ENʑI.	NUR	RAŊDʑOK.	ʰITɕI	EMAŊ	DUNG	Aː.	NSINCERELY.	KURIMTIK	PERFORM	FINGER)NAGEL,	ER	ZIŊTɕUM	ALDOK	ʰATɕIK	OI,	RUNKEN	OUGHT	3:	HNE	ZOMRAŊS	JADZALA,	KʰAƮːAː	ɕʰA	AL	ʰJAMEN	OME,	OGETHER,	THER	..	TOGETHER).	ZOT.	ZUƮʰU	JADZALA	AD	ʰADʑA	IGHT).	EACHING.	CCUSTOMATED"	Iː.	UNCH	STYLE,	REMATION	A.	VERY	ʰUPTɕARE.	ʑUŊDOK	HERE	E	ʑWALTDʑI.	QUALLY.	EUTET	ONASTERY?	BERPRÜFEN!	UNCTION	ONASTERY..	ITTING	JANA	ZHANGZHUNG	OR	OETISCHE	OOD	CCASION	GOISTIC,	ENAK	ARDAŊDOK	ʰIPɕA,	GOMPA]	OOLISHNESS,	IELD.	FFECTIONATELY.	UARRELING.	IKE	AT)	STRAY"	JOTPA	T.	PO	TD	ORM	AGARE.	OK	OME	OTI	WAŊDʑI	ENAK.	HEY	ROWN	ANT	OMAǃ	UDDHAǃ	HOUGHTS	Y	W	LACE"	E.	5.29)	OY'S	ʰUPTɕI	OW.	USAMMEKOMMEN"	ANEINANDER	EAS.	PLUCKING)	64)	ERE	ESTERN	SAID	ROM	NDERSTAND.	Aː	OOD,	FF,	ELTɕEK.	ELGATA.	ELMEN.	ELTɕARE.	ɕʰOTDʑI	PPROVAL	IRECTLY	ANTɕEK.	RUCK.	ERSON	EARS	ESAR).	IKTɕIPAHENʑI.	TRIKE"	APTɕEK.	INDZA.	2.2.588)	LET	ESTERDAY,	IT)	ʰOKDZA.	ARKNESS).	EEN	ARKNESS	AMEN	OOD.	LTE.	EGETABLES.	ʰURTɕARE.	EALIZED	EALIZING	OTSA.	HINGS)"	V'S).	MMEDIATELY.	WAŊDE	ROUGHT	AMEN.	TD)	SUKƮʰU)	ALF	RADITIONAL	LACKSMITH	XPECTED	ONGS	ENDʑI.	ONK	ASHING	INʑET.	UNS	EED	TL	ESSENGER	OMPA.	EMEDʑOK	IED,	NA	NQ	ITH	EARS)	EAR	BARK",	NARR.	ʰADZU	ʑAŊDʑUŊKI	ONƮʰEK.	E)	HANGZHUNG.	OOR)	AY	HEN	WAK.	AGEK.	ILLAR.	AɕIROK	OPE	UF	SHA)	ʰARTɕAŊ	OƮAL	OTTLES.	OULD	ʰARTSA.	ʰETTɕARE.	ʰETTɕEK.	OGETHER"	WEEP	FOREARM"	ʰA	OWN?ǃ	JORGAːSTOK	IRCLE	WAIST'	I:.	RIVEN	ʰUKSA	OUND	AKʰUKSA.	LS	ALLENDER	CHONGS	GAINST"	ANTSUKTIK	AKSɕI	HICH	AMɕIPAHENDʑI.	CCEPT"	ANG,	ANGS,	HARACTERISTIC	UZA.	ONAM	CHLECHT"	CCORDING	BALKENREITER"?	TB	L	G	AMA	ALJOSH	ONASTERY	ORK	EEING	NOWING	ORKING	IKMEN.	ESTERDAY.	USGESPROCHEN,	A-HA-TA-LHA	UDRASAI	AJMDOK	MAŊǃ	OŊʑARE.	OMITING.	CAUSE	OTTɕEK.	IKTɕUMʑI.	WATMENLA?	ONEY?	WASDZA.	WASDʑIǃ	ŊGI	ATTɕʰI,	MABAT]	ZATɕʰI	AKING	EOPLE	EOPLE,	068)	RANGTSE)	REATHY	LD	2.2.247	EANS	WAŊTSʰA.	USA.	I)	ERVOUS,	IRECT"	Z	ENAŊ	HAN	ENDURE,	ONTɕOKTOK	OTKJATANAǃ	EFINITELY	WAŊTɕʰI	HEAVEN-STONE"	ANTSʰA.	ONTROL	RETTAK.	E,	93)	EME	I	OMPA)	I'M	OMPA)).	ORDʑE	SHERING	NƏY	ʰALAK	SOKSE	ECAUSE	UBUɕATIK	ORTɕI	INCHEN	LEAN).	ANTɕA	F	EE	OBILE	AːTALA?	CCEPTANCE	B	EXPERIENCE,	BREATHE,	LIPAHENTɕʰOK.	VENING.	MTɕA	ORNING	OWN	IELD	00)	ISTOK	IVERBANK	ZUKTSA.	22)	HEAP	ZIK	HEEP.	OVE	ADAKSTSUK	ADAKH.	ʰANDZA.	URED	ŊLIɕDOK	ROFIT	THROW,	SAPɕI	PIERCE,	EN?	TYMON	AFTERNOON")	OILET	MURMELTIER"	ʰJARTɕEK.	ARRIED.	ʰOKTSA.	UɕAROK	OWN)	OILETS	RANSFER"	UT	SAMPA	EMOVED.	ʰRALTSʰA.	66)	OOF.	SUNATIK	AKE	ʰULMEN.	INCLUDING	ʰAKʰA	CONV22:889)	IVER.	ʰAMZAŊ	IKZA.	ORJE	IRECT	NDZI.	ANCE	UPɕI	NOT:	LOUGH).	MOKE	ʰIRDZA.	HERE)	UTɕA	IM.	USAMMENHANG	RANKHEITSBEZEICHNUNGEN	ONE?"	ULDZANAŊ	OAD).	Iː	ʑOTTɕI	1S	2S	3S	1P	2P	3P	TSI)	AKTAK.	ARKA	ARKIERUNG"	IKKI	LACE	ARURI	ERE!	ARE.	ARGER	BUTTOCKS'	ɕAɕDZA.	UNWAHRSCHEINLICHː	EDEUTUNG	NTERESSANT!	THER)	ALDZI	ECRET	MGANGSSPRACHLICHER	ɕOKDʑI	ɕOKKUDZA.	COVER"	ROPOSAL.	ROBLEMS	ICHTǃ	JENMOI	IFE.	IFFICULT	ʰIRTAK	AVING	IRED"	MERICAS	ɕʰILMEN.	ɕʰOKKARE.	ɕʰOK?	ROUND	REPARED,	EMPLATE	IVE"	ʰULTɕʰA.	OMETHING	ʰADZU.	EPDʑI	EIPA	OMORROW.	ʑOTCA	LESSING	ʰONDZA.	IPSA.	IPMEN.	AM	OMEN.	OKDZA.	ORBU.	ATTOK	TTACH"	AKEN	WAY	AUSE"	IECES,	INDEUTIG	AT-DIALEKTEN	EAR,	RU(S)KATA.	SAKDʑI	PA.	FT	OOKED	CARPENTER)	HOP,	OTTLES	UT,	OINTED"	TILL	NOW	ONAM)	ORBU)	IKKIDZA.	SʰAŊTɕEK.	SʰAPSTOK	JADʑI	IED	ʰADZUI	ERVOUS"	XPRESSING	HOS	ʰULTɕA.	SHOGS.	EN.	EFT).	SʰWASKATA.	AMPO).	A	SYWAR	TC.	ASSER	ONDERN	ENMEN	ARTHQUAKE.	WAKʰEK.	WAː	ONEY)	WANMEN.	WANZA.	ENTENCE	NTENTIONAL	ʰAKMEN.	ʰAMATʰOME	ERSON.	ʰAŊCARE.	ʰAŊMENLA?	ʰAŊTAK.	ʰAŊMEN.	AWA	RAŊMAŊ,	RAŊMAŊ	ʰADZUTSʰI	JOKPATSUK	ALTSʰI	INANIS,	ELL,	5ː166)	LIEING)	INE)ǃ	APPROPRIATE	IS	OU	ʰIRGUZA.	ʰIRMEN.	OOK.	ROPING	ʰONMEN.	OOM).	INZA,	ʰUKKIZA.	UDDENLY	GREED.	LET.	AUGHTER.	RROGANT	ʰAKLUŊ	ʰOTKJARE.	ATERIAL	DAN	WOOLEN	OTNAŊRE,	CHIEVE"	ʰUPɕUM	ʰUPKATALA	ANNOT	IBTEAN	CCURRING	YANGSI
355	Bunan	bolt, bar	dir	d i r	Widmer2014			n			-				MS					AB / TD	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
356	Bunan	thunder	dirt	d i r t	Widmer2014			v	-de		WT ldir		bruk dirtdza.	It was thundering.	ncA					TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
357	Bunan	season, period	djara	d j a r a	Widmer2014			n			P		luŋgi djara	autumn days						AB / TD	04/Nov/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
358	Bunan	two days ago	djwak	d j w a k	Widmer2014			adv (time)			WT -					breathy voice				TL / AB	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
359	Bunan	colour	dok	d o k	Widmer2014			n			WT mdog				MS					TD	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
360	Bunan	become succesful, become healthy	dok waŋs	dok waŋs	Widmer2014			v	-de		WT mdog "colour, appearance"				cA					TD / SA	08/Aug/2016																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
361	Bunan	weak	dokmet	d o k m e t	Widmer2014			adj			WT mdog med									TDrol / TD	11/Mar/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
362	Bunan	handle (of agricultural instruments)	doktsi	d o k ts i	Widmer2014			n			-									TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
363	Bunan	drum	dolam	d o l a m	Widmer2014			n		traditional double drum	-									AB	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
364	Bunan	hemis frickle (twin drum)	dolama	d o l a m a	Widmer2014			n			-									TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
365	Bunan	oval metal bowl	dole	d o l e	Widmer2014			n		made of iron	-									ZC	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
366	Bunan	be torn, be pierced	dolt	d o l t	Widmer2014			v	-de / -ɕa		WT rdol		lak doltɕi.	The skin on my hand is torn.	ncA					DP / TD	09/Apr/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
367	Bunan	bear	dom	d o m	Widmer2014			n		black bear	WT dom				MS					ZC	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
368	Bunan	be busy	dom	d o m	Widmer2014			v	-ɕa		WT 'dom		sonam domɕdʑi niː.	Sonam is busy.	cA					SA	09/Mar/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
369	Bunan	eat (h)	don	d o n	Widmer2014	[døn]		v (h)	-de		WT 'don		meme saŋma donɟare.	The monk is eating the food.	cEA					AB	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
370	Bunan	skills of managing	dontʰak	d o n tʰ a k	Widmer2014			n			-						used by old people			TL	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
371	Bunan	Let's goǃ	doŋ	d o ŋ	Widmer2014			part			WT 'dong (WAT)									NN 25ː 513	24/Jul/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
372	Bunan	log	doŋbo	d o ŋ b o	Widmer2014			n			WT sdong po									TD	03/Feb/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
373	Bunan	churn	doŋmo	d o ŋ m o	Widmer2014			n			WT mdong mo ~ ldong mo									AB / TD	21/Feb/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
374	Bunan	plain, pure, uncooked	dopna	d o p n a	Widmer2014			adj			-									TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
375	Bunan	slaughter	dor lik	dor lik	Widmer2014			v	-tɕa		-		tal dor liktɕare.	He is slaughtering.	cEA					AB	14/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
376	Bunan	slaughterer	dor liktɕipa	dor liktɕipa	Widmer2014			n			-									AB	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
377	Bunan	free, for free	dorok	d o r o k	Widmer2014			adj			-		ɟi dorok ɲa.	I am free. ("I have time")						TL / SZ	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
378	Bunan	at the side of	dorok	d o r o k	Widmer2014			postp			WT mdo "side"		cumgi dorok	at the side of the house						SZ	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
379	Bunan	meet, touch	dot	d o t	Widmer2014			v	-de		-	Jk. dodmen	otɕi dotcʰek.	See you tomorrow.	cAD					ZC	18/Jul/2014					expensive by mistake)																																																																																																			when touching something																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
380	Bunan	be torn	dralt	d r a l t	Widmer2014			v	-de		WT *dral "to come open, to get torn"		ɟiː berbu draltsa.	My trousers were torn up.	ncA					AB / PS	07/Apr/2014									otherwise WT ral																																																																																																	Tshangla, Kyirong und Bathangǃ)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
381	Bunan	miss	dran	d r a n	Widmer2014			v	-tɕa		WT dran "to think of, to long for"		gidzi bete dranmen	I missed my children.	cEA					TD	14/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
382	Bunan	feeling of missing somebody	drandʑis	d r a n dʑ i s	Widmer2014			n			WT dran "to miss"		drandʑis ramen de	We will miss him. (Conv25ː493)						SA	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
383	Bunan	chase away	dras	d r a s	Widmer2014			v	-tɕa		-		ɟizi ɲiskiŋ cʰu tsʰastoktɕi	I chased two dogs out of the garden.	cEA					TD	25/Mar/2014																																																																																																												drasmen.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
384	Bunan	roll out	dril	d r i l	Widmer2014			v	-tɕa		WT 'dril "to roll down"		tʰe kali pril tʰirǃ	Roll out this carpetǃ	cEA					AB / Sharab / TD	09/Apr/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
385	Bunan	bell (used for rituals)	drilu	d r i l u	Widmer2014	ɖilu		n			WT dril bu									Dhar	07/Aug/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
386	Bunan	cloud, fog	du	d u	Widmer2014			n			ZZ du				MS					TG 40ː 4 / TL 14: 811 / ZC	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
387	Bunan	collect, gather	du	d u	Widmer2014			v	-tɕa		WT 'du		ja hiŋtsʰi sampa dumen.	Yesterday we collected the crops.	cEA					AB	16/Jan/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
388	Bunan	front leg (of animals)	dubaŋ	d u b a ŋ	Widmer2014			n			-									TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
389	Bunan	poison	duk	d u k	Widmer2014			n			WT dug		han maraŋ ɟi duk zate.	If you don't come, I will eat poison.	MS					AB / TD	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
390	Bunan	touch, put together	duk	d u k	Widmer2014			v	-tɕa		WT thug "touch, meet"		taldok tʰa dukǃ	Don't touch himǃ	cEA					AB	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
391	Bunan	traditional dress of women	dukpo	d u k p o	Widmer2014			n			WT dug po									ZC	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
392	Bunan	small pieces	dumbu	d u m b u	Widmer2014			n		e.g. for small flinders	WT dum bu									Sharab	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
393	Bunan	seven	dun	d u n	Widmer2014			num (T)			WT bdun									AB	25/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
394	Bunan	seventy	duntɕu	d u n tɕ u	Widmer2014			num (T)			WT bdun cu		duntɕudontɕik	seventy-one						AB	20/Jun/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
395	Bunan	small bowl used for ceremonies	duntsar	d u n ts a r	Widmer2014			n		filled with water	-									ZC / AB	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
396	Bunan	week	dunʈʰak	d u n ʈʰ a k	Widmer2014			n			WT bdun phrag (WIT, CT)		ɟi ɲiskiŋ dunʈhak kʰotɕi	I will go to Leh in two weeks.						AB	04/Jan/2014																																																																																																													elte.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
397	Bunan	simultaneously	duɲam	d u ɲ a m	Widmer2014			adv (time)			WT dus mnyam									TD	25/Apr/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
398	Bunan	pestle	duŋ	d u ŋ	Widmer2014			n			WT gtun (WAT) / rdung ro (CT) / sgog				MS					AB	10/Feb/2014																																																																																																														(WIT)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
399	Bunan	conch shell	duŋ	d u ŋ	Widmer2014			n			WT dung				MS					TD	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
400	Bunan	mourning	duŋal	d u ŋ a l	Widmer2014			n			WT sdug bsngal									TL / ZC	09/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
401	Bunan	white mole ("Pigmentfehler")	duŋrutsi	d u ŋ r u ts i	Widmer2014			n			-									TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
402	Bunan	ancestor	dupa	d u p a	Widmer2014			n			WT -									AB	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
403	Bunan	stump, edgeless	dupdup	d u p d u p	Widmer2014			adj			-									Dhar / TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
404	Bunan	stump, edgeless	dupna	d u p n a	Widmer2014			adj			-									TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
405	Bunan	compete, take on	dur	d u r	Widmer2014			v	-ɕa		WT sdur, bsdur, bsdur, sdur				cEA					TD	08/Oct/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
406	Bunan	competition	durdʑa	d u r dʑ a	Widmer2014			n			WT sdur									TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
407	Bunan	ago, before	durek	d u r e k	Widmer2014			adv (time)			-		durek durek	a long time ago						ZC	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
408	Bunan	long time ago	durektɕi	d u r e k tɕ i	Widmer2014			adv (time)			-									AB	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
409	Bunan	running (nose)	durna	d u r n a	Widmer2014			adj			-		nak durna radza.	My nose was runnung.						TD	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
410	Bunan	in front of	dutɕi	d u tɕ i	Widmer2014			postp			-		ɟiː cumgi dutɕi tsʰas ni.	In front of my house there is a garden.						ZC	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
411	Bunan	in front of, opposite	dutɕumaŋ	d u tɕ u m a ŋ	Widmer2014			postp			-		ɟiː cumgi dutɕumaŋ tsʰas ni.	In front of my house there is a garden.						AB	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
412	Bunan	knot (in a rope)	dutpa	d u t p a	Widmer2014			n			WT mdud pa "knot"		dutpa ta tʰirǃ	Make a knotǃ						AB	06/Jan/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
413	Bunan	two years ago	dwaŋ	d w a ŋ	Widmer2014			adv (time)			-									AB	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
414	Bunan	two years back (approximately)	dwaŋɕek	d w a ŋɕ e k	Widmer2014			adv (time)			-									TD	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
