NUMBER	GLOSS	SEMANTIC TAG	STATUS	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
242	wolf (noun)	animal	NEW	242	the wolf	3

243	woman (noun)	human being	OLD	243	the woman	3

244	wood (material) (noun)	plant, substance	OLD	244	the wood (material)	3

245	worm (noun)	animal	OLD	245	the worm	3

246	year (noun)	time	OLD	246	the year	3

247	yellow	characterisation, color	OLD	247	yellow	1

248	yesterday	time	NEW	248	yesterday	1

249	you [second person plural]	pronoun	OLD	249	you [second person plural]	1

250	young	characterisation, age	NEW	250	young	1

