ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
152	to plant (vegetals, rice)	341	to plant	10
153	to play	345	to play	1
154	to pull	321	to pull	1
155	to push	320	to push	1
156	the rain	7	rain	3
157	the rainbow	8	rainbow	3
158	red	400	red	1
159	to reside (live)			
160	the rice plant	73	rice seedling	
161	right		right side	
162	the river	29	River	3
163	the road	215	road	3
164	the root	47	root	3
165	the rope			
166	round	389	to be round	3
167	to run	315	to run	1
168	the salt	84	salt	3
169	salty			
170	the sand	35	sand	3
171	to scratch	303	to scratch (self)	2
172	the sea	30	Sea	3
173	to see	258	to see	1
174	the seed	51	seed	3
175	seven	363	seven	1
176	sharp	417	to be sharp	3
177	the sheep			
178	to shoot (an arrow)	347	to shoot	2
179	short	378	to be short	3
180	the shoulder	161	shoulder	3
181	shy			
182	the sickle			
183	to sing	284	to sing	1
184	six	362	six	1
185	the skin	186	skin	3
186	the sky	1	sky	3
187	to sleep	296	to sleep	1
188	small	376	to be small	3
189	to smell (perceive odor) [transitive]	257	to smell (something)	2
190	the smoke	246	smoke	3
191	smooth	423	to be smooth	3
192	the snake	117	snake	3
193	the snow			
194	soft	422	to be soft	3
195	the son	199	son	3
196	the sparrow			
197	the spider	125	spider	3
198	to spit	269	to spit	1
199	to stand	308	to stand (standing)	2
200	the star	4	star	3
201	to steal	355	to steal	1
202	the stick			
203	the stone (a piece of)	34	stone	3
204	straight	393	to be straight	3
205	the sun	2	sun	3
206	the tail	104	tail	3
207	ten	366	ten	1
208	that	397	that	1
209	there			
210	thick	381	to be thick	3
211	the thigh	175	thigh	3
212	thin (object)	382	to be thin	3
213	to think (reflect)	285	to think	2
214	this	396	this	1
215	thou [second person singular]	445	you(S)	
216	three	359	three	1
217	to throw	323	to throw	1
218	the thunder	10	thunder	3
219	the tiger	86	tiger	3
220	today		???	
221	tomorrow	18	tomorrow	1
222	the tongue	153	tongue	3
223	the tooth (front)	155	tooth	3
224	the tree	43	tree	3
225	twenty	367	twenty	1
226	two	358	two	1
227	to vomit	268	to vomit	1
228	to walk	310	to walk	1
229	the water	22	water	3
230	we [first person plural inclusive]	447	we (pl)	2
231	wet	416	to be wet	3
232	what	442	what	1
233	the wheat			
234	where	440	where	1
235	white	399	white	1
236	who	441	who	1
237	the wife	202	wife	3
238	the wind	12	wind	3
239	the wing	110	wing	3
240	to wipe	331	to wipe	1
241	the wolf			
242	the woman	193	woman	3
243	the wood (material)			
244	to sow (broadcast, scatter seeds)			
245	the year	19	year	3
246	yellow	402	yellow	1
247	yesterday	17	yesterday	1
248	you [second person plural]	448	you(pl)	2	
249	young			
250	the shit	190	excrement	
